Ch1 Amplitude,Ch2 Amplitude,Cluster
328.816376,453.697,1
1192.72778,1518.8551,1
1311.653,1923.99841,1
1385.89417,1964.40942,1
1517.26563,2039.16956,1
1551.99829,2199.032,1
1557.18079,2188.12378,1
1560.84741,2103.33472,1
1567.75525,2090.54785,1
1702.22815,2394.50415,1
1748.34607,2576.615,1
1825.69348,2490.5354,1
1930.37939,2542.83423,1
1937.59485,2674.68042,1
2011.255,2490.02344,1
2040.42847,3329.6394,1
2043.844,2692.202,1
2097.001,2775.377,1
2097.4187,2902.779,1
2165.66357,2851.51,1
2285.54834,2967.19238,1
2410.39453,2993.291,1
2463.20337,3215.01953,1
2494.01245,3247.412,1
2514.095,3191.898,1
2519.2915,3416.29688,1
2550.29443,3426.61328,1
2560.70947,3471.47485,1
2566.307,3320.63867,1
2583.93335,3368.47437,1
2594.93921,3236.095,1
2600.18921,3373.66382,1
2610.75952,4303.51172,1
2612.18921,3499.50635,1
2622.1814,3137.96143,1
2625.125,3233.73657,1
2627.528,3334.201,1
2631.48218,3283.61621,1
2633.021,3376.05566,1
2637.16724,3416.598,1
2643.87622,3443.4585,1
2649.066,3412.28564,1
2651.3313,3604.43652,1
2652.79956,3183.24146,1
2660.9895,3411.12964,1
2662.68457,3568.05786,1
2664.56372,3454.86182,1
2666.02881,3402.98413,1
2672.86938,3132.737,1
2676.399,3343.64941,1
2676.51465,3515.82642,1
2681.20654,3258.72485,1
2682.53613,3438.14063,1
2683.41846,3492.78613,1
2683.79834,3315.59351,1
2689.344,3366.98755,1
2690.9707,3559.931,1
2692.26587,4491.55762,1
2692.91284,3628.08,1
2696.00952,3634.97583,1
2702.52368,4483.493,1
2708.789,3465.74829,1
2710.42041,3559.07715,1
2719.34644,3532.32617,1
2721.93286,3642.92334,1
2723.37231,3726.65845,1
2733.57715,3435.53125,1
2735.733,3530.91675,1
2737.392,3458.84448,1
2741.58447,3499.31445,1
2741.64185,3517.92773,1
2742.36523,3548.0376,1
2742.54517,4308.954,1
2747.4126,3465.325,1
2747.548,3496.5293,1
2748.69751,3975.168,1
2748.974,3481.79565,1
2757.64014,3441.2583,1
2760.073,3540.04614,1
2760.20337,3428.44482,1
2761.53882,4541.4375,1
2764.79126,3618.236,1
2767.08521,3497.51147,1
2769.33838,4468.859,1
2771.30786,3455.88818,1
2771.32349,3343.87524,1
2771.84863,3682.24341,1
2773.73462,3523.75,1
2775.97778,3549.955,1
2779.70776,3422.437,1
2781.599,3413.91919,1
2783.12964,3391.02832,1
2786.533,3293.435,1
2791.06128,3299.73145,1
2791.47241,3372.56763,1
2793.26831,3398.81714,1
2793.83936,3548.06763,1
2794.78223,3583.17847,1
2797.71069,3554.08081,1
2799.03833,3497.80249,1
2799.103,3671.638,1
2800.958,3375.93774,1
2801.76563,4415.416,1
2802.93,3538.914,1
2806.11157,4572.16162,1
2806.3728,3452.89233,1
2807.4082,3658.73145,1
2808.746,3612.85254,1
2811.903,3389.468,1
2812.35815,3561.81714,1
2813.516,3380.557,1
2814.6333,3711.67676,1
2815.3147,4342.553,1
2815.75244,3576.6748,1
2816.306,3476.417,1
2816.986,3623.062,1
2819.11377,4431.472,1
2823.47,3564.17578,1
2823.86719,3565.749,1
2825.196,3590.838,1
2826.19653,3826.58936,1
2826.413,3507.85669,1
2829.67822,3883.05859,1
2830.83765,3644.99854,1
2832.23853,3502.837,1
2832.34741,3765.431,1
2839.76514,3512.95581,1
2840.89,3553.9585,1
2842.12354,3625.30786,1
2844.73657,4526.49365,1
2850.34644,3462.53979,1
2850.39868,3399.74487,1
2850.94165,3495.50073,1
2851.321,3726.1377,1
2853.291,3645.78027,1
2854.13013,3776.472,1
2857.69238,3592.29517,1
2858.62622,3578.89819,1
2859.16943,4942.18652,4
2860.118,3552.68823,1
2860.98682,4852.737,4
2862.1084,3804.791,1
2868.282,3490.279,1
2869.32935,3548.02661,1
2869.42969,3905.84717,1
2872.91748,3657.009,1
2873.77124,4269.39746,1
2876.9458,3543.905,1
2878.102,3780.64819,1
2879.10181,3554.346,1
2879.35474,3729.003,1
2890.50342,3825.07886,1
2892.67847,3797.10327,1
2895.25366,3811.858,1
2896.10034,4242.24365,1
2896.16357,4136.31348,1
2896.37231,3626.1145,1
2896.522,3840.72974,1
2896.63013,3825.838,1
2897.582,5021.9834,4
2898.92554,3536.249,1
2899.57837,3648.99561,1
2900.463,3876.69629,1
2900.74072,3808.35376,1
2901.08081,3571.07544,1
2903.08569,3830.88159,1
2903.14673,3896.84961,1
2906.44531,3555.64453,1
2906.671,3663.08472,1
2907.447,3680.92285,1
2908.664,3626.55518,1
2910.66846,4116.07031,1
2912.95532,3603.09058,1
2919.52881,3550.67725,1
2920.2395,4321.36328,1
2920.3147,3634.57056,1
2920.411,4142.91943,1
2921.6416,4349.958,1
2922.96558,3735.629,1
2923.50024,4188.60645,1
2923.62378,4363.067,1
2924.0708,3812.95581,1
2924.431,3858.894,1
2924.98633,4294.778,1
2926.34985,3601.08228,1
2927.59375,4171.359,1
2927.63232,3682.575,1
2930.03857,3956.86743,1
2930.551,3759.94727,1
2931.01782,3625.196,1
2931.74414,4792.69141,4
2932.99023,3714.79224,1
