Ch1 Amplitude,Ch2 Amplitude,Cluster
1930.85107,2925.12573,1
2164.52515,2904.96729,1
2208.39673,3196.7312,1
2309.36084,3109.88062,1
2377.73315,3440.018,1
2413.52417,2959.75415,1
2455.155,3426.695,1
2629.96655,3545.126,1
2715.12231,3845.85938,1
2739.08374,4480.30957,1
2740.35278,3703.91284,1
2819.023,3907.811,1
2837.25415,3556.93628,1
2874.51074,3953.63477,1
2907.86255,3857.255,1
2932.60376,5041.33057,1
2946.94775,3798.25732,1
2956.852,5003.45557,1
2978.94849,4100.43164,1
2989.3877,3961.81055,1
2991.50562,3968.752,1
2996.53784,5282.07129,1
3006.394,4044.41138,1
3015.906,4241.612,1
3041.24268,4023.29541,1
3049.74854,4064.17578,1
3050.62476,4242.02246,1
3051.165,4173.254,1
3057.27,4051.90869,1
3076.32,4001.90942,1
3079.27,5010.068,1
3080.773,4435.82031,1
3081.01831,4067.16919,1
3082.91138,3938.68018,1
3096.067,4184.991,1
3101.83374,4106.15039,1
3102.53174,4443.44238,1
3107.71045,4258.566,1
3116.76367,4315.95166,1
3118.0603,5099.679,1
3119.54126,4101.75439,1
3120.73975,4344.532,1
3125.97485,4021.68384,1
3128.90967,4236.4165,1
3130.01172,4134.976,1
3137.86768,4078.439,1
3139.08813,4632.601,1
3139.69751,4392.22852,1
3146.60474,4370.24561,1
3147.50732,5403.944,1
3150.16113,4285.65674,1
3150.39575,4151.927,1
3155.85278,4247.022,1
3156.725,4459.43262,1
3161.16113,4732.88037,1
3164.772,4395.1626,1
3167.66138,4286.26172,1
3173.498,4369.894,1
3176.25073,4397.84473,1
3176.49023,4123.11768,1
3177.407,4432.896,1
3182.86841,4723.15332,1
3184.94653,4269.44336,1
3185.10229,4018.26,1
3185.55835,4739.88,1
3187.32764,4457.878,1
3188.66919,4230.485,1
3189.371,4509.653,1
3189.45654,4383.72266,1
3189.94019,4315.37256,1
3190.36914,4351.557,1
3194.81152,4074.135,1
3195.22925,5236.325,1
3195.71313,4328.90967,1
3196.191,4158.09033,1
3199.15625,3880.72144,1
3200.40063,4353.333,1
3201.039,4468.623,1
3201.191,4193.42236,1
3202.0415,4786.256,1
3202.28027,4388.584,1
3206.09473,4670.84766,1
3212.773,4789.979,1
3212.978,4345.203,1
3218.56445,4216.28662,1
3221.04346,4539.472,1
3221.19165,4697.05,1
3221.917,4167.468,1
3230.58667,4243.378,1
3232.581,4550.752,1
3233.91577,4295.33252,1
3234.73438,4773.66064,1
3241.62329,4528.52051,1
3244.43652,4702.241,1
3246.64526,4068.45435,1
3251.207,4577.33447,1
3251.21631,4486.688,1
3251.68774,4586.69775,1
3252.26953,4542.24,1
3254.03149,4410.04834,1
3254.05029,4541.294,1
3255.14453,4424.92969,1
3256.87427,4653.55566,1
3259.41187,4327.422,1
3260.674,4364.80957,1
3261.08667,4670.063,1
3261.74951,4278.12061,1
3264.14258,5312.033,1
3264.61987,4681.31836,1
3267.17,4483.217,1
3271.7832,4602.31641,1
3272.06641,4443.34863,1
3272.16431,4536.10352,1
3273.87842,4298.619,1
3274.3728,4208.05029,1
3277.291,4436.60547,1
3278.05273,4715.63428,1
3278.69263,4940.71631,1
3281.59668,5456.35,1
3281.64,4586.04639,1
3282.84937,5063.247,1
3283.03,4737.876,1
3283.15137,4651.315,1
3283.407,4553.351,1
3290.578,4666.83154,1
3290.826,4328.063,1
3291.365,4524.79932,1
3291.45068,4321.865,1
3291.469,4673.67969,1
3292.548,4653.46045,1
3292.941,4521.394,1
3294.39526,4322.547,1
3294.72729,5057.48535,1
3296.01123,4307.45557,1
3300.313,4469.98975,1
3301.11157,4665.31348,1
3302.80542,4472.82471,1
3302.84155,4702.09326,1
3303.78735,4169.86768,1
3304.30151,4711.718,1
3304.79614,4632.23828,1
3305.16846,4351.676,1
3307.27979,4513.15,1
3308.33228,4368.37354,1
3310.10449,5036.098,1
3312.49951,4155.307,1
3315.58252,4838.46875,1
3316.27686,4531.379,1
3316.607,4448.42627,1
3317.73413,4563.57471,1
3318.67334,4678.403,1
3320.368,4558.329,1
3322.64868,5623.55566,1
3322.805,4700.28662,1
3323.33569,4218.94727,1
3323.37842,5497.18555,1
3325.43115,4712.508,1
3325.504,4882.065,1
3325.66138,4713.16943,1
3327.757,4668.09668,1
