Ch1 Amplitude,Ch2 Amplitude,Cluster
287.710236,453.560181,1
1490.98486,2741.71387,1
1783.52966,2432.95239,1
1844.64624,2462.00659,1
1938.72339,3118.74072,1
2078.212,2607.235,1
2153.88135,3481.191,1
2265.90063,3136.00732,1
2307.46118,3000.465,1
2457.95313,3419.05347,1
2526.20557,3363.34473,1
2619.41724,4297.86572,1
2729.16333,4445.03662,1
2742.70947,4569.27539,1
2760.32056,3517.668,1
2770.78247,4352.28662,1
2778.129,4397.47949,1
2795.70215,3572.27979,1
2804.30859,4616.077,1
2811.787,3683.67944,1
2820.30444,3580.04639,1
2822.51025,4807.17969,4
2830.01025,3717.83325,1
2830.468,4301.83936,1
2839.6958,4400.832,1
2845.1543,3547.81836,1
2852.58,3781.81787,1
2853.5625,4746.216,1
2859.485,3570.228,1
2859.76538,3629.68042,1
2862.779,4611.647,1
2864.56543,5202.994,4
2864.84717,4696.41357,1
2877.89,4631.377,1
2878.72949,3700.02075,1
2883.51563,3612.11353,1
2890.71167,4733.14355,1
2894.485,3784.13379,1
2895.07446,4043.90356,1
2895.73169,4217.625,1
2896.496,3719.49878,1
2899.62451,3724.91333,1
2904.25,4173.40137,1
2908.09033,3792.169,1
2909.40918,4730.705,1
2909.76,4157.882,1
2910.58447,4327.923,1
2914.08643,5184.41748,4
2915.02222,3883.41064,1
2916.702,3820.00049,1
2916.99731,3760.891,1
2926.70923,3761.13428,1
2937.18335,3546.84717,1
2937.93066,3742.93872,1
2940.11255,5320.55859,4
2945.08545,3761.72485,1
2946.32666,3695.61963,1
2948.35254,3637.923,1
2950.19946,4516.20068,1
2952.79956,3975.49463,1
2954.47241,3763.92676,1
2957.07886,3949.15576,1
2963.06055,3702.74561,1
2963.28979,5172.298,4
2966.00415,3791.509,1
2966.85815,3791.6062,1
2967.66821,3595.86084,1
2968.73169,4190.46338,1
2971.94385,3968.8103,1
2972.1438,4065.00049,1
2972.211,4977.432,4
2972.23633,3624.80542,1
2975.94556,3825.11865,1
2976.87671,3604.80884,1
2977.02368,4666.92969,1
2980.93555,4633.82764,1
2981.619,3760.70972,1
2986.08838,3814.01074,1
2987.1416,4569.642,1
2987.315,3972.75757,1
2992.54565,3759.403,1
2992.67554,4151.48926,1
2996.23633,5372.32764,4
2996.37134,3999.08765,1
2997.03223,4212.20166,1
2997.25464,4642.289,1
3000.40918,3794.329,1
3000.52783,3993.91064,1
3003.03027,4051.679,1
3003.63159,3770.71265,1
3004.55054,3765.12817,1
3007.01782,4224.0957,1
3007.03174,3676.302,1
3007.74854,4959.36328,4
3008.24146,3703.4104,1
3011.45581,3623.6897,1
3012.24072,4121.154,1
3012.91284,4818.695,4
3015.06421,3953.79346,1
3015.66528,5326.55371,4
3015.87964,4882.96436,4
3019.12817,4147.9624,1
3020.75366,4183.516,1
3022.32568,5107.746,4
3022.43726,4930.724,4
3022.59131,5432.079,4
3026.75854,4663.812,1
3027.14575,5132.14551,4
3028.434,4128.751,1
3029.737,3808.30469,1
3031.92969,4182.245,1
3032.447,4406.43262,1
3036.308,4848.782,4
3039.912,4946.60352,4
3041.72461,4139.495,1
3043.50171,3906.914,1
3043.884,3807.642,1
3047.26318,3776.52246,1
3049.65015,4176.854,1
3052.79639,4035.3606,1
3053.2644,3896.674,1
3054.49927,3936.90015,1
3054.70459,3741.92334,1
3056.36426,4960.967,4
3060.63281,4913.645,4
3060.91479,4544.15527,1
3063.213,4286.379,1
3064.635,5115.0376,4
3064.677,4364.39258,1
3065.7207,4075.74561,1
3067.09937,5399.19141,4
3069.00244,4081.60571,1
3069.033,4211.39746,1
3069.364,3733.78857,1
3069.786,4080.91479,1
3071.18262,4880.35742,4
3074.75073,4372.678,1
3075.78516,4183.81543,1
3077.12524,4059.67871,1
3078.59473,4225.90332,1
3079.79688,4844.971,4
3080.27783,4082.19849,1
3082.34082,4129.923,1
3084.7627,3834.387,1
3085.80518,4053.77539,1
3086.03442,3915.0813,1
3087.23145,4026.83862,1
3087.60449,5245.113,4
3088.46021,5127.51953,4
3090.3645,4144.50439,1
3090.57129,3755.8938,1
3090.67578,4567.89941,1
3091.12378,3725.99976,1
3093.574,3804.42554,1
3094.22949,4162.07568,1
3095.181,4814.53857,1
3095.83325,3898.33057,1
3097.35645,3738.2583,1
3097.46313,3955.136,1
3097.94922,4058.7832,1
3098.82739,4390.511,1
3100.53149,3711.441,1
3100.848,4004.449,1
3100.90234,5088.264,4
3100.913,4907.54,4
3101.23364,3768.414,1
3102.02832,4133.151,1
3102.95337,4335.102,1
3103.20752,4250.90674,1
3104.26929,4140.59229,1
3106.97583,5071.02246,4
3108.48828,3766.9917,1
3108.87842,4048.37,1
3109.83618,3841.8252,1
3111.23169,4218.898,1
3111.536,3985.00317,1
3112.22778,5049.44043,4
3112.34863,4958.415,4
3112.93726,4266.779,1
3112.99,4961.68457,4
3113.13843,4191.7876,1
3114.51245,4941.48535,4
3114.5437,4801.025,1
3115.31152,5434.79346,4
3115.83228,4999.49854,4
3116.10645,5095.23828,4
3116.965,4295.89,1
3117.13379,4042.14014,1
3119.19043,4362.748,1
3119.948,4306.6377,1
3120.15723,5148.43457,4
3120.28564,4863.55566,4
3121.40674,3956.489,1
3121.777,4246.14,1
3123.75659,4277.47461,1
3124.62427,4025.9668,1
3125.138,5236.25342,4
3126.29321,4951.611,4
3126.34888,4210.29248,1
3126.754,4016.28833,1
3127.06763,4284.803,1
3129.00122,5270.49756,4
3129.081,5257.684,4
3130.19629,5056.747,4
3130.70972,5178.065,4
3131.52734,5061.917,4
3132.27563,5032.25342,4
3132.6438,4258.42871,1
3134.70654,5175.605,4
3135.417,4972.88135,4
3136.697,5154.462,4
3136.768,4210.27441,1
3137.36255,4057.79565,1
3138.32813,5303.138,4
3138.52466,3966.42529,1
3138.70142,4407.42432,1
3138.79468,5288.453,4
3139.6355,3907.54028,1
3140.74756,5174.012,4
3141.14453,3980.67725,1
3141.73315,4260.029,1
3142.18213,4147.434,1
3142.42822,4275.707,1
3142.686,3992.60181,1
3144.12231,4600.39648,1
3144.19116,4136.01074,1
3145.21948,4164.22559,1
3145.98438,5125.424,4
3146.0105,4128.99756,1
3146.742,4214.53271,1
3147.2998,5273.313,4
3147.62939,5103.27344,4
3147.705,5270.14063,4
3148.61182,4119.23975,1
3148.69043,5032.358,4
3150.07349,4063.31982,1
3151.23071,4000.09546,1
3151.4917,5138.95068,4
3151.63965,5327.081,4
3152.15015,4270.56836,1
3152.28125,4466.195,1
3152.78662,4036.26563,1
3154.39282,5171.742,4
3154.42944,4089.01587,1
3155.798,5027.362,4
3155.85962,5633.72852,4
3155.87085,4996.567,4
3155.89648,3826.69873,1
3156.29565,5275.97852,4
3157.002,5226.87451,4
3157.25049,5560.99756,4
3157.45337,5314.035,4
3157.62866,5250.63,4
3157.81958,5323.71875,4
3158.60278,4044.12476,1
3158.8916,3908.40723,1
3159.16333,4231.60645,1
3159.31641,4098.0083,1
3159.32642,3852.69751,1
3159.54346,3860.5957,1
3160.19385,4214.56836,1
3160.19556,3894.24658,1
3160.42432,5116.01,4
3161.22388,4028.144,1
3161.9082,4190.443,1
3163.94116,5509.25049,4
3164.0625,4424.626,1
3164.318,3945.03784,1
3164.497,5193.614,4
3164.56616,4127.178,1
3164.57935,4067.98242,1
3165.00146,4116.666,1
3165.41138,3995.224,1
3165.69824,4203.05957,1
3165.69946,3925.335,1
3165.94849,4062.53857,1
3166.087,5551.692,4
3166.40112,5058.74854,4
3166.93115,4174.99463,1
3167.5022,4274,1
3167.51953,5161.479,4
3167.63037,5085.227,4
3168.41064,4962.087,4
3168.83765,5165.38965,4
3168.92529,4252.75928,1
3169.03418,5318.759,4
3169.23755,3982.65015,1
3169.321,4046.639,1
3170.062,4153.42969,1
3170.59033,4231.78564,1
3171.09058,4033.632,1
3171.11768,4054.605,1
3171.224,4174.94434,1
3172.8562,4259.98438,1
3173.58252,4379.47,1
3173.7312,4340.408,1
3173.90137,5196.284,4
3174.52832,5298.992,4
3174.75781,4037.15015,1
3174.88184,4087.60156,1
3175.10767,5429.30371,4
3175.55835,4206.71338,1
3175.56274,4317.2627,1
3176.28613,3956.5,1
3176.39624,5146.37061,4
3176.55444,4317.68164,1
3176.63818,3911.11377,1
3176.884,4354.52734,1
3177.91846,4085.295,1
3178.10669,4883.541,1
3178.22021,4075.424,1
3178.30933,4204.422,1
3178.53125,4075.18579,1
3179.44727,5494.356,4
3180.14648,3981.233,1
3180.69067,5316.3125,4
3181.8396,4324.95,1
3182.22729,3823.31152,1
3183.13354,4078.68262,1
3183.5415,4177.245,1
3183.72021,4030.657,1
3183.96631,3859.11768,1
3184.162,5109.00732,4
3184.59668,4343.88965,1
3184.90845,5644.104,4
3185.29663,4092.90112,1
3186.30835,4071.42017,1
3186.81738,4158.762,1
3187.10156,4126.03271,1
3187.15869,4383.10645,1
3187.17017,5522.118,4
3188.22827,4445.80225,1
3188.25659,5126.673,4
3188.55,4233.71631,1
3189.09717,4344.85547,1
3189.12036,5054.907,4
3189.22632,4061.46143,1
3190.01318,5068.984,4
3190.345,3885.27124,1
3191.30933,4065.41064,1
3191.95776,4088.636,1
3192.249,5182.54834,4
3192.377,5371.897,4
3192.54272,5296.46338,4
3192.5957,3968.01733,1
3192.63818,5327.697,4
3192.7876,3935.12451,1
3192.90356,4160.42773,1
3193.113,4211.54346,1
3194.02759,5544.928,4
3194.29053,4001.90869,1
3194.45679,5267.41162,4
3194.73047,5623.28662,4
3195.04126,4327.04443,1
3195.05371,5291.739,4
3195.50732,4228.85156,1
3195.52856,4285.54834,1
3195.7395,4025.89429,1
3195.74243,4082.17529,1
3195.92847,5234.802,4
3197.78418,4336.47266,1
3197.85059,3954.33154,1
3198.42432,5370.75049,4
3198.64331,4272.2124,1
3198.75928,4172.21631,1
3199.261,4240.723,1
3199.338,5330.543,4
3201.00635,4249.29346,1
3201.103,4075.36548,1
3201.11475,4264.541,1
3201.6958,4187.836,1
3201.75317,4207.595,1
3201.79517,5292.061,4
3201.973,4263.516,1
3202.617,4049.647,1
3202.87,5230.6167,4
3202.938,4240.94629,1
3203.253,4459.72461,1
3203.28369,4072.71387,1
3203.4917,5381.146,4
3204.1582,4139.205,1
3206.40649,5484.153,4
3206.534,4078.76343,1
3207.165,4418.164,1
3208.79761,5364.474,4
3208.945,4311.37939,1
3209.439,4475.92139,1
3210.09961,4199.81445,1
3211.14282,4291.90234,1
3211.49927,4985.475,4
3211.668,4041.10083,1
3212.15137,4266.686,1
3212.61523,4280.56543,1
3212.63843,5437.521,4
3213.071,4195.722,1
3213.19751,4207.91162,1
3213.4873,4225.346,1
3213.594,4014.8855,1
3213.801,4230.279,1
3214.00635,5584.92871,4
