Ch1 Amplitude,Ch2 Amplitude,Cluster
1100.32361,1690.25024,1
1181.18384,1640.43176,1
1228.61719,1648.17212,1
1492.41614,2278.873,1
1602.86,2299.097,1
1643.59729,2511.08862,1
1700.09717,2693.67725,1
1808.00916,2986.671,1
1955.78772,2715.06445,1
2033.29688,2780.59448,1
2106.31543,2764.54761,1
2131.5332,4080.83447,1
2168.70947,3008.5896,1
2247.18872,3313.02661,1
2276.032,3388.687,1
2367.126,3177.545,1
2422.369,3467.31152,1
2461.86353,3434.565,1
2469.053,3610.58472,1
2485.06421,3470.229,1
2527.25366,4622.37354,1
2544.77173,3496.10767,1
2581.372,4032.82324,1
2581.888,3822.34131,1
2640.01978,4374.691,1
2643.38086,3582.69263,1
2656.81274,3815.277,1
2684.00781,3796.19287,1
2685.03345,3548.268,1
2705.68335,3554.02979,1
2712.298,3452.60278,1
2733.02344,3826.12183,1
2784.07837,4125.27734,1
2787.376,4161.598,1
2794.03857,3498.711,1
2841.87329,4551.395,1
2841.95947,3734.91846,1
2845.023,3929.40845,1
2854.87036,4218.435,1
2856.71313,4033.50586,1
2859.42065,4215.462,1
2862.39844,3813.57544,1
2872.51172,4132.5,1
2877.18921,3982.08667,1
2885.88843,4120.9043,1
2886.47241,3965.20825,1
2890.806,4240.013,1
2895.89038,4209.02539,1
2902.67334,4267.614,1
2905.44287,4066.72266,1
2906.28882,4159.791,1
2912.1958,4126.27734,1
2912.883,4113.185,1
2916.13843,3879.524,1
2920.43481,4155.12256,1
2925.88477,4371.407,1
2928.79053,4131.96631,1
2929.3457,4170.026,1
2929.836,4129.666,1
2931.716,3892.975,1
2938.885,4507.70557,1
2947.67,3929.6416,1
2951.09644,4198.089,1
2952.08716,4401.585,1
2956.18945,4355.954,1
2958.81226,4389.14,1
2961.78418,3897.32666,1
2962.72852,4101.188,1
2963.24,4152.155,1
2966.3562,4009.63354,1
2972.67358,4362.31836,1
2975.67114,4399.891,1
2976.70728,4213.266,1
2978.24976,4130.0166,1
2978.8877,4318.53467,1
2980.12036,4106.382,1
2980.33325,4189.27344,1
2981.657,4106.59131,1
2983.55029,3966.4563,1
2986.6272,4616.56738,1
2988.21021,4156.90332,1
2988.72144,4000.67969,1
2988.8252,4463.251,1
2992.386,4239.29736,1
2992.729,4255.702,1
2995.2002,4017.37476,1
2998.51587,4216.609,1
2999.32813,4402.99268,1
2999.92432,3967.57227,1
3001.11035,4341.059,1
3001.664,4045.322,1
3003.54053,4425.827,1
3005.05225,4288.56348,1
3006.97583,4379.51758,1
3008.187,4145.99072,1
3008.49976,4824.535,1
3009.53125,4335.234,1
3009.98047,4190.167,1
3009.98071,4220.875,1
3011.79248,4377.201,1
3015.724,4539.94043,1
3015.90625,4415.375,1
3016.81128,4382.397,1
3017.51074,4191.98438,1
3019.68481,3972.10083,1
3021.65552,4243.656,1
3023.078,4163.27734,1
3023.502,4313.417,1
3024.16968,4181.11,1
3026.06982,4158.2666,1
3026.83936,4402.98145,1
3027.08057,4286.30225,1
3027.63,4237.00342,1
3028.441,4242.006,1
3028.94556,4290.618,1
3029.36377,4218.062,1
3031.98242,3832.327,1
3032.973,4199.797,1
3034.62622,4228.05957,1
3035.244,4088.441,1
3036.07129,4266.93555,1
3038.38647,4173.221,1
3038.6333,4289.77832,1
3040.1853,3828.75854,1
3040.73926,4205.69727,1
3041.03247,4382.802,1
3041.27515,4116.039,1
3041.996,4183.544,1
3042.272,4103.352,1
3042.70923,4309.80469,1
3043.09033,4409.72852,1
3044.30713,4547.046,1
3045.10718,4075.1814,1
3045.601,4382.55029,1
3047.32959,4325.63525,1
3048.04443,4283.161,1
3048.48682,4255.628,1
3049.142,4235.1167,1
3050.464,3881.26465,1
3051.832,4346.243,1
3053.207,4669.33252,1
3053.94165,4091.35645,1
3054.74927,4179.593,1
3055.33472,4344.35,1
3055.73022,4174.254,1
3056.1,4663.44971,1
3057.30225,4362.54834,1
3057.85449,4008.19849,1
3058.54517,4255.10645,1
3058.899,4259.605,1
3059.25171,4837.15771,1
3059.39746,4365.2666,1
3060.054,4155.51025,1
3061.15723,3984.276,1
3061.34888,4356.886,1
3061.73413,4270.8833,1
3062.9165,4328.67236,1
3064.70239,4608.602,1
3064.79175,4181.5083,1
3064.98755,4125.82471,1
3066.27759,5374.34668,1
3066.45581,4336.093,1
3066.90771,4134.54443,1
3067.04517,3961.682,1
3067.83032,4292.02148,1
3067.98315,4429.918,1
3068.92529,4485.02148,1
3069.98682,4224.66357,1
3071.85449,4227.395,1
3072.07886,4541.937,1
3072.98828,4221.593,1
3073.2124,4179.03,1
3073.89966,4316.42041,1
3074.47583,4285.82959,1
3075.199,4360.07568,1
3075.53735,4357.80566,1
3075.772,4368.887,1
3075.78564,4213.38428,1
3076.89551,4199.10059,1
3076.941,4264.598,1
3078.9104,4351.12158,1
3078.96216,4326.61572,1
3079.1228,4136.65674,1
3080.19531,4643.14453,1
3080.77271,4058.68286,1
3081.21118,3921.05273,1
3081.45679,4533.5957,1
3082.034,4365.132,1
3082.53418,3819.079,1
3082.99731,4473.632,1
3083.702,4465.81641,1
3083.81372,4255.11133,1
3086.69385,4605.52637,1
3086.73242,4406.58545,1
3088.4834,4471.66748,1
3089.014,4108.043,1
3089.59448,4089.47632,1
3090.56177,4560.69336,1
3091.10352,4458.246,1
3091.41919,4121.44,1
3093.91626,4286.277,1
3093.97827,3945.42822,1
3095.13818,4227.15234,1
3095.189,4354.85156,1
3095.44678,4303.972,1
3095.634,4295.74854,1
3096.80713,4296.359,1
3096.83838,4283.378,1
3096.94336,4665.385,1
3097.34,4251.44629,1
3097.35767,4167.682,1
3097.95142,4440.34033,1
3098.266,4533.716,1
3098.44629,4075.48242,1
3098.86865,4169.461,1
3098.94043,4529.553,1
3102.52515,4583.32,1
3102.53174,4467.11133,1
3102.78027,4628.495,1
3105.40332,4289.71,1
3106.319,4385.27246,1
3106.60181,4519.43555,1
3106.63916,4151.377,1
3107.70825,4202.93945,1
3108.564,4271.97949,1
3109.95264,4218.442,1
3111.00317,4485.142,1
3111.937,4160.786,1
3112.90137,4479.09766,1
3113.40845,4637.09375,1
3114.85229,4437.48828,1
3114.98926,4017.10571,1
3115.27222,4113.896,1
3115.373,4599.906,1
3115.444,4218.82129,1
3115.75854,4008.101,1
3115.79248,4510.3,1
3116.066,4264.579,1
3116.58423,4215.00244,1
3116.746,4132.95361,1
3116.76318,4107.26367,1
3117.46,3981.42749,1
3117.57471,3959.57739,1
3117.71118,4395.01367,1
3118.41748,4026.17432,1
3118.53955,4247.065,1
3119.10327,4310.562,1
3120.02856,4331.503,1
3120.60913,4516.44629,1
3120.829,4108.24268,1
3120.91284,4161.63135,1
3122.10156,4670.73975,1
3123.272,4327.176,1
3123.464,5152.78125,1
3124.07544,4773.418,1
3126.00317,4553.10156,1
3126.51563,4119.80566,1
3126.97217,4353.39551,1
3127.34375,4575.79346,1
3127.42651,4629.37354,1
3127.6897,4249.653,1
3127.785,4058.15283,1
3129.11182,4176.65625,1
3129.46582,4212.96729,1
3129.57373,4523.5415,1
3129.709,4280.40869,1
3129.76855,4080.398,1
3129.93018,4516.284,1
3130.43457,4396.589,1
3130.58569,4382.32275,1
3130.874,4180.447,1
3133.06079,4469.521,1
3133.36816,4312.66943,1
3133.846,5512.10156,1
3134.46069,4584.096,1
3135.665,4563.74951,1
3135.675,4301.023,1
3136.53052,4421.829,1
3138.06714,4329.654,1
3139.3147,4836.555,1
3140.027,4214.35,1
3140.49731,4234.05859,1
3140.65381,4198.014,1
3141.288,4438.478,1
3141.50024,4540.867,1
3141.81,4197.799,1
3142.45459,4341.2793,1
3143.163,4560.085,1
3143.353,4253.073,1
3143.39355,4341.044,1
3143.86743,5146.615,1
3144.001,4217.868,1
3144.39624,4315.54,1
3145.356,4462.03,1
3146.277,4128.682,1
3146.542,4503.23926,1
3147.9563,4445.359,1
3148.002,4478.97754,1
3148.14526,4165.594,1
3148.17944,4396.50635,1
3148.586,4308.26025,1
3148.75439,4204.221,1
3149.40723,4188.193,1
3149.82153,4537.68066,1
3150.20215,4073.273,1
3150.2373,4639.368,1
3150.67944,5170.05,1
3151.601,4401.311,1
3151.62744,4501.67725,1
3151.66772,4214.043,1
3151.9187,4394.4834,1
3152.38647,4485.78857,1
3152.45947,4315.54053,1
3153.243,4165.04443,1
3153.39233,4336.50537,1
3153.559,4255.463,1
3153.83936,4103.85059,1
3153.943,4206.98828,1
3153.968,5032.82129,1
3154.699,4650.699,1
3154.71851,4219.343,1
3155.261,4426.93066,1
3155.38525,4435.4,1
3156.25464,3983.61377,1
3156.25586,4175.86475,1
3156.76685,4132.61572,1
3156.95947,4333.409,1
3156.99438,4377.26367,1
3157.65771,4525.36768,1
3157.73975,4220.509,1
3157.77271,4406.139,1
3158.07227,4161.568,1
3158.698,4197.54736,1
3158.71753,4212.881,1
3158.95117,4551.055,1
3159.08057,4075.28784,1
3159.10352,4202.6123,1
3159.36353,4403.476,1
3159.4292,4594.23535,1
3160.068,4707.191,1
3160.216,5067.09961,1
3160.573,4492.4126,1
3160.78076,4200.641,1
3161.05884,4252.316,1
3161.606,4244.373,1
3161.79248,4066.62,1
3162.02515,4121.64,1
3162.44629,4269.304,1
3163.131,4298.155,1
3164.57471,4509.11572,1
3164.66919,4327.03369,1
3164.80469,5571.85254,1
3165.31323,3993.06567,1
3165.87964,4444.06348,1
3166.337,4015.15234,1
3167.11353,4406.22,1
3167.36157,4631.89844,1
3167.50073,4228.478,1
3167.76416,4755.145,1
3167.87451,4039.0498,1
3169.454,4463.004,1
3169.93066,4458.99268,1
3170.21948,4372.6543,1
3170.8667,4555.632,1
3171.154,4717.43457,1
3173.21875,4234.428,1
3173.24463,5612.319,1
3174.15552,4237.477,1
3175.22168,5433.47,1
3175.28613,4203.13525,1
3175.9397,4672.326,1
3175.945,4418.619,1
3176.63525,4595.856,1
3176.74487,4103.835,1
3176.781,4994.34229,1
3177.1084,4295.093,1
3177.8042,4125.119,1
3178.03223,4795.312,1
3178.80176,4450.664,1
3178.871,4460.62256,1
3178.97656,4554.17871,1
3179.90479,4332.135,1
3179.9436,3903.40063,1
3180.18335,4110.91357,1
3180.76538,4287.733,1
3181.64551,4031.7854,1
3181.99121,4242.09326,1
3182.033,4713.58154,1
3182.15918,4283.50146,1
3182.24414,4237.793,1
3182.30127,5078.2334,1
3182.405,4494.686,1
3183.42358,4219.351,1
3183.46216,4320.264,1
