Ch1 Amplitude,Ch2 Amplitude,Cluster
2799.85327,3514.34375,1
2800.53052,3823.34814,1
2862.49756,3808.533,1
2933.21265,4250.77246,1
2946.7207,3882.32544,1
2977.15967,4265.57227,1
3006.23682,3993.92578,1
3008.58765,5320.185,4
3009.04077,4276.064,1
3011.53833,4307.77441,1
3015.57642,4267.964,1
3020.416,3891.13,1
3026.06177,4385.62,1
3033.529,3914.38843,1
3033.92529,4024.60938,1
3036.28931,4060.29419,1
3042.99121,4240.343,1
3043.43237,5251.84,4
3044.39258,5236.404,4
3044.58154,4114.60449,1
3048.085,4344.666,1
3048.41,3876.629,1
3051.95166,4086.73633,1
3054.61719,5074.85547,4
3061.864,4528.026,1
3064.688,5274.34326,4
3065.5708,5191.267,4
3066.90479,3718.694,1
3067.43384,4010.34644,1
3068.682,4094.82129,1
3069.18652,5170.41,4
3070.23,4530.2124,1
3072.229,4187.82373,1
3075.54736,5094.468,4
3077.40186,4841.847,4
3077.44238,3917.48535,1
3078.368,5095.63574,4
3081.272,4071.2085,1
3083.66821,3969.1582,1
3083.74146,5024.363,4
3084.859,4025.84326,1
3084.885,3895.30884,1
3086.248,4116.17725,1
3087.05615,5204.24463,4
3087.6936,4752.29248,1
3089.225,5054.598,4
3092.79883,4253.33838,1
3096.51465,5201.306,4
3098.1377,4307.666,1
3100.63916,3927.45825,1
3101.65161,5078.538,4
3105.07617,3866.792,1
3105.314,3927.568,1
3105.74854,3982.962,1
3107.21826,3996.95776,1
3109.27783,4200.962,1
3109.75757,4149.18555,1
3111.6687,4270.54834,1
3113.12427,3980.05713,1
3113.585,4109.57666,1
3114.519,4070.20532,1
3115.71484,4091.09521,1
3115.82275,5370.82129,4
3115.88574,4073.40967,1
3117.13354,4447.90527,1
3120.02734,3793.03149,1
3120.52515,5419.50732,4
3120.64014,4411.363,1
3123.19922,3796.63745,1
3126.06274,5123.516,4
3126.31372,4097.64746,1
3127.751,5191.114,4
3127.862,5421.93848,4
3129.85913,3964.77539,1
3130.34961,5249.34326,4
3130.757,4114.47559,1
3131.09839,4187.463,1
3131.47144,3920.74341,1
3132.80444,4152.489,1
3132.977,4470.59375,1
3133.141,4354.84473,1
3133.182,5164.28662,4
3136.82861,4015.57617,1
3137.26758,3993.00073,1
3137.39136,3836.345,1
3137.58838,4320.862,1
3137.893,4050.60425,1
3138.0354,4153.938,1
3138.583,4253.38428,1
3139.263,5143.41748,4
3139.58765,4166.104,1
3139.82642,4021.8916,1
3140.57056,5472.67969,4
3141.4502,4033.15356,1
3142.07227,4001.88135,1
3143.82373,3861.74121,1
3144.62183,3732.2522,1
3145.419,3875.3186,1
3147.40259,4053.42188,1
3147.682,5366.904,4
3147.71265,3835.877,1
3151.67163,4397.39355,1
3153.1582,3966.35034,1
3154.96875,4284.02,1
3156.077,4078.817,1
3157.39355,3782.15845,1
3158.05176,4173.54541,1
3160.05054,4099.003,1
3160.06738,3795.5542,1
3161.422,4009.035,1
3162.29077,5306.31543,4
3162.47778,4182.33154,1
3163.52563,4041.932,1
3164.419,5312.241,4
3165.76,4465.92627,1
3166.75415,4093.4397,1
3166.827,4147.09,1
3166.82886,4393.74463,1
3166.985,4156.447,1
3167.328,5292.894,4
3167.42847,4155.757,1
3168.3418,4081.14771,1
3170.044,4218.80273,1
3170.82764,5323.29541,4
3170.87744,4384.387,1
3171.48,4162.21631,1
3173.57,4194.902,1
3174.07642,4259.21875,1
3175.29,3988.24634,1
3175.53516,4181.76074,1
3175.65112,5362.77832,4
3175.65845,4325.48,1
3175.76,4358.32373,1
3177.457,3990.235,1
3177.66235,4235.2373,1
3178.42432,3848.47119,1
3179.37769,3952.46265,1
3180.29932,5336.50635,4
3180.43,3932.494,1
3181.15625,4107.62158,1
3181.28052,4140.181,1
3181.4082,5313.9126,4
3181.61133,5090.048,4
3182.32813,3892.74023,1
3182.41235,5237.026,4
3183.39551,3985.44775,1
3183.8855,5589.59473,4
3184.51318,4271.896,1
3184.94287,4345.534,1
3185.11719,5245.72949,4
3185.96973,4159.97656,1
3187.02026,4155.88867,1
3187.97241,3909.7395,1
3187.98218,4127.088,1
3188.229,5480.753,4
3188.46582,4368.55859,1
3189.53223,4011.28931,1
3190.39917,4105.26025,1
3190.49414,3961.739,1
3190.73438,4013.877,1
3191.125,4211.085,1
3191.674,4139.197,1
3191.845,5364.32031,4
3192.16187,4285.74268,1
3192.71313,5635.715,4
3192.90137,5279.11133,4
3193.02539,4157.13428,1
3193.03369,5281.715,4
3193.2478,4146.6377,1
3195.21362,4135.603,1
3195.60986,4421.38135,1
3195.76563,5502.43652,4
3196.12622,5229.135,4
3196.611,4223.77539,1
3197.10425,4065.889,1
3197.294,4086.1167,1
3197.63037,4078.82764,1
3198,4078.878,1
3198.29956,5134.73438,4
3199.38232,4068.09131,1
3199.80737,4003.96753,1
3199.84644,4023.494,1
3202.61719,5384.838,4
3202.76245,4449.81836,1
3203.108,4471.214,1
3203.91821,4193.33,1
3204.65454,4097.0293,1
3205.4917,4325.713,1
3206.05566,4249.184,1
3206.095,3986.03223,1
3206.14355,4227.94043,1
3206.41162,4071.49,1
3207.05615,4069.693,1
3207.05664,4459.789,1
3207.22388,4081.994,1
3207.47437,3823.66675,1
3207.47485,4118.78369,1
3208.15112,4147.452,1
3209.22754,4132.447,1
3210.03345,4797.346,1
3210.48877,4030.531,1
3211.28223,4097.935,1
3211.56641,4619.16748,1
3212.143,3986.22339,1
3212.672,4039.90234,1
3213.1875,4313.524,1
3214.392,4205.29053,1
3215.45361,4412.636,1
3216.019,4072.68213,1
3216.21216,5274.587,4
3217.18579,3971.533,1
3218.76538,4031.42017,1
3218.84644,5334.36328,4
3218.99536,4467.5625,1
3219.57129,5356.00244,4
3219.95044,4488.05371,1
3220.49121,4044.995,1
3220.737,4420.52832,1
3220.82031,4108.39258,1
3221.71826,4458.955,1
3221.827,4067.86841,1
3223.02979,4335.5874,1
3223.08154,4227.157,1
3223.127,4223.95166,1
3223.377,4249.92529,1
3223.9812,4107.18359,1
3224.03442,4131.182,1
3224.64746,4327.317,1
3225.11548,4013.476,1
3226.38379,5346.91064,4
3226.66846,4417.79346,1
3227.27051,4639.00049,1
3227.3623,4006.80884,1
3228.63672,4260.753,1
3229.18384,4158.936,1
3229.30859,4680.177,1
3229.60156,5255.864,4
3229.84644,5287.346,4
3230.32251,4344.8374,1
3231.67017,5173.895,4
3231.96069,4017.35669,1
3232.24438,5480.66064,4
3232.42065,5364.913,4
3232.473,4300.048,1
3232.74072,4383.916,1
3233.83081,4515.6,1
3234.44556,4233.334,1
3234.536,4323.106,1
3234.98535,4381.89,1
3234.98682,4181.61768,1
3235.6792,4459.87646,1
3235.75415,4128.35742,1
3237.1062,4481.19238,1
3237.23535,3814.08,1
3237.37842,4220.699,1
3238.24951,4234.957,1
3238.39819,4135.94775,1
3239.55786,3956.32471,1
3240.121,4572.931,1
3240.46362,4052.51318,1
3240.61182,3861.20874,1
3240.70947,4162.022,1
3241.11255,5404.80469,4
3241.15869,5674,4
3241.39136,5410.196,4
3243.56,4247.242,1
3244.10352,4417.93555,1
3245.15479,4098.366,1
3245.189,4322.705,1
3246.22974,5273.108,4
3246.523,4181.604,1
3246.5813,5302.68555,4
3246.78662,4156.876,1
3246.88135,4202.06836,1
3246.88452,4433.05029,1
3247.33521,4220.2627,1
3247.663,4313.887,1
3247.686,4262.72754,1
3248.012,4456.77051,1
3248.13477,4107.73535,1
3249.07642,5232.52344,4
3249.15112,4143.211,1
3250.371,5622.823,4
3250.94116,4569.86475,1
3251.00146,4380.231,1
3251.39551,4438.78027,1
3251.42383,4266.96875,1
3252.33862,4287.068,1
3252.4917,5544.937,4
3252.57373,4430.781,1
3252.846,4140.18359,1
3253.97388,4470.626,1
3254.00513,5182.736,4
3254.70581,5489.17725,4
3255.13257,4286.756,1
3255.722,4382.311,1
3255.93286,4493.11963,1
3256.77368,4299.95557,1
3256.98242,4393.778,1
3257.20239,4350.325,1
3257.71362,4436.8374,1
3258.3877,4180.51465,1
3258.94385,3954.81567,1
3259.10742,4261.781,1
3259.17969,4572.46875,1
3259.28662,4189.19434,1
3259.814,4213.614,1
3259.81763,4009.63257,1
3259.843,4229.815,1
3260.80054,4182.713,1
3261.72852,4517.40137,1
3261.773,4478.84863,1
3262.5354,4172.05957,1
3262.573,4287.573,1
3262.75,4515.771,1
3262.79688,4385.428,1
3262.97046,5415.62646,4
3263.297,4184.61768,1
3263.48657,4608.84668,1
3263.69,4470.21729,1
3264.47974,4216.05371,1
3264.591,4281.445,1
3264.61353,5611.20947,4
3265.3894,5522.549,4
3265.836,5291.722,4
3266.00854,4416.74268,1
3266.20557,4171.873,1
3266.38818,4399.613,1
3266.59937,4302.11768,1
3266.775,4140.396,1
3267.10986,4493.70459,1
3267.2417,4140.492,1
3267.752,4379.59326,1
3267.93115,4154.379,1
3268.37,4355.14648,1
3268.86865,5583.56934,4
3269.8313,4066.029,1
3269.93677,4389.16,1
3270.1333,5654.719,4
3270.33472,4661.85449,1
