Ch1 Amplitude,Ch2 Amplitude,Cluster
1111.90027,1623.10779,1
1196.916,1772.78687,1
1210.09888,1613.423,1
1246.08765,1911.77417,1
1491.301,2232.63159,1
1511.479,2345.795,1
1560.347,2300.85181,1
1588.15479,2176.18848,1
1666.05334,2423.6062,1
1690.72632,2568.912,1
1702.57983,2437.39038,1
1741.76245,2481.05615,1
1755.91479,2300.55469,1
1844.09888,2539.0835,1
1852.00867,2404.715,1
1853.13672,2662.6438,1
1854.56873,2544.393,1
1882.31689,2544.067,1
1890.83655,2638.65234,1
1970.127,2373.941,1
2038.138,2730.10376,1
2051.262,3030.75439,1
2101.94116,2775.66187,1
2107.092,2802.33618,1
2113.14722,2926.00049,1
2179.72241,2886.84521,1
2187.79834,2844.85571,1
2223.20166,2884.12842,1
2234.70068,3102.95923,1
2256.178,3248.302,1
2264.47778,3295.32886,1
2264.54175,3032.58472,1
2268.98364,3345.465,1
2271.05762,3173.76929,1
2275.60767,2868.28662,1
2276.2334,3779.98926,1
2291.45068,3124.32813,1
2293.47827,3233.50073,1
2294.573,3125.59863,1
2296.95,3062.492,1
2304.683,2866.7085,1
2309.452,3074.42,1
2310.0625,3222.58887,1
2322.62036,3236.078,1
2324.56323,3312.05078,1
2324.69263,3155.93213,1
2325.50537,3195.393,1
2327.26587,3274.631,1
2327.72021,3290.87842,1
2333.50244,2934.04028,1
2334.20923,3261.33252,1
2336.05957,2910.78418,1
2339.47534,3222.52734,1
2343.2085,3348.117,1
2344.89673,3270.984,1
2350.01221,3223.0166,1
2351.629,3165.44922,1
2353.84937,3194.86035,1
2354.61279,3119.74829,1
2354.84473,3043.53076,1
2364.68262,3242.66479,1
2369.2,3295.39355,1
2372.19751,3170.14966,1
2379.30518,3446.075,1
2379.59766,3317.66016,1
2382.95581,3262.565,1
2389.06787,3343.69287,1
2391.491,3296.11182,1
2393.84668,3176.21436,1
2394.654,3174.80054,1
2395.54639,3423.38916,1
2415.3938,3148.20215,1
2417.4436,3264.15063,1
2421.3623,3046.15845,1
2421.50635,3299.811,1
2425.1106,3356.19165,1
2429.176,3202.21973,1
2433.626,3255.04956,1
2433.91772,3105.30371,1
2434.44067,3334.842,1
2435.32031,3136.08643,1
2450.17944,3271.66455,1
2451.58057,3099.54541,1
2452.27954,3155.81348,1
2452.61572,3146.23315,1
2455.94727,3278.32227,1
2461.146,3338.23877,1
2461.73267,3071.4834,1
2462.78442,4165.32959,1
2465.75562,3303.77319,1
2469.51636,3207.008,1
2471.00171,3487.152,1
2474.17065,3056.351,1
2476.21851,3300.04858,1
2477.55029,3299.19653,1
2478.58228,3165.30469,1
2480.76733,3677.445,1
2481.21436,3392.20068,1
2486.29468,3421.928,1
2487.29272,3454.52734,1
2488.59326,3517.78247,1
2490.2395,3131.94531,1
2492.434,3244.95947,1
2497.25269,3763.15845,1
2499.87476,3504.80273,1
2500.45654,3344.17334,1
2501.57959,3265.54785,1
2503.277,3409.96631,1
2505.706,3398.361,1
2509.24438,3107.5957,1
2513.19385,3562.34326,1
2514.45361,3488.95313,1
2518.45313,3484.57227,1
2519.92676,3356.055,1
2520.52368,3435.61523,1
2522.592,3394.376,1
2523.62744,3428.86157,1
2524.74829,3588.62524,1
2526.36255,3302.2644,1
2527.54541,3338.803,1
2527.75122,3441.54858,1
2529.66626,3444.77124,1
2530.21118,3283.222,1
2530.41,3420.36938,1
2531.74023,3377.59839,1
2534.151,4224.17,1
2534.961,3362.19824,1
2535.50146,3613.644,1
2537.97852,3430.5415,1
2538.02441,3578.55615,1
2543.82813,3389.20166,1
2544.03931,3167.83765,1
2544.18164,3354.3252,1
2548.96387,3489.65186,1
2549.103,3475.41553,1
2550.421,3453.245,1
2552.57813,3450.4646,1
2556.01245,3360.10352,1
2561.09863,3498.15967,1
2561.34448,3273.515,1
2561.985,3465.17676,1
2562.53979,3453.434,1
2564.325,3516.82,1
2564.32764,3646.17114,1
2564.85571,3376.501,1
2566.639,3508.27637,1
2569.74146,3540.994,1
2569.77075,3667.1333,1
2571.47778,3239.4104,1
2574.53149,3491.17236,1
2582.27368,3366.65649,1
2582.56348,3524.703,1
2582.62427,3304.07739,1
2583.71118,3517.67041,1
2584.745,3465.437,1
2585.113,3600.44751,1
2585.8562,3372.496,1
2587.823,3299.15918,1
2589.23364,3428.148,1
2593.415,3608.96973,1
2594.81079,3365.27319,1
2595.54077,3888.06787,1
2597.07715,3625.07739,1
2601.2832,3565.94653,1
2601.49365,3591.03125,1
2602.08545,3426.59473,1
2603.829,3813.19336,1
2607.631,3397.68677,1
2608.43774,3378.607,1
2608.80566,4435.70459,1
2610.657,3308.80713,1
2615.05176,3807.72461,1
2619.05151,4256.384,1
2619.25854,3548.917,1
2619.944,4223.482,1
2623.90967,3378.85938,1
2624.00269,3653.6438,1
2626.38623,3416.084,1
2630.674,3559.44678,1
2633.38647,3754.66187,1
2635.92578,3362.59937,1
2640.51465,3640.09277,1
2640.84961,3489.72021,1
2641.55664,3556.09375,1
2645.555,3443.575,1
2647.167,3475.4,1
2648.96826,4357.8877,1
2654.38525,3599.43945,1
2655.50586,3779.11621,1
2655.83838,3498.7002,1
2658.018,3640.64,1
2660.948,3414.90527,1
2661.34888,3387.154,1
2663.786,3556.76172,1
2666.02173,3694.8938,1
2666.91187,3399.78955,1
2668.777,3414.777,1
2670.37256,3636.57617,1
2672.842,3615.10645,1
2676.2478,3390.686,1
2676.851,3617.92017,1
2683.89771,3462.80176,1
2686.392,3480.057,1
2688.21753,4054.48853,1
2690.48267,3508.1355,1
2691.4834,3509.43359,1
2693.187,4764.72754,1
2693.26514,3735.39844,1
2694.24585,3607.84082,1
2698.58276,3817.57617,1
2701.05518,3780.94385,1
2701.20264,3532.05127,1
2702.08179,3777.55957,1
2702.69238,3318.85254,1
2705.77417,3717.79956,1
2711.09058,3645.25415,1
2711.12085,3349.72827,1
2711.91626,3791.12744,1
2713.306,3439.819,1
2714.11646,3737.78076,1
2714.59888,3437.25757,1
2717.00049,3507.285,1
2717.389,3538.463,1
2719.46631,3624.86523,1
2725.81787,3714.37451,1
2727.57617,3663.934,1
2732.183,3515.28784,1
2732.92871,3719.518,1
2733.83081,3687.91138,1
2735.9585,3496.837,1
2737.197,3435.55786,1
2738.063,3366.81348,1
2739.09448,3772.96875,1
2740.72461,3345.929,1
2740.72461,3705.05566,1
2751.13062,3655.32324,1
2753.87744,3682.09375,1
2754.77686,3916.88818,1
2754.88062,3942.2417,1
2759.22949,3419.787,1
2759.66357,3747.89282,1
2760.71484,3734.73169,1
2760.95239,3726.09131,1
2762.47559,4233.65869,1
2763.859,3857.0896,1
2765.816,3624.57471,1
2766.24927,3632.092,1
2767.65869,3552.08618,1
2770.33716,3379.04175,1
2770.40771,3501.86,1
2771.31274,3797.214,1
2771.72266,3991.4314,1
2771.91626,3697.87183,1
2772.7,3751.81714,1
2773.63623,3672.883,1
2774.15723,3841.79,1
2778.99219,3788.9104,1
2780.88477,3466.847,1
2781.41113,3417.45654,1
2781.42651,4035.72559,1
2781.5105,3438.65552,1
2784.44019,3684.90259,1
2785.25659,3658.71777,1
2785.28345,3597.891,1
2787.32666,3378.15063,1
2787.90479,3777.27,1
2789.59741,4162.71,1
2790.72119,4061.04,1
2792.06519,3677.088,1
2792.20068,3670.0144,1
2793.23,3540.68,1
2796.105,4228.512,1
2796.78,3613.43872,1
2796.7915,3427.817,1
2797.295,3571.6897,1
2797.54541,3598.33472,1
2799.63623,3630.64087,1
2801.22534,3756.70386,1
2801.98877,3808.43823,1
2802.68726,3546.6687,1
2805.23169,3611.385,1
2806.101,3890.64185,1
2806.11816,3561.90283,1
2806.585,3720.07324,1
2807.06787,3708.46753,1
2807.44434,3770.05347,1
2810.16675,3765.19043,1
2812.61523,3761.59521,1
2813.088,3738.624,1
2814.99365,3890.84521,1
2815.24756,3767.89551,1
2821.52222,4147.85742,1
2822.15161,3771.481,1
2824.43555,3853.974,1
2825.17383,3976.61719,1
2825.367,3728.112,1
2825.704,3616.14063,1
2826.519,3589.91138,1
2827.5188,3698.24585,1
2829.12573,3860.58374,1
2829.78247,4155.94629,1
2830.632,4717.432,1
2833.55566,3754.239,1
2836.05444,3961.30151,1
2836.45313,3939.91113,1
2836.50269,4030.812,1
2837.73071,3695.70044,1
2840.814,3716.78,1
2840.9126,3773.13916,1
2841.22876,3899.7876,1
2841.36816,3831.457,1
2841.44336,3832.5144,1
2842.838,3555.51855,1
2843.40332,3584.66846,1
2844.20874,3683.90552,1
2844.75244,3868.02881,1
2844.79858,3900.133,1
2844.95337,4270.15137,1
2846.80322,3441.14771,1
2849.45483,3874.63281,1
2859.36279,3825.50317,1
2859.52856,4073.56738,1
2859.62,4085.11426,1
2861.63159,4012.8606,1
2862.4646,4042.72461,1
2864.98,3587.84961,1
2868.59253,3861.797,1
2869.34082,3890.193,1
2869.468,3863.62329,1
2869.75977,3845.769,1
2870.10742,3906.8396,1
2870.626,4158.753,1
2872.40869,4325.13867,1
2872.78149,3701.97827,1
2872.984,3718.46875,1
2873.55176,4019.694,1
2873.77026,3850.75171,1
2874.23633,3766.26,1
2874.91455,3604.4502,1
2875.88867,3723.78833,1
2876.01563,3719.57544,1
2876.24731,4057.5437,1
2878.02881,3720.08667,1
2878.17822,4104.65137,1
2878.254,4080.431,1
2879.0083,4178.405,1
2879.57617,3709.21167,1
2879.88818,4102.07,1
2880.844,4201.637,1
2880.91772,4407.859,1
2881.37964,4329.123,1
2882.7793,4063.40234,1
2884.39185,4213.58643,1
2886.234,3862.84448,1
2886.38135,3431.20044,1
2888.332,4494.67773,1
2888.81079,3998.45,1
2889.3064,3644.09326,1
2889.35083,3756.38184,1
2889.61328,4243.0376,1
2890.792,3999.29614,1
2892.929,3914.644,1
2893.30713,3985.83228,1
2893.86963,4268.404,1
2896.07,3743.90674,1
2896.69751,3866.709,1
2896.9043,3822.18774,1
2898.55078,3861.99487,1
