Ch1 Amplitude,Ch2 Amplitude,Cluster
2188.62061,3019.061,1
2204.37354,3042.25659,1
2278.71558,2791.9978,1
2583.006,3575.091,1
2591.05981,3379.61133,1
2612.021,4267.28125,1
2657.897,3393.31763,1
2703.77515,3617.491,1
2729.25781,3406.82031,1
2731.70264,3577.6377,1
2743.625,3492.026,1
2752.57446,4422.63525,1
2765.52539,3738.68018,1
2766.37231,3455.134,1
2774.60352,4611.373,1
2783.21265,3686.77637,1
2797.0708,3684.305,1
2799.515,3623.34741,1
2802.17285,3611.871,1
2803.35815,4576.45557,1
2805.64429,3657.225,1
2810.9082,3626.6748,1
2814.28467,3701.11279,1
2820.31885,3655.184,1
2820.51538,3560.34521,1
2825.52612,3745.634,1
2826.92,3563.912,1
2830.95361,3670.67578,1
2835.22827,3749.24878,1
2842.84277,3615.664,1
2853.1,3800.346,1
2854.22632,3615.10938,1
2858.628,3815.13013,1
2858.91,3603.17432,1
2860.12427,3681.40479,1
2861.081,3631.38574,1
2862.0957,3670.85425,1
2864.54175,3491.69482,1
2866.9978,3564.4165,1
2870.05518,3730.33154,1
2873.57715,3418.78955,1
2877.59814,3639.738,1
2878.432,3816.54077,1
2880.327,3668.91284,1
2882.796,3590.17,1
2882.908,3571.83521,1
2883.027,3784.25122,1
2885.36841,3607.20679,1
2887.89575,3658.24243,1
2888.16382,3858.43555,1
2889.96924,3629.69678,1
2890.02246,3733.99414,1
2891.80151,3837.52246,1
2892.08618,3751.67676,1
2892.11914,3716.08838,1
2893.56226,3929.62939,1
2894.36621,3602.54126,1
2895.17529,3532.15576,1
2895.531,3712.67676,1
2901.82349,3704.32568,1
2906.47852,3770.41113,1
2912.06982,3973.91821,1
2912.66455,4317.931,1
2917.30273,3776.61133,1
2922.13452,3588.60864,1
2924.291,4122.412,1
2924.59863,4005.96484,1
2925.0376,3685.74121,1
2926.75342,3878.51343,1
2928.61,3963.50732,1
2928.84277,3554.22021,1
2929.06885,3799.7854,1
2936.33325,4437.953,1
2939.32568,3910.99634,1
2939.55933,3787.65845,1
2939.91748,3863.08252,1
2942.32764,3773.80225,1
2942.74536,3808.0166,1
2944.50781,3891.72656,1
2945.597,3944.98657,1
2947.43213,3590.975,1
2949.34326,3704.52539,1
2951.20532,3861.2085,1
2952.39868,3525.13257,1
2953.9397,3763.99268,1
2959.86523,3742.07275,1
2961.17383,3839.193,1
2961.80225,3753.28564,1
2963.99683,3782.60376,1
2964.13672,4308.355,1
2968.89,3778.28345,1
2969.091,3956.71582,1
2969.85718,3869.41919,1
2970.76172,3695.49976,1
2972.00464,3687.18945,1
2972.5813,4195.082,1
2972.91455,3663.10132,1
2973.432,3753.60913,1
2974.86841,4201.14,1
2975.03687,3518.793,1
2977.17285,3953.561,1
2977.89087,3801.496,1
2978.003,4339.662,1
2979.0022,4049.215,1
2979.52075,3806.25513,1
2980.97925,4815.99365,4
2981.26636,5176.75537,4
2981.87866,3712.87256,1
2982.77515,3664.80933,1
2982.94629,3561.84351,1
2983.26221,4056.373,1
2983.32837,4289.37354,1
2983.45825,3968.47778,1
2983.76465,4407.63672,1
2985.01855,3901.235,1
2985.45166,3996.91675,1
2987.42114,3721.6,1
2988.09082,3844.676,1
2988.25049,4001.80273,1
2991.126,3697.907,1
2992.14673,3913.43237,1
2993.87744,3773.268,1
2994.26831,5023.39453,4
2998.11914,3933.28735,1
2998.54688,3792.58521,1
2998.59058,4126.655,1
2998.88672,4185.4,1
3000.77539,3767.16577,1
3000.86646,3689.89258,1
3001.56226,3849.02515,1
3002.90356,3988.24561,1
3003.21045,4028.53687,1
3003.25244,3898.87939,1
3004.26318,3782.13281,1
3004.96167,4214.67529,1
3006.1748,3645.48877,1
3006.45532,4028.59424,1
3006.638,3795.97656,1
3007.0708,3926.927,1
3008.19971,3898.86816,1
3010.869,3566.87085,1
3012.60742,3691.54053,1
3014.62671,4134.12,1
3016.3147,4086.71,1
3018.35229,3920.7417,1
3018.81226,3791.94,1
3019.71313,3925.29272,1
3019.87622,4033.039,1
3021.97852,3652.248,1
3024.0564,4024.882,1
3024.1062,4281.84033,1
3024.68237,4045.8584,1
3024.837,4835.12646,4
3025.70728,4202.79932,1
3026.68286,3997.82739,1
3027.4585,4412.173,1
3029.00879,3804.43848,1
3029.826,3749.63647,1
3031.42285,3754.76074,1
3031.8,4027.347,1
3032.701,4094.62378,1
3036.60449,3859.392,1
3036.9563,3827.83447,1
3037.997,3933.11426,1
3039.48779,3948.36621,1
3043.09863,4217.61426,1
3043.94873,3735.08154,1
3044.122,4021.16187,1
3044.23486,3999.87817,1
