Ch1 Amplitude,Ch2 Amplitude,Cluster
1811.40686,2506.44458,1
1830.26025,2483.17285,1
1855.24561,2754.51318,1
1932.24365,2863.941,1
1957.53772,2823.69287,1
2073.1875,2896.151,1
2156.4,2847.5813,1
2190.044,3826.904,1
2326.38379,3234.184,1
2359.55933,3291.304,1
2366.17163,3281.78931,1
2386.51563,3494.87476,1
2394.34961,3220.659,1
2396.83765,3536.60156,1
2436.0835,3302.92627,1
2436.316,3235.31226,1
2438.6,3592.39331,1
2441.09619,3278.27515,1
2446.93066,3570.06055,1
2482.176,3709.92773,1
2488.619,3380.08838,1
2492.65527,3455.93335,1
2496.77954,3443.53271,1
2518.10474,3502.83984,1
2540.07886,4038.467,1
2552.897,3564.33057,1
2555.13013,3527.421,1
2556.54468,3493.95947,1
2560.00684,3707.799,1
2560.0542,3266.6792,1
2573.64233,3682.68262,1
2574.56543,3522.39282,1
2577.389,3422.925,1
2577.63354,3523.70654,1
2580.592,3479.09839,1
2584.17822,3621.82056,1
2585.37256,4411.394,1
2590.58765,3362.90479,1
2593.959,3572.8938,1
2607.88428,3602.70557,1
2619.35718,3578.32056,1
2621.29248,3492.46265,1
2623.195,3714.02124,1
2624.42749,3619.17554,1
2631.61353,3482.85669,1
2634.8584,3553.57275,1
2639.60864,3737.54932,1
2649.004,4695.885,1
2649.62158,3521.07983,1
2653.11157,4438.62842,1
2653.278,3588.06543,1
2653.49976,3530.96387,1
2654.35156,3578.98853,1
2654.54736,3755.44165,1
2655.1936,3531.35376,1
2658.83862,3737.02441,1
2664.314,3740.408,1
2677.12842,3580.77686,1
2677.847,3668.36182,1
2681.76831,3785.281,1
2688.45728,3740.06323,1
2690.94751,3869.29883,1
2705.05176,3655.6228,1
2710.77466,3637.628,1
2713.87085,3453.85474,1
2716.1665,3606.84351,1
2718.53076,3859.396,1
2722.56128,3687.28174,1
2725.20313,3955.03271,1
2727.634,3636.262,1
2733.54785,3725.84863,1
2740.39722,4000.167,1
2740.53613,3791.20166,1
2745.21216,3578.26929,1
2746.00732,3488.79321,1
2746.12646,3689.91675,1
2748.392,3729.432,1
2748.726,3656.55176,1
2749.14429,3709.10181,1
2753.06348,3797.722,1
2758.51563,3957.05078,1
2760.16919,4156.08057,1
2760.29248,3662.32959,1
2760.509,3652.668,1
2761.9165,4685.37744,1
2762.93262,3817.24536,1
2766.397,3907.80566,1
2775.29517,3771.918,1
2775.32642,3808.07349,1
2776.833,3771.381,1
2782.78076,3684.603,1
2783.471,3795.89551,1
2787.29272,4017.20264,1
2789.037,3817.69629,1
2793.30322,3955.587,1
2801.97144,3754.22534,1
2802.61377,3910.921,1
2803.72485,4053.05127,1
2807.68018,3617.96631,1
2808.42139,3927.82056,1
2814.63281,3800.1582,1
2816.94482,3724.952,1
2817.92847,3749.7793,1
2819.10181,4059.07349,1
2825.27271,3829.22559,1
2826.26758,3906.92627,1
2827.93115,4435.97266,1
2828.952,3708.73633,1
2828.96143,3958.26538,1
2829.99634,3844.59082,1
2832.595,3698.80737,1
2833.30786,3902.26587,1
2833.93384,3793.56567,1
2842.68359,4193.913,1
2845.30371,3506.74878,1
2848.02881,3790.40063,1
2848.17041,3773.09888,1
2849.59668,3729.64844,1
2855.703,3804.53857,1
2856.86841,3866.332,1
2856.95068,3776.81714,1
2859.77612,4124.2793,1
2862.43579,4010.71,1
2863.53052,3919.61938,1
2867.13843,3824.16138,1
2868.36157,4047.84,1
2868.48779,3867.10645,1
2871.128,4514.8916,1
2872.31641,3908.44043,1
2873.114,4065.12,1
2874.17871,3907.15649,1
2879.10156,4517.917,1
2879.39136,4104.17725,1
2880.28125,4875.33643,4
2880.8335,3773.1272,1
2881.77856,3930.05664,1
2886.68677,3984.95776,1
2887.337,3819.44238,1
2887.697,3855.16919,1
2887.975,3831.23584,1
2889.31641,3857.63818,1
2893.78125,3915.62866,1
2894.66724,4710.467,1
2902.19385,3989.92529,1
2903.318,3636.93286,1
2905.42139,3932.13354,1
2905.63037,4047.53882,1
2906.28955,3866.01587,1
2906.35815,3922.546,1
2906.4668,3847.11523,1
2906.781,3738.89551,1
2908.394,4613.82373,1
2910.15967,3778.68555,1
2911.58716,3988.738,1
2911.621,4079.60181,1
2912.92139,4037.80151,1
2913.62451,3927.74878,1
2914.8125,3801.35986,1
2917.70459,3938.009,1
2918.55542,4384.65332,1
2918.663,4915.9624,4
2920.37524,3679.72,1
2921.26,3897.03882,1
2921.282,3938.498,1
2921.38623,3972.196,1
2921.61133,4983.36963,4
2922.73926,3942.24219,1
2923.48633,3710.59473,1
2924.87769,3729.1604,1
2925.03247,3879.094,1
2928.0647,5004.502,4
2928.61987,3972.02246,1
2928.927,4211.819,1
2929.32983,4207.7627,1
2932.75952,3960.67139,1
2933.39,4116.18066,1
2933.66479,3920.46753,1
2935.29541,3832.63477,1
2939.826,4135.524,1
2940.06567,3818.80566,1
2941.49072,4090.60547,1
2941.82471,3829.64063,1
2942.821,3869.03369,1
2947.87354,4153.51172,1
2951.4082,3921.712,1
2951.991,3818.59521,1
2952.47388,4002.43164,1
2955.11475,3975.26025,1
2956.36035,4022.1814,1
2956.90845,3691.909,1
2958.77124,4062.261,1
2961.60254,4196.656,1
2962.35449,3919.84814,1
2962.489,3882.00073,1
2962.84668,4286.03662,1
2963.12036,4027.8064,1
2964.57275,4294.5415,1
2969.0127,4087.3103,1
2969.46,4030.8186,1
2970.77466,4181.99072,1
2971.28345,3932.50171,1
