Ch1 Amplitude,Ch2 Amplitude,Cluster
2465.67,3200.262,1
2746.108,3695.66235,1
2845.84058,4686.34131,1
2879.473,5079.55566,4
2897.32324,4297.242,1
2898.51318,4255.85059,1
2913.54468,4231.64258,1
2917.92822,3629.9646,1
2920.83276,4062.22632,1
2935.79736,4179.78271,1
2951.87183,4268.02539,1
2952.68384,4299.167,1
2978.55127,3755.456,1
2992.476,4176.50146,1
3012.74268,4230.395,1
3015.37744,4036.58081,1
3018.89648,5120.29834,4
3019.706,4192.71875,1
3020.04126,4290.67627,1
3031.45239,4393.816,1
3031.87354,4420.774,1
3038.656,3888.18066,1
3040.539,3898.571,1
3041.14575,4235.051,1
3043.00244,4019.623,1
3044.88574,4088.23877,1
3045.8584,4082.066,1
3046.05762,3891.65234,1
3050.254,4136.25342,1
3050.793,4293.678,1
3056.035,3953.95459,1
3056.19873,4121.61475,1
3060.09326,5239.9624,4
3063.09839,5223.73145,4
3063.41113,4255.37354,1
3063.44238,4263.09668,1
3063.711,5236.99463,4
3065.27734,4098.01,1
3065.88574,5092.17041,4
3067.673,4137.55664,1
3068.18652,3944.39258,1
3069.38428,4794.217,1
3070.70825,4404.727,1
3073.19238,5086.67969,4
3079.46924,4194.273,1
3081.21118,4276.24561,1
3082.61572,4082.99121,1
3082.87061,4229.143,1
3089.90527,4034.01855,1
3092.04053,4020.36182,1
3092.1123,4248.02246,1
3092.81079,3899.7312,1
3094.06177,5021.999,4
3095.711,4032.65,1
3098.98364,4208.753,1
3099.645,4293.52637,1
3101.77344,5310.49268,4
3102.41968,4541.5625,1
3103.619,3994.28833,1
3105.92627,5158.02441,4
3109.371,4117.531,1
3111.72876,4188.69434,1
3112.792,4601.12549,1
3112.88037,4026.64063,1
3116.6145,4085.34961,1
3116.66479,4265.252,1
3120.74365,4504.249,1
3121.41,4234.184,1
3122.58228,4097.033,1
3127.21,5169.12354,4
3127.77539,4295.01172,1
3129.6062,4351.24561,1
3129.712,4131.02637,1
3130.19482,5220.24365,4
3130.71338,4074.543,1
3131.005,4068.61719,1
3131.6145,4416.879,1
3132.00757,4012.23169,1
3132.73584,5583.61475,4
3133.00562,3968.13232,1
3136.10376,3992.34424,1
3136.14624,4116.531,1
3137.43042,4119.36963,1
3138.261,4329.774,1
3138.85474,5152.46729,4
3140.40771,4438.459,1
3140.45435,4149.024,1
3141.292,4135.59033,1
3142.42358,3884.87378,1
3143.04272,4190.253,1
3143.72656,4404.657,1
3144.14551,3952.12866,1
3144.24219,4193.2417,1
3144.54126,3985.37231,1
3145.75,4169.174,1
3146.00146,4484.64746,1
3146.554,4315.251,1
3146.805,3986.947,1
3147.94775,3840.762,1
3148.33521,5355.55859,4
3150.025,4253.7627,1
3150.79028,3881.07813,1
3151.37549,5383.18555,4
3152.31177,5242.17334,4
3152.37524,5368.11963,4
3152.65283,5394.955,4
3152.75024,4124.134,1
3153.233,4129.707,1
3153.852,4085.72632,1
3154.338,4018.82813,1
3154.81714,4313.03174,1
3154.85449,4183.286,1
3154.907,4462.03,1
3154.94141,4404.32227,1
3155.143,4436.50928,1
3155.66577,3979.325,1
3156.43066,4004.32129,1
3157.04956,4092.048,1
3157.19629,3996.55054,1
3158.91553,3729.12866,1
3158.96777,4378.212,1
3160.551,4563.81348,1
3161.31421,4359.597,1
3162.06128,4125.882,1
3164.04614,4329.4707,1
3164.13721,4006.03687,1
3164.454,4491.663,1
3165.64844,3975.88477,1
3166.27,4243.03369,1
3167.70776,4033.01733,1
3167.966,4299.62842,1
3168.717,4333.42139,1
3168.74854,4206.50537,1
3168.80664,3900.85474,1
3169.96851,3954.15186,1
3170.53174,4379.164,1
3171.19165,5571.21436,4
3172.98779,4472.22949,1
3173.20361,4487.12354,1
3173.50244,4201.69043,1
3174.42114,4187.42236,1
3175.583,4041.7627,1
3176.52148,4257.508,1
3176.93335,4186.786,1
3178.10449,3993.02856,1
3179.01782,4440.79541,1
3179.48877,4097.71729,1
3179.77979,5309.011,4
3179.98071,4308.101,1
3180.60815,5498.57959,4
3180.90234,4207.846,1
3182.01953,4271.502,1
3182.20264,4261.87158,1
3182.528,4110.31,1
3183.72876,4050.43042,1
3184.003,4502.72168,1
3184.134,4203.24561,1
3184.13428,4398.319,1
3184.15479,4131.03955,1
3184.79785,5321.328,4
3185.30737,4221.559,1
3185.47876,4454.861,1
3185.79272,4293.236,1
3185.95947,4312.74463,1
3186.27637,4290.60059,1
3186.84961,4087.32349,1
3186.88721,3907.64941,1
3187.4563,5506.49365,4
3189.25928,4424.403,1
3189.30786,4266.177,1
3189.31543,4299.955,1
3189.61523,4210.774,1
3189.834,4332.888,1
3189.92944,4253.02637,1
3190.33813,5375.91162,4
3190.71118,4534.734,1
3190.88013,4207.767,1
3191.01855,4250.03662,1
