Ch1 Amplitude,Ch2 Amplitude,Cluster
1178.9541,1594.675,1
1179.85327,1743.47632,1
1340.20935,1954.2749,1
1366.84753,1725.54932,1
1631.6001,2425.5603,1
1665.46,2393.55078,1
1723.04688,2584.397,1
1724.08289,2575.85962,1
1737.99426,2551.716,1
1751.04626,2622.50928,1
1752.72571,2227.584,1
1817.08337,2472.86182,1
1853.99524,2617.60864,1
1857.37659,2490.206,1
1872.24792,2686.24023,1
1881.064,2708.65479,1
1900.15857,2392.27051,1
1902.76147,2861.19653,1
1909.50281,2615.06836,1
1925.617,2504.13354,1
1926.32251,2631.08765,1
1941.78394,2406.72363,1
1961.61243,2627.24243,1
2019.57544,3047.86987,1
2028.6239,2833.22876,1
2052.14746,2688.5022,1
2052.79053,3072.78833,1
2147.46851,2904.62817,1
2160.19678,2713.46631,1
2161.961,3279.20459,1
2175.26782,2976.313,1
2176.0896,3060.45068,1
2202.9978,3236.40918,1
2230.38281,2964.5354,1
2278.09253,2901.12378,1
2296.54028,2962.28564,1
2309.72949,3226.9646,1
2320.05273,3129.99072,1
2320.997,3161.29,1
2323.07813,3495.64819,1
2375.71265,3026.54126,1
2381.96118,3174.92261,1
2385.73853,3065.02026,1
2385.92432,3290.1958,1
2388.78467,3428.40576,1
2390.37476,3393.4502,1
2398.60327,3445.30884,1
2398.96362,3328.469,1
2404.91724,3280.49854,1
2417.08325,3108.114,1
2418.437,3262.71631,1
2424.79541,3352.76929,1
2425.49414,4044.974,1
2436.19385,4005.67285,1
2440.27344,3369.83057,1
2441.326,3264.436,1
2455.63257,3546.95972,1
2482.982,3504.15015,1
2508.52881,3518.757,1
2516.55859,4144.933,1
2544.46851,3601.35083,1
2554.494,3482.461,1
2561.45044,3613.075,1
2590.264,3691.02051,1
2590.769,3530.08545,1
2597.69165,4024.90161,1
2618.30127,3935.013,1
2642.367,3803.918,1
2658.26758,3617.88135,1
2669.789,3537.08887,1
2672.82959,3524.32178,1
2695.75757,3751.48071,1
2711.60913,3957.07031,1
2718.46777,3748.855,1
2719.7373,3608.33569,1
2722.219,3788.98828,1
2725.64136,3929.52148,1
2726.1626,3895.52686,1
2736.348,3406.56445,1
2744.98486,3966.89136,1
2770.59644,4121.30664,1
2773.28784,4094.21313,1
2778.01782,3875.20923,1
2783.33081,3749.05322,1
2785.66919,3782.34155,1
2790.59644,4468.594,1
2792.57178,3810.70459,1
2796.67334,3967.08423,1
2821.78735,4286.189,1
2822.10132,4101.987,1
2822.18433,4001.82813,1
2830.35547,3915.118,1
2831.671,4039.63843,1
2837.10156,4106.54053,1
2837.89282,4251.702,1
2840.32715,4021.39185,1
2841.19458,4004.57275,1
2842.58716,4091.37231,1
2844.19629,4055.56079,1
2851.12036,4101.057,1
2851.84375,3954.04639,1
2852.6355,3923.25171,1
2856.29346,4181.79736,1
2868.33423,3986.33521,1
2872.67554,3998.6355,1
2873.03223,3929.49927,1
2875.1814,3679.17114,1
2877.47729,4025.572,1
2880.6145,4468.88232,1
2884.05249,3952.83936,1
2884.718,4112.00635,1
2888.18,4219.957,1
2890.102,4358.066,1
2892.0957,5101.636,4
2892.42725,4698.06152,1
2893.83765,4016.6145,1
2896.9353,3660.122,1
2897.24683,4081.88037,1
2898.00439,4228.714,1
2898.1438,4363.17,1
2902.67188,4524.06641,1
2903.65869,4210.245,1
2904.272,4005.985,1
2904.57,4381.39648,1
2904.64917,3793.064,1
2904.738,4412.372,1
2907.8938,4431.768,1
2909.65039,4289.997,1
2909.9917,4227.437,1
2911.31641,4244.84229,1
2911.572,4340.9126,1
2912.272,4070.221,1
2912.8584,4098.392,1
2915.89941,4423.87,1
2916.26123,4059.363,1
2916.70166,4270.74561,1
2920.73584,4191.05762,1
2922.08228,4050.61279,1
2922.41748,4116.204,1
2922.59766,4336.56543,1
2925.96313,4149.33057,1
2931.50049,4721.017,1
2931.53223,4304.44043,1
2932.363,4002.01074,1
2934.648,4369.935,1
