Ch1 Amplitude,Ch2 Amplitude,Cluster
2927.05835,4436.05566,1
2959.90649,3639.519,1
2962.22168,4315.111,1
2963.845,4381.805,1
2969.77539,4118.669,1
2990.11938,4332.55469,1
2993.547,3906.49243,1
3020.55029,4358.215,1
3022.94653,4295.365,1
3023.557,4221.253,1
3025.03052,3991.055,1
3025.153,4286.307,1
3030.60767,4302.663,1
3032.70215,4235.2583,1
3033.142,4348.40527,1
3038.30151,4544.82666,1
3041.25586,4088.61914,1
3056.87231,4377.427,1
3057.155,3967.85474,1
3058.0022,3942.32178,1
3060.37524,4245.27441,1
3064.13745,4404.16162,1
3064.44385,4508.64,1
3064.89819,4309.398,1
3065.38623,4391.85645,1
3065.479,4280.401,1
3072.709,4307.08643,1
3073.04639,4318.449,1
3088.88232,4576.60742,1
3091.847,3926.109,1
3092.15942,4322.95068,1
3095.39258,4314.35059,1
3095.62817,4201.371,1
3095.97,4053.349,1
3096.09033,4111.30225,1
3096.75439,3836.87231,1
3101.31348,4197.78564,1
3103.914,4420.74268,1
3104.5752,3861.70752,1
3107.70361,4117.598,1
3108.79858,4192.849,1
3112.06519,4230.75146,1
3114.078,4286.89941,1
3120.02051,4179.845,1
3120.0603,4054.85986,1
3120.8938,4538.943,1
3124.14087,3845.13843,1
3125.82129,4274.57568,1
3130.65283,4103.59326,1
3131.916,3974.37061,1
3132.29517,3880.41553,1
3137.211,4074.5415,1
3138.85229,4445.71143,1
3140.1062,4447.355,1
3141.943,4369.881,1
3142.55029,4269.605,1
3143.53638,3846.38843,1
3143.82959,4108.035,1
3143.9563,4010.60669,1
3145.95117,4063.37939,1
3145.97339,4242.14,1
3148.49146,4027.20483,1
3152.44531,4137.572,1
3153.1228,3953.29858,1
3153.81885,4467.586,1
3154.85156,4126.48,1
3156.176,4315.3877,1
3157.09863,4614.89746,1
3157.319,4446.717,1
3159.713,3854.64136,1
3160.237,4002.39526,1
3160.46533,4299.536,1
3161.266,4430.33936,1
3161.30029,4391.212,1
3161.61719,4023.9978,1
3161.76416,4394.87549,1
3163.34058,3982.353,1
3163.548,4312.782,1
3163.81372,4054.162,1
3164.27734,4405.822,1
3164.70044,4364.94531,1
3165.38354,4057.39355,1
3165.77075,4248.524,1
3166.17944,4379.195,1
3167.217,4055.52368,1
3168.09985,4625.496,1
3168.11426,4163.45361,1
3170.37183,3973.56372,1
3173.883,4375.676,1
3174.198,4496.90674,1
3174.64087,5211.386,4
3178.273,4135.20947,1
3178.53564,4150.704,1
3178.669,4219.06055,1
3179.65015,4488.071,1
3180.26953,4379.80566,1
3180.924,3996.06152,1
3181.882,4058.63135,1
3182.68066,4104.777,1
3182.68164,4591.914,1
3183.13721,4192.10254,1
3183.491,4054.8728,1
3184.014,4209.351,1
3184.452,3865.62524,1
3184.94824,4551.65332,1
3186.93774,4535.90869,1
3187.23438,4300.75,1
3188.664,3991.32422,1
3188.95361,3925.67114,1
3189.14355,4029.7793,1
3190.38647,4402.396,1
3191.08057,4044.67944,1
3191.18066,4399.22852,1
3191.995,4008.89233,1
3195.18018,4156.104,1
3195.22217,4416.56738,1
3195.25171,4202.36,1
3197.30273,4207.73633,1
3198.18921,4381.79346,1
3199.8042,4203.888,1
3199.85229,4262.646,1
3199.98218,4190.032,1
3201.16284,3840.80273,1
3201.206,4482.31641,1
3201.368,4411.47559,1
3201.64063,4365.266,1
3202.712,4265.879,1
3202.75977,4405.16455,1
3202.81836,4335.407,1
3203.08276,4301.96875,1
3203.73975,4431.28174,1
3205.52173,4453.373,1
3206.102,4200.317,1
3206.27783,4066.9292,1
3206.86938,4400.87354,1
3208.73828,4402.34326,1
3208.786,4409.51172,1
3209.26855,4276.63672,1
3210.48975,4044.83154,1
3210.693,3893.944,1
3211.90234,4428.47754,1
3212.00635,4040.1416,1
