Ch1 Amplitude,Ch2 Amplitude,Cluster
292.0663,450.948669,1
1471.72571,2076.756,1
1491.25232,2164.333,1
1678.735,2676.38843,1
1682.29932,2509.32642,1
1694.82715,2491.229,1
1695.48987,2321.73584,1
1731.11389,2510.1687,1
1740.812,2371.373,1
1807.244,2486.42578,1
1816.18689,2738.79639,1
1820.13574,2470.87036,1
1828.4054,2835.86133,1
1837.31934,2520.758,1
1850.84973,2505.06836,1
1877.89771,2581.16284,1
1898.7804,2773.44629,1
1930.41248,2910.96753,1
1932.02332,2827.145,1
1957.18628,2824.813,1
2002.10437,2895.61719,1
2013.46887,2978.70068,1
2104.71558,2981.01343,1
2114.764,2782.42358,1
2142.23315,2939.87378,1
2152.09961,3044.76538,1
2159.41748,3236.59741,1
2239.4917,3266.03857,1
2240.41382,3340.26172,1
2251.6853,3312.61914,1
2264.85864,3402.158,1
2269.2395,3114.58521,1
2299.52832,3198.00073,1
2351.82129,3715.616,1
2399.81226,3337.53638,1
2399.88037,3304.23682,1
2432.548,3392.41187,1
2552.77515,3570.13452,1
2725.23975,3877.9375,1
2846.92676,3898.07422,1
2912.838,3956.75537,1
2920.207,4196.7793,1
2922.97339,3896.20557,1
2949.834,4185.7085,1
2960.192,4128.3,1
2964.755,4092.53638,1
2986.1665,5072.654,4
2986.83276,4145.48145,1
3004.47119,4103.389,1
3007.84985,4182.854,1
3011.68042,4116.282,1
3012.58813,4421.982,1
3013.75537,4114.94,1
3014.134,4127.78369,1
3018.04834,5039.07129,4
3020.43726,4114.66,1
3027.71631,4174.732,1
3028.33,4099.00928,1
3034.56543,4084.077,1
3043.04419,4115.66455,1
3046.1106,3970.75757,1
3046.55127,4099.126,1
3051.54443,4280.086,1
3052.56372,4100.404,1
3061.738,5188.514,4
3062.391,4242.359,1
3062.60229,4178.691,1
3064.32422,4096.859,1
3064.70557,4143.93359,1
3066.57349,3989.42969,1
3067.4104,4073.08374,1
3072.37769,4142.03564,1
3075.45776,4963.753,4
3075.859,4231.76855,1
3078.1748,4173.999,1
3088.83325,4036.03833,1
3090.228,4031.43115,1
3097.82861,4251.35254,1
3098.358,5149.499,4
3098.8938,4594.06055,1
3100.53955,4120.736,1
3109.2063,4113.191,1
3111.587,4216.10059,1
3112.75439,5356.1084,4
3115.45874,4358.04639,1
3118.40454,4097.848,1
3118.76025,4151.53369,1
3120.76123,4246.437,1
3123.00879,4443.837,1
3123.27441,4169.86328,1
3124.94165,4073.98926,1
3127.70581,4179.66943,1
3128.64526,4170.17725,1
3129.447,4274.875,1
3129.72021,4130.57861,1
3134.9082,4343.584,1
3134.963,4290.949,1
3137.37256,5191.944,4
3139.60938,4058.09985,1
3140.87183,4323.901,1
3145.8457,4097.84326,1
3146.055,4234.00928,1
3146.705,4301.635,1
3146.80371,4287.643,1
3147.82422,4188.58838,1
3148.13013,4234.00635,1
3150.63525,3987.357,1
3152.44385,4463.246,1
3156.15723,4259.58252,1
3158.65552,4244.89,1
3160.844,4253.15674,1
3167.8208,5096.28369,4
3168.39526,4005.56616,1
3177.61719,4284.22,1
3178.47144,4254.635,1
3178.77612,4516.19434,1
3181.37817,4220.69238,1
3184.08984,4422.47754,1
3185.89941,4531.295,1
3191.19946,4257.72461,1
3191.21558,4390.663,1
3191.758,4431.83252,1
3198.19946,4270.351,1
3200.18335,4260.111,1
3200.84229,4269.858,1
3206.08667,4391.991,1
3206.14844,4588.03467,1
3212.865,4319.884,1
3215.292,4315.747,1
3216.788,4384.38428,1
3217.51685,4419.99951,1
3218.43,4157.50537,1
3219.802,4322.48975,1
3221.19043,4714.701,1
3221.59668,4334.765,1
3224.90356,4736.87842,1
3225.05225,4458.83838,1
3225.36914,4042.41162,1
3228.12549,4612.63135,1
3230.93457,5097.11768,1
3232.72485,4391.761,1
3233.57983,4337.191,1
3234.19238,4469.11475,1
3234.59424,4242.867,1
3239.11426,4403.932,1
3239.84229,4408.407,1
3239.87866,4371.063,1
3244.05347,4301.679,1
3244.21216,4185.51172,1
3245.37256,4295.41846,1
3247.76465,4269.5083,1
3249.40552,4340.80859,1
3250.85986,4659.822,1
3251.4292,4361.001,1
3252.049,4375.80762,1
3253.6123,4489.94141,1
3253.99927,4477.089,1
3254.79175,4315.359,1
3255.02856,4372.90137,1
3256.41821,4332.299,1
3257.31519,5267.5127,4
3258.19019,4359.07275,1
3264.25854,4409.26758,1
3265.573,4386.15674,1
3268.5874,4835.56152,1
3269.53052,4640.95654,1
3272.6438,4698.186,1
3275.064,4370.6875,1
3276.023,4645.2666,1
3278.426,4457.53174,1
3279.2085,4580.218,1
3279.53857,4666.87842,1
3280.45947,4402.27344,1
3284.26245,4559.0835,1
3291.26,4388.071,1
3293.31372,4593.286,1
3293.62183,4223.85938,1
3294.08813,4421.788,1
3297.81885,4801.48828,1
3301.90942,4173.284,1
3303.76587,4498.83447,1
3304.0752,4472.33154,1
3304.16577,4235.08838,1
3310.32739,4592.528,1
3314.35742,4506.151,1
3317.25171,4578.17529,1
3319.78149,4507.58643,1
3322.50366,4129.15527,1
3323.04077,4554.027,1
3324.8606,4684.03125,1
3325.704,4616.488,1
3326.566,4870.01953,1
3327.67456,4385.25049,1
3327.94019,4530.982,1
3330.352,4239.57227,1
3331.9043,4417.82275,1
3336.754,4586.78662,1
3337.11279,5346.92773,4
3337.33081,4653.565,1
3338.76123,4418.05029,1
3339.64478,4642.263,1
3340.099,4774.058,1
3340.39453,4615.334,1
