Ch1 Amplitude,Ch2 Amplitude,Cluster
6950.93457,8449.096,1
7148.46045,10000.5059,1
7171.56055,8348.146,1
7242.92139,9693.512,1
7259.11572,8122.464,1
7298.7666,8503.104,1
7309.263,8105.14746,1
7410.67725,8476.391,1
7451.578,8517.557,1
7460.50049,8540.385,1
7461.225,10510.8037,1
7464.70361,8763.244,1
7501.449,7675.60254,1
7522.7583,8192.959,1
7556.679,8582.443,1
7574.95654,8635.9375,1
7615.54541,8359.302,1
7675.17139,8473.721,1
7707.29541,10519.3242,1
7736.65625,8707.255,1
7753.6377,8551.44,1
7764.014,8588.688,1
7766.82764,8723.42,1
7767.16748,8506.075,1
7806.22461,8524.064,1
7812.51367,8662.253,1
7838.258,8648.497,1
7860.65967,8532.747,1
7904.209,8675.52051,1
7912.87939,8822.478,1
7914.82471,8164.49,1
7924.61,8568.228,1
7930.782,8526.791,1
7941.25342,10943.2568,1
7955.041,8917.006,1
7956.89648,8761.728,1
7972.15625,9993.096,1
7987.376,10396.9736,1
7997.18945,8815.79,1
8004.549,10876.1885,1
8023.86865,8792.164,1
8031.4165,11174.4824,1
8031.74658,8519.633,1
8035.44336,10875.4268,1
8039.82568,8821.139,1
8040.98145,8684.461,1
8050.84,8432.8,1
8055.899,8284.381,1
8067.893,9046.923,1
8100.276,8954.793,1
8103.77344,8690.826,1
8107.1,8468.758,1
8109.198,8598.29,1
8118.08252,8578.211,1
8134.26,8374.001,1
8151.24365,8625.387,1
8152.57568,9030.953,1
8162.158,8811.584,1
8173.43262,9264.982,1
8186.21533,8834.805,1
8186.24756,8725.961,1
8190.48828,9187.097,1
8192.033,11070.41,1
8198.60449,8836.495,1
8212.6,8901.07,1
8216.573,8672.974,1
8220.826,8624.818,1
8229.531,9453.287,1
8230.092,8648.444,1
8231.109,8400.563,1
8231.139,8416.358,1
8233.781,8523.64551,1
8238.41,8767.77,1
8241.128,8676.497,1
8241.953,8972.158,1
8242.708,8935.627,1
8242.762,9108.9,1
8247.03,9009.318,1
8247.659,8822.61,1
8250.03,8561.828,1
8254.2,9215.592,1
8254.716,8876.889,1
8257.121,10819.9326,1
8257.48,8935.818,1
8258.324,11373.418,1
8258.33,8663.596,1
8263.619,8429.538,1
8264.449,8479.893,1
8267.626,9467.305,1
8267.904,8728.62,1
8269.199,9149.108,1
8271.677,10894.6885,1
8275.503,11614.8809,1
8278.641,10652.4248,1
8281.372,11138.5625,1
8291.603,10509.09,1
8291.641,9179.923,1
8292.981,9424.316,1
8293.987,8591.188,1
8294.729,8985.695,1
8296.109,8399.24,1
8298.793,10797.8486,1
8303.393,8906.355,1
8305.631,8826.271,1
8307.911,8739.51,1
8309.492,9041.545,1
8312.348,8865.168,1
8316.698,11440.7881,1
8318.472,11518.8477,1
8321.091,9306.776,1
8322.081,8526.999,1
8322.119,8272.122,1
8327.067,11439.5059,1
8331.579,11277.6143,1
8335.335,11128.0967,1
8339.535,8481.084,1
8340.833,8744.64551,1
8345.73,8927.457,1
8346.041,9145.888,1
8347.882,8785.658,1
8351.434,8848.872,1
8352.842,8915.961,1
8359.515,9176.402,1
8364.58,9126.431,1
8371.204,10103.8809,1
8372.208,10858.9424,1
8376.844,9010.446,1
8377.41,8414.375,1
8378.849,9082.177,1
8379.72,8962.818,1
8379.922,9100.416,1
8382.05,9243.112,1
8382.912,10827.2578,1
8385.154,8914.586,1
8386.977,8215.996,1
8392.486,8446.399,1
8399.131,11408.583,1
8399.5625,9432.36,1
8399.986,9130.369,1
8400.923,8666.31,1
8403.454,8908.147,1
8404.177,10804.958,1
8405.661,9366.421,1
8411.533,8871.199,1
8416.52,8630.968,1
8420.481,11572.0635,1
8424.886,8633.411,1
8425.909,8800.415,1
8425.999,11518.39,1
8428.097,8724.412,1
8428.388,8668.511,1
8429.767,9048.894,1
8434.146,9207.678,1
8434.6,8831.141,1
8436.468,9342.668,1
8440.797,11433.0977,1
8440.96,8874.445,1
8440.997,11042.4658,1
8443.364,11679.3818,1
8444.375,9337.528,1
8445.987,11205.5205,1
8450.451,10494.4424,1
8451.472,9265.298,1
8459.431,8967.14551,1
8461.134,9121.557,1
8464,9217.144,1
8470.146,8882.973,1
8472.519,11526.208,1
8473.594,9102.737,1
8482.436,9361.878,1
8485.779,8844.932,1
8491.393,9080.108,1
8494.313,8866.494,1
8496.281,9218.962,1
8498.959,8944.47949,1
8501.652,8528.884,1
8502.21,8758.794,1
8511.131,9018.182,1
8516.126,8906.136,1
8516.825,8540.211,1
8520.989,9222.369,1
8521.118,8763.496,1
8526.957,9074.497,1
