Ch1 Amplitude,Ch2 Amplitude,Cluster
7960.71973,8119.11865,1
8303.82,7689.75537,1
8417.092,7676.6626,1
8502.89,7831.57568,1
8544.011,7985.54932,1
8593.339,7341.658,1
8628.533,7597.04346,1
8649.395,8049.77344,1
8678.132,9240.718,1
8762.872,7349.69971,1
8790.631,8035.899,1
8792.933,7642.609,1
8820.809,9612.951,1
8847.93,8183.091,1
8852.545,7386.63867,1
8865.751,7942.6123,1
8902.098,7639.9624,1
8920.998,7713.43555,1
8926.336,8097.65234,1
8962.1,7886.928,1
8974.507,7719.40527,1
8978.594,8189.439,1
8986.037,8106.21,1
8991.105,7530.284,1
9004.852,8022.15234,1
9036.919,8084.253,1
9045.72,7846.45654,1
9051.45,7619.84033,1
9060.51,7724.27441,1
9080.915,8156.67041,1
9104.682,8210.341,1
9104.769,8451.367,1
9106.882,7903.893,1
9140.14551,7986.66748,1
9141.239,7737.64,1
9146.247,8255.85,1
9154.026,7668.152,1
9157.724,10186.4561,1
9158.87,7949.82568,1
9162.507,8094.73828,1
9173.994,7848.19043,1
9174.831,8047.07666,1
9190.054,8453.5625,1
9194.013,8057.02637,1
9199.897,8325.731,1
9202.022,8146.34375,1
9203.244,8413.14551,1
9205.347,7923.826,1
9208.912,7959.155,1
9209.248,8822.739,1
9218.397,8040.123,1
9219.468,8340.515,1
9219.749,10099.36,1
9226.196,8619.982,1
9229.528,8144.098,1
9229.89551,10221.6631,1
9231.791,8082.097,1
9232.384,8020.7876,1
9232.688,10003.0928,1
9240.956,7929.957,1
9244.49,10237.998,1
9244.887,8272.304,1
9248.299,8665.775,1
9248.56,7857.37451,1
9250.065,8248.795,1
9256.328,9948.634,1
9263.168,8150.3125,1
9268.905,8528.796,1
9269.04,8025.468,1
9274.011,8286.893,1
9277.366,8143.86475,1
9278.538,8311.925,1
9280.094,7914.33154,1
9281.669,8394.867,1
9282.851,8418.819,1
9283.056,7799.13867,1
9285.001,8071.06738,1
9286.734,8670.649,1
9293.142,8370.019,1
9297.35,8114.91064,1
9298.791,7947.19043,1
9298.878,8426.391,1
9308.731,7937.835,1
9309.019,7929.508,1
9309.289,8310.594,1
9311.339,8062.07129,1
9316.021,8028.291,1
9316.449,8486.107,1
9316.987,7868.69336,1
9319.43,8219.313,1
9322.351,7915.777,1
9325.526,7973.268,1
9328.29,7784.95557,1
9328.739,8246.397,1
9329.394,8236.891,1
9330.856,10128.4951,1
9331.654,8030.553,1
9332.809,8322.598,1
9332.919,8561.168,1
9335.528,8122.864,1
9336.14,8458.174,1
9336.259,8000.834,1
9336.3125,8374.699,1
9336.487,8291.588,1
9341.964,8083.92334,1
9342.961,10551.1768,1
9351.766,8708.409,1
9352.727,8234.533,1
9353.079,8269.27051,1
9355.565,8158.679,1
9355.849,8207.967,1
9356.594,8512.076,1
9357.244,8290.204,1
9357.302,8163.92236,1
9357.52051,8052.584,1
9358.071,8266.072,1
9358.173,8341.281,1
9360.304,8224.316,1
9371.068,8422.942,1
9372.667,8142.712,1
9373.341,7893.075,1
9373.508,8146.547,1
9378.994,8389.027,1
9379.657,8205.674,1
9381.385,7834.146,1
9381.734,8588.05,1
9381.922,8540.011,1
9384.92,8185.40869,1
9388.035,8274.203,1
9389.35449,8507.85,1
9390.98,8268.863,1
9392.989,8115.007,1
9395.495,8363.308,1
9395.777,8326.635,1
9396.511,8354.321,1
9397.795,8230.365,1
9401.935,8512.458,1
9405.206,8220.14551,1
9408.305,8455.678,1
9410.344,8298.693,1
9413.877,8350.172,1
9417.518,7890.237,1
9417.767,8517.077,1
9418.092,8368.728,1
9418.899,8175.03174,1
9420.043,8844.341,1
9420.122,8006.828,1
9424.818,8569.811,1
9427.018,10544.2246,1
9432.983,8583.89,1
9435.032,8553.133,1
9435.677,10277.6543,1
9436.7,8062.186,1
9437.095,8025.9834,1
9437.416,7904.851,1
9439.069,8352.616,1
9439.2,8181.19043,1
9439.282,8350.832,1
9441.028,8573.165,1
9441.734,10289.16,1
9444.314,8422.425,1
9446.5625,8384.534,1
9447.095,8031.691,1
9447.444,8647.692,1
9454.815,7918.75732,1
9458.246,8336.394,1
9458.86,8193.114,1
9458.969,8485.2,1
9458.983,8349.687,1
9461.839,8061.3,1
9462.685,8283.207,1
9462.936,9031.489,1
9463.105,8490.539,1
9465.542,8550.121,1
9466.646,8589.573,1
9468.415,8394.678,1
9471.454,8506.665,1
9472.272,9974.244,1
9472.339,8311.544,1
9473.324,7974.544,1
9477.177,8486.694,1
9478.964,8219.905,1
9480.332,8547.85449,1
9483.973,8230.056,1
9486.365,8314.226,1
9486.77,8241.934,1
9487.105,8453.894,1
9488.491,8533.942,1
9491.299,8369.963,1
9492.929,8220.055,1
9494.706,8216.231,1
9495.165,8319.729,1
9496.025,8302.25,1
9496.647,8224.873,1
9497.094,8396.974,1
9497.307,7953.44873,1
9500.537,8409.618,1
9501.484,8319.685,1
9502.434,10515.0547,1
9506.336,8521.222,1
9509.804,8403.109,1
9511.288,9108.492,1
9515.025,8220.3125,1
9515.754,10388.7119,1
9516.875,8195.704,1
9517.024,8034.53174,1
9518.042,8326.364,1
9519.281,8209.581,1
9519.612,8188.495,1
9521.347,8454.594,1
9522.115,8174.51172,1
9523.316,8227.142,1
9524.743,8632.849,1
9526.754,8302.786,1
9528.212,8614.417,1
9529.175,9258.581,1
9529.539,8506.885,1
9529.943,8675.196,1
9530.47,8408.614,1
9530.648,8504.218,1
9530.707,8376.76,1
9531.945,8560.567,1
9532.515,8251.047,1
9532.895,8610.987,1
