Ch1 Amplitude,Ch2 Amplitude,Cluster
7083.04834,7990.33154,1
7119.113,7817.03955,1
7184.487,8349.035,1
7215.11133,7404.50928,1
7234.172,8703.107,1
7254.57959,8138.572,1
7424.452,8678.161,1
7468.59229,7442.88574,1
7475.737,7754.161,1
7507.74365,8639.132,1
7553.176,10553.2881,1
7555.242,8215.607,1
7598.37744,7725.83545,1
7627.43652,8707.733,1
7672.124,8616.731,1
7681.43,7828.744,1
7683.494,8709.265,1
7698.25732,8173.28027,1
7713.47852,10795.2666,1
7726.66455,8641.602,1
7753.95459,8666.615,1
7771.776,8810.428,1
7790.29834,10554.0137,1
7797.337,8760.831,1
7808.31738,8123.83643,1
7861.631,8524.824,1
7862.38525,8211.951,1
7864.444,8783.768,1
7870.51758,8646.215,1
7884.841,8826.512,1
7924.50439,8269.442,1
7955.24365,8459.217,1
7960.62061,10736.2578,1
7989.31836,9042.066,1
7998.29053,8744.066,1
8007.184,11158.8,1
8012.565,8171.179,1
8029.527,8587.527,1
8042.78467,8945.8,1
8053.87842,11307.5059,1
8070.869,8277.304,1
8076.37451,8530.29,1
8088.92236,8828.199,1
8090.686,8893.772,1
8104.59961,8645.898,1
8117.817,8429.871,1
8120.516,8534.408,1
8121.891,8554.391,1
8124.78955,8154.371,1
8126.44775,10814.7705,1
8131.8335,8962.166,1
8143.96338,10448.4053,1
8144.02344,8482.122,1
8146.48047,8977.735,1
8149.88037,8364.463,1
8158.03467,8773.262,1
8159.254,8879.13,1
8160.625,8581.06,1
8163.08545,9004.329,1
8163.56543,7983.313,1
8166.84,8835.701,1
8170.737,8314.062,1
8175.908,8477.505,1
8179.23975,11252.66,1
8197.195,8995.434,1
8197.384,8547.858,1
8204.162,8788.464,1
8210.293,9149.238,1
8218.698,9157.914,1
8221.218,8784.39,1
8228.761,8702.946,1
8232.412,8676.015,1
8235.54,8864.5625,1
8242.44,8392.094,1
8244.231,8761.085,1
8248.125,8893.121,1
8249.072,8673.512,1
8253.91,8739.124,1
8255.397,8783.786,1
8258.353,8966.312,1
8264.499,8868.655,1
8270.693,9106.966,1
8272.09,8321.406,1
8275.851,8568.237,1
8279.679,8890.628,1
8282.069,8729.921,1
8287.336,8996.809,1
8288.303,9256.155,1
8292.171,8559.809,1
8293.054,8439.773,1
8298.076,9410.792,1
8301.435,9201.623,1
8306.804,8626.212,1
8312.656,8943.002,1
8315.025,8734.532,1
8322.418,9213.924,1
8327.402,11252.77,1
8332.668,8631.309,1
8333.356,8779.532,1
8347.362,8574.912,1
8348.55,8981.73,1
8349.251,8993.653,1
8349.655,8885.174,1
8352.692,8638.149,1
8352.876,8551.729,1
8359.002,8924.504,1
8361.068,9013.966,1
8366.163,8954.031,1
8366.173,8813.192,1
8370.052,9092.275,1
8373.835,8872.526,1
8377.511,9166.922,1
8382.779,8937.595,1
8387.036,9157.553,1
8391.202,8486.252,1
8392.411,8724.01,1
8398.341,9219.273,1
8399.689,8848.262,1
8404.876,8465.493,1
8408.095,9176.37,1
8408.106,8985.924,1
8418.528,8422.513,1
8420.435,8807.119,1
8421.773,9360.60449,1
8422.338,11565.7539,1
8428.37,8637.436,1
8429.467,9024.054,1
8429.672,9105.237,1
8433.034,9077.802,1
8436.606,9099.431,1
8446.506,9220.36,1
8449.339,8892.337,1
8450.594,8651.03,1
8452.15,9069.798,1
8453.987,8929.554,1
8457.5,8958.48,1
8458.287,8417.335,1
8459.109,9245.708,1
8459.542,8902.963,1
8468.472,8786.792,1
8468.57,8821.676,1
8473.908,8762.287,1
8473.9375,8847.16,1
8476.228,9367.457,1
8476.322,9388.03,1
8477.696,8860.854,1
8479.649,8791.749,1
8489.444,8777.735,1
8492.899,9007.362,1
8496.067,8650.122,1
8499.559,8913.039,1
8507.024,8984.965,1
8511.185,8717.757,1
8516.765,8659.746,1
8516.91,8553.10449,1
8517.135,8800.493,1
8529.018,9167.364,1
8536.199,8694.68,1
8536.264,8733.66,1
8541.108,9089.005,1
8546.672,8799.923,1
8547.931,8969.942,1
8557.973,9205.35,1
8558.098,8938.047,1
8562.157,9221.156,1
8562.534,8817.098,1
8563.218,8795.952,1
8566.022,10714.085,1
8567.731,11526.0254,1
8569.393,9240.348,1
8571.686,8751.577,1
8573.717,9240.054,1
8573.902,9017.565,1
8586.331,9338.796,1
8587.23,9166.886,1
8590.373,9444.418,1
8592.512,9001.428,1
8596.097,8884.124,1
8599.764,9037.415,1
8600.054,9103.157,1
8600.476,8705.492,1
8602.232,9349.57,1
8603.559,9332.157,1
8605.367,10971.3154,1
8610.755,9083.658,1
8612.841,8779.537,1
8613.172,11985.916,1
8613.758,8983.601,1
8618.014,11487.793,1
8622.773,9430.02051,1
8622.834,9328.22,1
8624.549,9549.181,1
8626.551,8916.02,1
8626.565,9111.293,1
8627.076,8568.094,1
