Ch1 Amplitude,Ch2 Amplitude,Cluster
8153.4707,7161.393,1
8295.579,7081.166,1
8503.202,8271.595,1
8656.89551,7407.04,1
8660.955,8103.53271,1
8668.153,7628.365,1
8743.6875,7766.73926,1
8845.222,7875.03125,1
8967.42,8193.395,1
8991.238,8196.947,1
9005.968,8108.20361,1
9017.592,7867.6167,1
9051.527,7849.739,1
9054.723,8408.213,1
9082.886,8059.89551,1
9098.144,8157.375,1
9100.827,8211.26,1
9113.991,8216.834,1
9121.988,8476.917,1
9124.952,7925.34668,1
9125.253,8162.42773,1
9126.004,7847.2627,1
9128.77051,8156.579,1
9155.275,8174.169,1
9164.477,10008.1934,1
9166.877,7814.12,1
9184.274,8108.897,1
9189.649,8198.245,1
9194.396,8021.916,1
9202.157,7991.59375,1
9204.118,8116.197,1
9208.355,8426.312,1
9226.416,7999.31055,1
9230.65,8252.153,1
9236.246,8118.3457,1
9252.315,7945.8877,1
9253.92,8368.769,1
9266.962,7856.653,1
9269.894,8029.056,1
9270.452,8063.76465,1
9273.1,8175.61475,1
9281.799,8363.012,1
9283.645,8076.969,1
9289.297,8094.07,1
9296.713,8199.718,1
9296.833,8113.171,1
9298.518,8251.302,1
9316.203,8465.141,1
9316.564,8430.17,1
9326.326,8068.792,1
9329.453,8266.611,1
9329.886,8101.513,1
9332.015,8003.58252,1
9336.643,10033.2881,1
9337.88,7910.70068,1
9340.139,8717.628,1
9345.963,8036.391,1
9346.41,8015.586,1
9349.499,8455.34,1
9355.232,7949.993,1
9357.251,8047.781,1
9357.622,8182.239,1
9358.087,8034.80664,1
9368.146,8143.06445,1
9368.643,8473.136,1
9376.468,8386.897,1
9380.012,8709.755,1
9380.683,8400.135,1
9387.228,8109.078,1
9390.46,8281.191,1
9390.603,7954.551,1
9395.601,8483.95,1
9400.879,8446.011,1
9406.362,8375.838,1
9408.13,8182.815,1
9408.799,7919.64,1
9410.151,8281.332,1
9411.518,8415.423,1
9415.323,8064.799,1
9416.71,8189.563,1
9417.94,8284.382,1
9419.73,8185.57568,1
9420.262,8312.643,1
9421.532,7991.66553,1
9421.639,8310.597,1
9422.122,8249.889,1
9426.569,8155.929,1
9433.632,8266.711,1
9438.575,8698.249,1
9438.739,8194.84,1
9438.927,8525.784,1
9444.264,8344.976,1
9445.225,8090.43848,1
9446.571,8193.342,1
9446.752,8791.99,1
9447.957,8361.268,1
9451.355,7967.58,1
9457.849,8328.808,1
9459.995,8062.3833,1
9461.429,8318.561,1
9461.988,8014.39746,1
9462.109,7873.26563,1
9462.208,8351.31,1
9464.573,8211.749,1
9466.407,8028.391,1
9467.599,7899.69336,1
9470.322,8591.331,1
9470.776,8316.056,1
9471.329,8595.97,1
9474.393,8634.803,1
9475.088,8832.315,1
9478.748,8797.499,1
9480.063,8426.09,1
9481.002,8548.91,1
9481.927,8361.387,1
9482.341,8097.91455,1
9483.535,8443.269,1
9488.844,8461.023,1
9489.155,8252.986,1
9491.449,8073.201,1
9492.106,8333.084,1
9492.93,8129.926,1
9493.816,9045.031,1
9496.869,8417.445,1
9497.461,8565.471,1
9499.044,8744.27051,1
9501.535,8348.503,1
9503.685,8363.013,1
9505.533,8151.29639,1
9506.404,8394.504,1
9509.919,8391.584,1
9509.929,8409.926,1
9515.422,8481.686,1
9516.019,8500.844,1
9516.916,8555.846,1
9517.371,8797.807,1
9518.301,10220.6846,1
9520.056,8328.748,1
9520.174,8314.774,1
9522.167,8066.58838,1
9522.858,8447.678,1
9524.329,8162.21,1
9524.347,8402.026,1
9526.664,8551.921,1
9526.666,8726.582,1
9531.076,8135.31836,1
9531.278,8323,1
9531.598,8594.768,1
9533.421,8542.936,1
9534.381,8302.397,1
9536.011,8147.74365,1
9540.072,8088.591,1
9541.198,8122.502,1
9541.401,8247.216,1
9543.362,8559.687,1
9546.973,8289.399,1
9549.523,8552.188,1
9549.545,8031.39844,1
9551.289,8303.33,1
9555.787,8465.1875,1
9559.01,8496.483,1
9560.537,8455.131,1
9563.703,8270.142,1
9563.9375,8411.573,1
9564.831,8343.79,1
9565.728,8409.465,1
9565.808,8254.866,1
9566.012,8584.767,1
9566.723,8616.879,1
9566.965,8155.289,1
9567.434,8526.167,1
9569.074,8670.162,1
9569.421,8365.205,1
9570.997,8783.444,1
9571.861,8416.706,1
9573.487,7950.22949,1
9574.17,8450.315,1
9575.177,8642.809,1
9575.735,8412.698,1
9576.584,8650.221,1
9576.828,8496.548,1
9577.561,8422.59,1
9579.21,7840.173,1
9580.314,8479.364,1
9582.445,8193.327,1
9586.956,8352.224,1
9587.047,8526.968,1
9588.369,8404.411,1
9590.104,8524.221,1
9590.362,8444.843,1
9591.295,8440.023,1
9592.154,8354.044,1
9592.331,8526.616,1
9592.626,8441.097,1
9593.112,8090.2627,1
9593.647,8149.613,1
9594.434,8498.466,1
9594.586,8601.356,1
9596.948,8335.389,1
9597.478,9211.447,1
9598.434,8744.279,1
9598.601,8228.528,1
9600.755,8852.14551,1
9600.983,8705.5625,1
9601.317,8708.279,1
9601.78,8366.925,1
9601.877,8483.787,1
9603.241,8691.814,1
9603.375,8188.701,1
9603.906,8423.763,1
9603.914,8782.056,1
9604.046,8499.267,1
9604.674,9053.534,1
9606.203,8523.171,1
9606.317,8560.547,1
9608.701,8202.976,1
9608.801,8333.771,1
9609.038,8479.3125,1
9609.781,8276.211,1
9610.448,8281.748,1
9610.847,8564.105,1
9611.017,8788.586,1
9611.064,8404.809,1
9611.371,8677.342,1
9611.455,8453.874,1
9611.561,8646.413,1
9612.0625,8961.42,1
9612.707,8710.202,1
9613.08,8712.804,1
9613.221,8285.465,1
9613.474,8423.098,1
9613.945,8491.966,1
9614.271,8381.268,1
9614.713,8565.817,1
9616.229,8361.619,1
9616.566,8738.584,1
9616.776,8059.735,1
9616.924,8430.117,1
9618.775,8711.11,1
9621.393,8812.917,1
9621.65,8591.108,1
9622.448,8483.582,1
9623.087,8372.592,1
9623.499,8559.383,1
9624.3,8354.916,1
9624.662,8749.49,1
9626.442,8341.975,1
9626.833,8590.642,1
9627.694,8451.02,1
9628.23,8414.06,1
9628.63,8278.535,1
9628.817,8484.428,1
9631.962,8613.66,1
9632.731,8757.892,1
9632.839,8369.62,1
9633.245,8573.078,1
9633.681,8581.64,1
9633.847,8555.09,1
9634.908,8685.169,1
9635.6,8426.676,1
9635.739,8523.709,1
9635.911,8692.587,1
9635.916,8208.366,1
9636.202,8749.891,1
9636.637,8340.782,1
9639.251,8677.791,1
9639.471,8635.464,1
9640.018,8661.214,1
9640.833,8359.746,1
9640.94,8520.965,1
9642.978,8354.528,1
9643.339,8399.182,1
9643.572,8544.427,1
9644.169,8534.254,1
9644.484,8795.382,1
9644.691,10185.7959,1
9644.862,8424.45,1
9644.933,8289.609,1
9645.207,8400.632,1
9645.889,8570.445,1
9646.074,8233.099,1
9646.242,8521.333,1
9646.363,8312.891,1
9646.427,8580.824,1
9646.739,8456.346,1
9647.087,8620.063,1
9647.366,8164.20752,1
9647.368,8637.982,1
9647.375,8583.898,1
9647.629,8870.369,1
9647.922,8406.312,1
9647.923,8446.072,1
9648.396,8455.168,1
9648.762,8591.375,1
9649.776,8382.059,1
9650.33,8863.252,1
9650.552,8814.226,1
9650.582,8629.926,1
9650.664,8594.326,1
9650.762,8728.968,1
9651.566,8321.176,1
9652.83,8598.617,1
9653.281,8623.499,1
9653.625,8676.731,1
9655.196,8519.462,1
9655.407,8943.456,1
9657.074,8469.849,1
9657.188,8605.251,1
9658.11,8893.569,1
9658.856,8506.023,1
9659.118,8636.328,1
9659.381,8169.07129,1
9660.197,8510.727,1
9661.732,8406.748,1
9663.185,8466.463,1
9663.619,8759.587,1
9663.658,8593.754,1
9665.329,8386.708,1
9665.329,8445.41,1
9666.194,8602.616,1
9667.37,8432.046,1
9667.869,8647.234,1
9667.936,8612.297,1
9668.088,8619.286,1
9668.526,8163.057,1
9668.858,8721.469,1
9670.379,8672.504,1
9670.89551,8632.376,1
9671.095,8289.536,1
9671.366,8899.486,1
9671.394,8592.444,1
9671.653,8364.673,1
9671.705,8341.822,1
9672.727,8494.626,1
9673.161,8765.812,1
9673.235,8204.644,1
9673.976,8263.91,1
9674.644,8443.376,1
9674.748,8617.61,1
9675.049,8389.181,1
9675.116,8397.372,1
9675.835,8626.505,1
9676.309,8475.902,1
9676.596,8570.552,1
9676.678,8850.428,1
9676.793,8669.531,1
9677.947,9040.074,1
9678.216,8574.161,1
9678.347,8681.482,1
9678.59,8323.691,1
9679.038,8023.192,1
9679.62,8446.717,1
9679.821,8300.063,1
9680.297,8404.472,1
9680.868,8382.955,1
9681.056,9026.018,1
9682.497,8592.201,1
9683.52051,8850.729,1
9683.869,8575.962,1
9683.895,8610.437,1
9683.986,8470.101,1
9684.525,8543.98,1
9684.658,8484.419,1
9685.811,8642.4375,1
9685.979,8515.133,1
9686.79,8775.473,1
9687.209,9126.882,1
9687.64551,8135.95752,1
9687.797,8418.877,1
9688.235,8542.305,1
9689.114,8659.985,1
9689.343,8610.644,1
9689.431,8646.792,1
9689.583,8668.379,1
9689.941,8482.949,1
9690.33,8440.608,1
9690.361,8738.773,1
9691.099,8448.713,1
9692.315,8349.108,1
9692.763,8048.52832,1
9692.805,8250.061,1
9692.933,8442.968,1
9694.045,8438.147,1
9695.476,8426.025,1
9695.479,8658.867,1
9695.603,8567.941,1
9696.514,8485.277,1
9697.81,8435.308,1
9698.739,8683.377,1
9698.961,8384.23,1
9699.062,8663.986,1
9699.729,8913.2,1
9699.754,8562.745,1
9699.786,8239.214,1
9700.502,8629.717,1
9700.746,8584.999,1
9701.343,8873.028,1
9701.971,8376.5,1
9702.615,8353.411,1
9702.957,8781.216,1
9704.224,8652.13,1
9705.002,8757.473,1
9705.397,8658.054,1
9705.42,8694.165,1
9705.544,8461.762,1
9705.726,8401.404,1
9706.054,8321.132,1
9706.081,8379.175,1
9706.623,8714.609,1
9706.998,8641.131,1
9707.239,8335.081,1
9707.403,8615.102,1
9707.837,8683.476,1
9708.166,8537.257,1
9708.623,8346.738,1
9708.657,8608.236,1
9708.754,8600.632,1
9709.077,8652.327,1
9709.193,8531.215,1
9709.64,8311.275,1
9709.853,8254.933,1
9710.781,8266.34,1
9711.589,8861.69,1
9712.783,8644.007,1
9713.356,8489.207,1
9713.45,8071.425,1
9713.585,8492.216,1
9713.666,8266.9,1
9713.729,8771.246,1
9715.002,8412.073,1
9715.098,8609.253,1
9715.661,8494.588,1
9715.914,10295.1953,1
9716.042,8220.807,1
9716.047,8371.59,1
9716.251,8452.191,1
9716.576,8441.068,1
9717.981,8439.949,1
9718.594,8432.812,1
9718.625,8700.47,1
9718.655,8320.538,1
9718.691,8467.026,1
9718.712,8322.675,1
9718.859,8260.052,1
9719.077,8745.235,1
9719.41,8596.114,1
9719.712,9021.498,1
9719.905,8424.386,1
9719.956,8442.029,1
9719.957,8772.546,1
9720.604,8591.908,1
9721.361,9009.052,1
9721.445,8621.535,1
9721.496,8665.77051,1
9721.612,8773.68,1
9722.448,8172.772,1
9722.711,8734.812,1
9722.883,8522.74,1
9723.257,8727.408,1
9723.304,8843.561,1
9723.694,8325.338,1
9724.341,8540.949,1
9724.6,8176.845,1
9724.648,8767.1875,1
9724.984,8525.918,1
9725.109,8640.016,1
9725.121,8140.216,1
9725.218,8495.895,1
9725.988,8597.186,1
9726.178,10386.1748,1
9726.199,8350.621,1
9726.689,8268.895,1
9726.76,8550.099,1
9727.403,8774.247,1
9727.522,8347.373,1
9727.849,8509.571,1
9727.957,8568.866,1
9728.189,8580.826,1
9728.226,8106.54541,1
9729.334,8661.991,1
9729.338,8610.196,1
9729.624,8411.296,1
9730.421,8733.02,1
9730.477,8764.788,1
9730.503,8635.301,1
9730.876,8605.056,1
9731.416,8236.526,1
9731.554,8580.319,1
9731.819,8393.108,1
9732.21,8765.239,1
9732.222,8306.6875,1
9732.483,8577.754,1
9732.974,8840.978,1
9733.065,8425.529,1
9733.129,8708.983,1
9733.534,8108.6,1
9733.582,8714.35,1
9733.953,8808.316,1
9734.73,8644.794,1
9735.198,8901.496,1
9735.229,8583.72,1
9735.255,8931.299,1
9735.585,8216.863,1
9735.855,8763.471,1
9735.899,8619.536,1
9736.142,8328.238,1
9736.434,8452.629,1
9736.508,8483.269,1
9737.1,8240.208,1
9737.187,8259.866,1
9737.573,8826.138,1
9737.764,8914.221,1
9738.518,8507.303,1
9738.805,8329.185,1
9739.008,8682.874,1
9739.199,8789.754,1
9739.509,8170.625,1
9739.551,8553.431,1
9740.37,8610.275,1
9740.721,8670.717,1
9740.813,8663.984,1
9740.864,8182.27344,1
9742.263,8571.858,1
9742.751,8488.142,1
9742.77051,8660.898,1
9743.043,8402.924,1
9743.163,8389.039,1
9743.235,8418.093,1
9743.338,8960.766,1
9743.552,8559.626,1
9743.724,8752.538,1
9744.552,8419.947,1
9744.61,8643.013,1
9745.437,8641.323,1
9745.597,8621.208,1
9745.695,8566.936,1
9745.876,8058.31738,1
9745.931,8654.284,1
