Ch1 Amplitude,Ch2 Amplitude,Cluster
299.715576,516.161438,1
303.026123,508.616974,1
388.161377,679.0542,1
814.938232,1430.03369,1
874.207947,1430.28015,1
885.747559,1396.8584,1
931.3218,1589.00159,1
936.7612,1761.14807,1
943.756836,1462.85168,1
950.5978,1669.80042,1
954.210632,1801.13757,1
964.9313,1522.97754,1
974.307861,1788.53662,1
979.0346,1570.19312,1
987.908264,1733.99719,1
988.4054,1640.21667,1
992.37,1788.90308,1
993.5124,1686.86084,1
1000.42554,1863.58044,1
1001.32324,1677.152,1
1002.78644,1734.23865,1
1005.78711,1719.09717,1
1008.00793,1654.77161,1
1017.32782,1733.76221,1
1020.95856,1745.76428,1
1022.83405,1703.64563,1
1023.15686,1947.14026,1
1023.88055,1780.97693,1
1024.206,1626.40186,1
1034.04016,1719.70764,1
1037.00635,1847.40845,1
1037.50549,1771.92114,1
1040.60339,1917.50513,1
1042.51819,1942.61877,1
1042.86743,1741.83521,1
1046.25256,1795.98645,1
1046.8363,1913.98071,1
1048.25269,1732.613,1
1049.33154,1889.67175,1
1049.97,1852.89722,1
1053.34534,1775.88989,1
1055.548,1772.60852,1
1055.70972,1835.07715,1
1056.1012,1769.753,1
1057.91638,1744.435,1
1058.63281,1888.5415,1
1058.96667,1803.62048,1
1060.02478,2082.13013,1
1061.92627,1970.68518,1
1064.14038,1961.52478,1
1065.41443,1854.39648,1
1065.62622,1837.83594,1
1066.83923,1909.02124,1
1067.23926,6731.802,4
1069.51331,1810.766,1
1070.57153,2240.60986,1
1070.90063,1901.02734,1
1071.27051,1794.827,1
1072.419,1855.9635,1
1074.04041,1718.38464,1
1078.81982,1965.89368,1
1082.24756,1825.79639,1
1083.03882,2336.08252,1
1083.11389,1894.38879,1
1083.63086,1834.47339,1
1084.3407,1685.39734,1
1086.13025,1848.69836,1
1088.04492,1867.17285,1
1089.49646,1891.2605,1
1092.11584,1902.75061,1
1095.41431,2100.97534,1
1097.10071,1949.82788,1
1100.14917,1964.34387,1
1101.75134,1943.36316,1
1102.71912,1870.51721,1
1102.72742,1921.53308,1
1102.98962,2240.452,1
1104.22314,1957.84,1
1105.89954,1889.82007,1
1106.02759,2002.00708,1
1106.33594,1939.5448,1
1107.39282,1697.61035,1
