Ch1 Amplitude,Ch2 Amplitude,Cluster
1092.65259,1866.78235,1
1113.24548,1605.39661,1
1135.49524,1590.8999,1
1150.78235,1899.611,1
1153.77429,1930.44214,1
1164.867,1522.35254,1
1169.26929,1967.26563,1
1170.48279,1954.67346,1
1179.1123,1886.40674,1
1185.12317,1823.471,1
1188.23743,1719.71619,1
1191.57275,1822.46863,1
1205.63379,1854.99573,1
1217.81079,1867.59619,1
1218.60815,1900.64526,1
1231.93384,1767.63574,1
1233.05273,1768.40894,1
1233.99731,1909.0293,1
1234.21387,2005.72864,1
1238.20581,1652.85779,1
1248.088,1658.62,1
1248.60034,2029.61865,1
1249.07043,1941.79578,1
1249.1864,1543.25537,1
1249.76086,1805.23254,1
1250.18323,1889.9,1
1253.14307,1943.72412,1
1253.68811,1870.40442,1
1254.18811,2005.22229,1
1254.82129,1961.64282,1
1255.92957,2054.385,1
1258.561,1944.91809,1
1258.70129,1931.54919,1
1259.51721,1987.941,1
1259.816,1936.79614,1
1260.07251,1942.75232,1
1260.49829,1804.38647,1
1261.23254,1905.90393,1
1261.84058,1931.62939,1
1262.9281,1914.28735,1
1263.344,2081.904,1
1265.51086,2004.897,1
1266.221,1959.60339,1
1267.181,2007.56946,1
1268.2406,2072.67529,1
1269.32336,2056.86987,1
1269.77051,1922.93188,1
1269.79333,1926.04834,1
1269.89819,1802.32849,1
1271.04077,1617.37988,1
1275.94617,1831.78479,1
1277.66235,1765.52832,1
1278.37366,1937.2262,1
1278.42273,1866.72986,1
1278.85156,1795.55042,1
1279.02319,1938.15454,1
1279.50842,1939.31226,1
1279.53662,1871.09021,1
1280.13232,1939.93,1
1280.40588,1882.051,1
1280.73657,1968.42273,1
1282.655,1937.23169,1
1283.39026,1871.77368,1
1283.9032,1961.64282,1
1284.023,2028.94385,1
1284.04272,1933.7627,1
1284.36279,1924.47327,1
1284.82544,1860.95728,1
1284.9895,2047.752,1
1285.32263,1733.89783,1
1285.79346,1839.70532,1
1286.12854,1909.327,1
1286.53162,1922.19067,1
1286.68225,1984.646,1
1287.46948,1870.56152,1
1289.30933,2071.39624,1
1289.55811,1959.13159,1
1289.70313,1895.98975,1
1290.21033,2046.05481,1
1290.461,1989.684,1
1290.97522,1878.8689,1
1291.179,1954.56079,1
1291.29822,1969.7002,1
1291.84375,2061.64917,1
1291.92664,1987.50024,1
1292.22131,2007.31982,1
1292.48047,1873.09412,1
1292.6554,2018.539,1
1292.74683,1982.5979,1
1292.99207,2059.74438,1
1293.06836,1827.84106,1
1293.26953,2024.15576,1
1293.64453,1903.58582,1
1293.666,1990.5249,1
1294.57043,1925.62671,1
1294.93481,1907.07324,1
1295.02307,1864.33789,1
1295.23328,1974.762,1
1295.28662,1928.87976,1
1295.85645,1934.798,1
1296.10168,1887.19373,1
1296.46606,1805.20166,1
1297.08325,1922.29993,1
1297.43445,1863.57813,1
1297.49585,1920.33789,1
1297.65808,1956.59668,1
1297.73254,1965.07959,1
1298.2865,2004.63293,1
1298.70728,2057.5918,1
1298.80371,1929.644,1
1299.06433,1989.68372,1
1299.13147,2028.33594,1
1299.28076,1933.65955,1
1299.3689,2052.84155,1
1299.39307,2041.25415,1
1299.61316,1915.0166,1
1299.6488,1803.74622,1
1299.79248,1820.29468,1
1299.93408,1956.46667,1
1300.16736,1788.45447,1
1300.251,2056.636,1
1300.37683,1874.734,1
1300.5874,1956.34814,1
1300.6615,1966.28687,1
1301.33057,1932.30432,1
1301.78967,2006.96313,1
1301.94885,1984.313,1
1302.259,2055.15332,1
1302.50317,1810.63025,1
1303.30823,2007.18762,1
1303.31323,1855.9248,1
1303.3324,1941.69836,1
1303.71558,1946.37732,1
1304.06067,1825.46191,1
1305.04443,1917.85364,1
1305.12,1938.55542,1
1305.465,1950.59985,1
1305.60437,1921.4718,1
1305.60925,2069.16187,1
1305.8938,1958.181,1
1306.13257,2043.114,1
1306.28271,1931.02026,1
1306.60059,1834.6615,1
1306.751,2060.92188,1
1306.90613,1876.51746,1
1306.93164,1918.91882,1
1307.34338,1874.65979,1
1307.388,1929.65222,1
1307.752,1960.81042,1
1307.95984,1936.18274,1
1308.072,1971.993,1
1308.35718,1739.43982,1
1308.68213,2034.98865,1
1308.92834,1945.66589,1
1309.41785,2039.38574,1
1309.43762,2010.41785,1
1309.47949,1934.52136,1
1309.83484,2036.74451,1
1309.83826,1916.76855,1
1309.90344,1872.423,1
1310.006,1873.31909,1
1310.1488,2035.19409,1
1310.31226,1888.44788,1
1310.34729,1891.49988,1
1310.48181,2065.80371,1
1311.28491,1962.09924,1
1311.44788,2006.34534,1
1311.54883,1978.24512,1
1311.56018,1998.51233,1
1311.61743,1962.25171,1
1311.65234,1991.99524,1
1311.75891,1848.3949,1
1311.78674,2106.06323,1
1311.87524,1961.07385,1
1312.571,2001.96692,1
1312.799,1905.895,1
1312.96716,1981.02393,1
1313.155,1835.43176,1
1313.17188,1970.44958,1
1313.40149,1949.53442,1
1313.40247,2074.42163,1
1313.42041,1885.29053,1
1313.4248,2042.304,1
1313.45239,2014.401,1
1313.77808,2050.78833,1
1313.781,2055.64526,1
1313.78711,1951.89258,1
1313.81787,1864.21582,1
1314.21558,2024.08813,1
1314.221,1708.74109,1
1314.36108,1928.05627,1
1314.45618,2001.67725,1
1315.15967,1960.85352,1
1315.198,1921.788,1
1315.22424,1930.05664,1
1315.30078,1929.39685,1
1315.41345,1935.62207,1
1315.484,1907.44238,1
1315.65662,1894.6261,1
1315.71887,1971.25269,1
1315.88782,1985.84814,1
1316.0033,1968.79211,1
1316.20752,2151.1543,1
1316.25049,1994.6355,1
1316.26978,1850.4845,1
1316.36108,1882.50745,1
1316.45361,1927.4281,1
1316.53955,1941.24048,1
1316.65063,2016.67151,1
1316.76489,1903.63049,1
1317.02356,1916.1499,1
1317.2074,2058.40625,1
1317.22034,1891.135,1
1317.27649,1962.39038,1
1317.3479,1978.634,1
1317.36938,1808.59814,1
1317.62878,1799.88464,1
1317.66821,1972.80981,1
1318.03467,2044.44421,1
1318.13171,1917.84131,1
1318.27332,2034.05225,1
1318.57031,1893.66162,1
1318.65894,1949.4917,1
1318.841,1818.40381,1
1318.84814,1937.55872,1
1318.85132,2046.715,1
1318.87756,2004.97644,1
1318.93713,1842.05591,1
1319.06909,1950.61255,1
1319.18787,1946.84937,1
1319.24878,1774.75928,1
1319.28943,1890.25623,1
1319.33228,1837.379,1
1319.34778,1875.25012,1
1319.34863,1919.984,1
1319.35815,2014.70532,1
1319.62512,1987.48743,1
1319.63135,1889.61438,1
1319.77551,2051.823,1
1319.92627,2095.79419,1
1320.0116,1828.80469,1
1320.17456,1940.782,1
1320.25061,1984.71167,1
1320.26038,1970.80371,1
1320.29846,2062.78784,1
1320.53516,1972.76892,1
1320.54126,1951.66589,1
1320.77832,1942.12842,1
1321.097,2093.74756,1
1321.27258,1903.473,1
1321.37732,1870.706,1
1321.45325,1897.99438,1
1321.54358,2102.29028,1
1321.58142,2019.5105,1
1321.71667,1846.969,1
1321.73486,2068.28442,1
1321.74329,1857.44958,1
1321.84985,2125.76343,1
1321.93518,1836.469,1
1322.06848,1910.0874,1
1322.16174,1997.07019,1
1322.16455,2005.28845,1
1322.3877,2078.83081,1
1322.43408,2037.36475,1
1322.47,1856.14478,1
1322.51782,1843.92285,1
1322.61621,2127.02686,1
1322.63074,1934.73,1
1322.63257,1907.78467,1
1322.75171,1883.22791,1
1323.01721,2035.97668,1
1323.06165,1907.20886,1
1323.10474,2080.51367,1
1323.303,1915.08032,1
1323.3291,1890.60059,1
1323.55371,2017.233,1
1324.01,1928.46082,1
1324.21216,1827.34387,1
1324.37061,1948.6969,1
1324.59875,2000.08325,1
1324.61548,1839.2417,1
1324.64319,1859.12537,1
1324.72083,1877.06653,1
1324.80322,1917.18848,1
1324.92615,1937.02368,1
1325.37378,1965.1698,1
1325.58167,1945.59546,1
1325.608,2088.33887,1
1325.63818,1894.00378,1
1325.84888,1943.66418,1
1325.865,1866.5697,1
1325.88281,1894.09509,1
1325.90833,1865.12781,1
1325.9115,1909.86914,1
1325.91443,1955.47192,1
1326.019,1942.23328,1
1326.04883,2025.03,1
1326.17944,2017.25,1
1326.18262,1792.77808,1
1326.201,1894.14978,1
1326.22253,2027.31738,1
1326.27869,1965.70508,1
1326.3053,2001.40686,1
1326.35693,1861.17175,1
1327.06262,1825.23,1
1327.15308,1964.94263,1
1327.16235,1815.02356,1
1327.33276,1898.928,1
1327.74329,1985.46912,1
1327.81445,1954.45,1
1327.82886,2012.93933,1
1327.92737,1924.30249,1
1327.9425,1933.44775,1
1328.07935,1899.6958,1
1328.27527,1909.43774,1
1328.52246,1987.0188,1
1328.56714,1834.7771,1
1328.59,1982.276,1
1328.63623,1906.012,1
1328.64722,2021.62927,1
1328.65662,1990.60547,1
1328.8562,1999.50146,1
1328.85669,2070.0498,1
1328.85815,1910.45349,1
1329.07007,1977.45422,1
1329.118,1871.99182,1
1329.13037,2008.5863,1
1329.13855,1996.8717,1
1329.14819,2083.19238,1
1329.20959,1867.094,1
1329.24573,1759.93445,1
1329.39563,2018.80737,1
1329.55322,2012.115,1
1329.981,2000.89807,1
1330.05518,2054.77075,1
1330.18274,2030.73242,1
1330.2218,2048.51123,1
1330.26746,1856.42407,1
1330.28394,1958.30042,1
1330.38538,2033.73145,1
1330.4292,1836.44287,1
1330.43323,1935.79956,1
1330.70117,1899.26038,1
1330.74365,1913.50244,1
1330.75488,1848.66809,1
1330.7959,2014.53613,1
1330.8645,1981.64673,1
1330.86633,1874.55042,1
1330.88123,1951.42627,1
1330.94543,1946.69214,1
1331.015,1880.11328,1
1331.10291,1853.851,1
1331.21741,1895.98169,1
1331.24292,1847.30371,1
1331.32861,1957.51013,1
1331.36121,1900.87573,1
1331.38245,1946.79968,1
1331.40161,1962.79663,1
1331.41333,1971.259,1
1331.48523,1982.32971,1
1331.56152,2052.20581,1
1331.5647,2132.64844,1
1331.6156,1925.24988,1
1331.67053,2111.588,1
1331.67932,1987.80322,1
1331.9397,1918.5127,1
1331.98779,1934.2334,1
1331.9906,2071.9187,1
1332.13867,1960.86389,1
1332.19641,1933.706,1
1332.28577,1867.72656,1
1332.36011,1918.11157,1
1332.46155,2014.30737,1
1332.58459,1952.23181,1
1332.5946,2027.3208,1
1332.64478,2011.011,1
1332.75317,1988.54041,1
1332.93213,1939.79285,1
1332.96484,1933.85327,1
1333.054,1902.52136,1
1333.5188,1876.6416,1
1333.6344,2003.52124,1
1333.649,2088.63867,1
1333.675,1985.07593,1
1333.74414,1837.6615,1
1333.78418,1915.61377,1
1333.80017,2106.28955,1
1333.8197,1769.351,1
1333.82861,1895.20435,1
1333.85352,1756.75061,1
1333.94531,1861.89343,1
1334.22668,1920.59155,1
1334.28943,2001.11792,1
1334.33386,1853.18323,1
1334.339,1875.23059,1
1334.41565,1889.49963,1
1334.56787,1932.62964,1
1334.57117,2025.691,1
1334.65283,1892.895,1
1334.67224,2035.86072,1
1334.8988,2017.33435,1
1334.91943,1943.81738,1
1334.962,1888.71,1
1334.9729,1909.49426,1
1335.13,1916.31421,1
1335.14624,2016.32581,1
1335.22534,1965.8075,1
1335.41382,1919.5885,1
1335.48975,2005.05664,1
1335.49817,1902.39087,1
1335.53308,1899.119,1
1335.57288,2014.90918,1
1335.60059,1986.42651,1
1335.613,1954.45471,1
1335.73059,1909.28906,1
1335.83716,2036.034,1
1335.86523,1947.75366,1
1335.90015,1882.12476,1
1336.10107,2026.57935,1
1336.15173,1830.07715,1
1336.18933,1848.836,1
1336.19226,2054.149,1
1336.21521,2032.55066,1
1336.31323,1975.2981,1
1336.41528,1861.94958,1
1336.48669,1984.10437,1
1336.48767,1916.96741,1
1336.56238,1927.273,1
1336.72693,1907.24548,1
1336.762,2017.68213,1
1336.78369,2041.86255,1
1336.80188,1974.47913,1
1336.87463,1783.4801,1
1337.02283,2071.35522,1
1337.044,1950.85645,1
1337.12927,1899.45874,1
1337.15881,1979.35962,1
1337.19043,1851.8252,1
1337.276,2036.94543,1
1337.27979,1936.6355,1
1337.28455,2039.20081,1
1337.30737,1964.457,1
1337.31287,1978.4718,1
1337.33057,1977.56323,1
1337.422,1961.26038,1
1337.51624,1776.36084,1
1337.58716,1775.25256,1
1337.63013,1900.64978,1
1337.67139,2012.48828,1
1337.8075,1920.465,1
1337.85083,1830.90283,1
1337.85413,1963.9375,1
1337.93738,1959.62939,1
1337.948,2008.143,1
1338.01575,2039.79248,1
1338.03467,1964.55383,1
1338.08618,1889.12292,1
1338.15454,1967.31873,1
1338.2135,2026.32092,1
1338.34448,1884.96375,1
1338.397,1878.16455,1
1338.58362,1947.47644,1
1338.63037,1904.2937,1
1338.72815,2013.31934,1
1338.74255,1896.89758,1
1338.77148,1891.062,1
1338.85278,1895.83374,1
1339.02332,1947.64246,1
1339.0376,2026.71277,1
1339.33521,1865.62231,1
1339.35059,1875.96655,1
1339.36865,1943.86389,1
1339.46606,2023.10071,1
1339.47339,1898.54248,1
1339.66418,1868.62439,1
1339.74707,1926.46643,1
1339.76379,2029.6156,1
1339.8,1959.38586,1
1339.81079,1995.12659,1
1339.84167,2018.81677,1
1339.9,1860.89661,1
1339.99048,2074.83984,1
1340.02271,1949.69775,1
1340.18213,1885.93164,1
1340.195,1953.48926,1
1340.20935,1974.35974,1
1340.21582,1889.71216,1
1340.24536,1939.4585,1
1340.32092,1943.69324,1
1340.32654,1977.74377,1
1340.336,2029.06958,1
1340.37451,2066.387,1
1340.376,1942.00061,1
1340.52783,1960.55457,1
1340.54187,1907.79553,1
1340.65784,1933.11768,1
1340.68884,2073.42017,1
1340.73694,2112.64014,1
1340.78137,1975.24084,1
1340.78625,1850.68958,1
1340.84644,1921.14978,1
1340.85986,2087.07715,1
1340.88586,1890.70642,1
1340.95532,1972.27441,1
1341.03027,2000.23608,1
1341.08936,1992.18616,1
1341.18469,2057.795,1
1341.237,1963.96033,1
1341.29016,1747.30981,1
1341.364,1886.56726,1
1341.44629,1904.92786,1
1341.49915,1977.47742,1
1341.58459,2015.5459,1
1341.62,1960.1062,1
1341.74292,1969.998,1
1341.76709,1996.93958,1
1341.81,1799.88477,1
1341.8606,1958.08044,1
1341.87012,2001.69275,1
1341.88269,1871.70117,1
1341.88757,1976.54932,1
1341.91382,1959.34021,1
1341.98962,1846.06433,1
1341.99548,1959.16333,1
1342.05957,2009.30627,1
1342.086,2112.61841,1
1342.13892,2139.76855,1
1342.17383,1895.319,1
1342.19788,1914.38318,1
1342.201,1926.16455,1
1342.27112,2025.30994,1
1342.366,1933.525,1
1342.47266,1938.45056,1
1342.4834,1918.73669,1
1342.58875,1999.10132,1
1342.66638,1982.1676,1
1342.66931,1997.11951,1
1342.69824,2006.88806,1
1342.75293,1927.78748,1
1342.76135,1875.00464,1
1342.82263,1861.20544,1
1342.88452,1920.14758,1
1342.91431,1827.766,1
1342.9292,2008.95142,1
1342.94531,2001.33118,1
1343.037,1980.63513,1
1343.20691,1898.54626,1
1343.23035,1973.26489,1
1343.28418,2023.9021,1
1343.30676,1772.34216,1
1343.32239,1956.39478,1
1343.37939,2029.89417,1
1343.40381,1992.72546,1
1343.42126,1928.82446,1
1343.46863,1980.87524,1
1343.52661,2023.34851,1
1343.52808,1912.70288,1
1343.61182,1841.73657,1
1343.64392,2093.90356,1
1343.86328,1922.27087,1
1343.87512,1998.71289,1
1343.99548,2009.14307,1
1344.03589,1885.452,1
1344.04639,1823.42212,1
1344.06982,2037.17407,1
1344.11548,2018.44092,1
1344.12952,2003.55737,1
1344.22815,1878.9137,1
1344.36523,1884.50818,1
1344.42737,2000.784,1
1344.4552,1911.42188,1
1344.46057,2047.34778,1
1344.48669,1869.383,1
1344.49463,1895.33386,1
1344.52014,1940.51624,1
1344.52686,2037.72241,1
1344.58118,1974.27417,1
1344.65271,1914.79358,1
1344.661,1996.3103,1
1344.73547,1920.94324,1
1344.80176,2093.173,1
1344.90015,1891.7854,1
1344.92444,1966.09851,1
1344.95715,1985.60718,1
1344.95752,1899.8811,1
1344.96082,2009.58643,1
1344.96985,1813.62549,1
1345.00513,2030.86182,1
1345.02783,1767.3302,1
1345.15015,1848.206,1
1345.15527,2067.4917,1
1345.28491,2068.493,1
1345.38513,1945.7085,1
1345.45581,1930.91528,1
1345.49585,1986.79651,1
1345.56812,1972.19873,1
1345.57629,1898.04541,1
1345.66589,1986.6449,1
1345.70215,1916.22778,1
1345.81177,1959.756,1
1345.82288,1994.38489,1
1345.83362,2031.85645,1
1345.8728,2010.70471,1
1345.89209,1981.15454,1
1345.92029,1847.20593,1
1345.92065,1929.07446,1
1345.937,1975.79236,1
1346.037,2025.99756,1
1346.05762,1927.76672,1
1346.08142,1964.861,1
1346.08984,2023.22473,1
1346.17639,2010.501,1
1346.21423,1903.17725,1
1346.32007,1924.14526,1
1346.35437,1951.70117,1
1346.391,1819.38916,1
1346.45947,1897.796,1
1346.508,2032.5177,1
1346.568,2124.6543,1
