Ch1 Amplitude,Ch2 Amplitude,Cluster
283.882721,469.8187,1
451.148926,718.021667,1
746.763733,1207.7605,1
828.221436,1377.96521,1
907.996033,1531.812,1
918.793762,1547.11914,1
922.1737,1479.10376,1
934.282654,1749.43628,1
941.4856,4991.678,4
951.305969,1644.40283,1
951.5247,1483.11523,1
959.2355,1681.443,1
968.304932,1446.33582,1
991.8947,1667.82849,1
995.246033,1845.15759,1
999.0436,1558.21033,1
1010.47333,1697.25012,1
1011.74951,1780.99365,1
1016.45447,1842.59155,1
1019.88971,1676.81152,1
1028.63892,1945.27979,1
1031.154,1801.593,1
1035.83374,6215.534,4
1038.7738,1711.30774,1
1059.79919,1852.11523,1
1064.53113,1812.25342,1
1067.3551,2034.92969,1
1068.5249,1930.8009,1
1070.35828,1798.786,1
1070.75269,1909.09229,1
1072.39563,1790.54822,1
1075.93958,1654.20593,1
1076.09216,1876.80591,1
1081.3429,1825.88013,1
1082.389,1745.91284,1
1084.75012,1861.314,1
1090.64111,1916.40015,1
1093.15808,5527.445,4
1095.63892,1951.75928,1
1096.55823,2230.35156,1
1100.29382,2032.34143,1
1106.52344,2086.022,1
1106.68811,1916.932,1
1108.45752,1897.11633,1
1109.78381,2105.9292,1
1110.074,1971.81763,1
1110.65466,1915.52356,1
1114.97974,1789.61816,1
1115.04358,1950.70886,1
1117.22815,1985.0929,1
1119.53162,2082.78638,1
1121.538,2123.8,1
1122.34192,1983.38452,1
1127.732,1981.77661,1
1128.88513,2005.33447,1
1132.65649,1801.66724,1
1136.05334,5246.04248,4
1137.93481,1870.61328,1
1142.4054,1906.94556,1
1144.68933,2150.16748,1
1146.67285,1791.09912,1
1148.16675,1793.67249,1
1148.34155,1952.44617,1
1148.785,1844.04016,1
1149.07007,2292.85986,1
1149.72766,2189.90186,1
1149.99683,2153.2937,1
1150.81958,2188.531,1
1151.25232,2146.24243,1
1152.4812,2200.95239,1
1154.90515,1990.863,1
1159.8241,2117.00073,1
1161.38477,2037.75977,1
1162.04053,1951.67236,1
1166.96545,2182.8396,1
1168.70325,2180.115,1
1169.14453,2150.32959,1
1169.21118,1981.34961,1
1169.24719,2141.918,1
1169.80652,2289.263,1
1169.88416,1989.366,1
1169.94336,2013.195,1
1170.136,2194.41577,1
1171.76624,2213.18774,1
1172.13928,5473.945,4
1174.023,2127.52319,1
1174.54285,2116.03564,1
1174.67249,2056.29126,1
1174.70215,2204.81934,1
1174.873,2159.50952,1
1175.0354,2247.40381,1
1175.88867,2414.56445,1
1175.89807,2150.40161,1
1176.44666,2054.75073,1
1176.48022,1842.641,1
1176.52087,1934.04724,1
1177.30737,1937.766,1
1178.05481,2021.79956,1
1178.10425,2106.2832,1
1178.46765,2161.27734,1
1178.54443,2115.237,1
1178.85559,2075.489,1
1179.12585,2160.52515,1
1179.60962,1958.3551,1
1180.25391,2010.35059,1
1180.25513,2091.48755,1
1180.77942,1816.008,1
1181.03613,2125.56836,1
1181.60583,2161.85767,1
1182.32935,2029.51538,1
1182.40735,2155.83569,1
1183.25854,2227.37939,1
1183.39514,2096.962,1
1183.60583,2098.211,1
1183.847,1945.51392,1
1184.05383,2081.16357,1
1184.52441,2155.81714,1
1184.67029,2038.01025,1
1184.931,2192.15454,1
1184.95007,2154.61182,1
1185.74377,2085.609,1
1186.10925,2208.622,1
1186.1449,1974.76855,1
1186.36182,2327.792,1
1186.45435,2022.22327,1
1187.16052,2054.64233,1
1187.42017,2169.597,1
1187.46326,2262.25659,1
1187.63831,2150.34668,1
1188.29163,2017.068,1
1188.37939,2186.54224,1
1188.45935,2187.08179,1
1188.53271,2152.50269,1
1188.72583,2204.53638,1
1188.79529,1909.5293,1
1188.851,1967.57446,1
1188.95544,2138.93677,1
1189.10608,2280.91528,1
1189.68274,2262.50049,1
1190.37341,2038.2915,1
1190.54724,2229.7002,1
1190.55359,2095.39331,1
1191.22253,2262.13379,1
1191.48047,2055.791,1
1191.724,2220.07129,1
1191.78223,2234.66455,1
1191.9718,2110.77954,1
1192.57336,2012.933,1
1193.04016,2223.64917,1
1193.10132,2058.3396,1
1193.56982,2128.37622,1
1193.93152,2225.63843,1
1193.98352,2065.01025,1
1194.05652,2116.24878,1
1194.25354,2049.14648,1
1194.63525,2144.564,1
1194.82361,2085.96875,1
1195.30359,2180.12646,1
1195.35156,2157.42358,1
1195.48438,2167.031,1
1195.53027,2231.89136,1
1195.62354,2214.38721,1
1195.85669,2080.1936,1
1195.92224,2074.46875,1
1195.99414,2037.82971,1
1196.54333,2342.51514,1
1196.699,2233.00513,1
1196.73572,2224.296,1
1197.09253,2037.39429,1
1197.18628,2175.59839,1
1197.26648,2242.138,1
1197.46423,2243.36353,1
1197.699,2112.50317,1
1197.89355,2078.19434,1
1198.38147,2037.78455,1
1198.805,2283.69531,1
1198.95825,2262.789,1
1199.32983,2229.77637,1
1199.43225,2101.99536,1
1199.483,2139.67017,1
1199.51086,2148.48071,1
1199.8988,2091.077,1
1199.91748,2150.83887,1
1200.395,2109.38379,1
1200.49011,2167.00366,1
1200.613,1963.74292,1
1200.76111,2118.34985,1
1201.07092,1970.06165,1
1201.45337,2366.07617,1
1201.825,2059.099,1
1201.95862,2140.073,1
1202.0835,2280.84326,1
1202.11169,1997.39709,1
1202.62061,2172.75732,1
1202.66785,2256.396,1
1202.746,2171.19824,1
1202.75818,2118.2854,1
1202.802,2136.40527,1
1202.83862,2207.27417,1
1203.24219,2148.145,1
1203.4939,2196.36865,1
1203.59106,2358.78442,1
1203.7179,2160.70557,1
1203.81824,2168.21143,1
1204.79675,2160.897,1
1204.81287,1924.54346,1
1205.11243,2210.77,1
1205.1228,2118.72339,1
1205.39709,2173.35083,1
1205.66272,2152.7627,1
1205.78943,2249.36475,1
1205.82434,2135.92529,1
1205.826,2198.82227,1
1205.87463,2097.88281,1
1206.158,1935.49255,1
1206.33276,2144.35229,1
1206.46875,2201.39429,1
1206.47229,2056.24268,1
1206.70776,2092.43628,1
1206.795,2316.97021,1
1206.91223,2183.8833,1
1207.10986,2166.5105,1
1207.38647,2075.231,1
1207.65649,2153.5376,1
1207.66882,2143.067,1
1207.67065,2291.19678,1
1208.08215,2206.5166,1
1208.12866,2000.37231,1
1208.28381,2063.50635,1
1208.31689,2165.32153,1
1208.415,2136.41431,1
1208.50879,2294.971,1
1208.86316,2211.45728,1
1208.87024,2296.07,1
1208.87476,2162.09668,1
1208.97217,2197.156,1
1209.00024,2147.759,1
1209.27026,2248.16675,1
1210.1095,2135.08081,1
1210.30969,2172.95239,1
1210.37573,2014.76685,1
1210.43616,2167.5083,1
1210.47473,2148.76074,1
1210.90063,2377.135,1
1211.40479,2347.27,1
1211.44092,2114.54736,1
1211.51575,2007.49622,1
1211.6947,2308.172,1
1211.7605,2163.06934,1
1211.78833,2163.21265,1
1211.87512,2076.066,1
1212.02356,2471.74341,1
1212.09277,2109.48022,1
1212.18689,2275.17041,1
1212.227,2128.926,1
1212.35144,2177.80371,1
1212.5177,2234.62134,1
1212.6156,2266.04517,1
1212.62292,2146.6792,1
1212.97974,2261.26587,1
1213.12,2233.42236,1
1213.17419,2319.23071,1
1213.26611,2066.08618,1
1213.275,2167.14966,1
1213.31592,2125.358,1
1213.53442,2193.87036,1
1213.65161,2349.39063,1
1213.829,2236.92676,1
1213.83057,2046.767,1
1213.8407,2317.137,1
1213.84351,2094.332,1
1213.88281,2154.29956,1
1214.0885,2248.27466,1
1214.08887,4455.5376,1
1214.16711,2292.598,1
1214.20337,2127.15967,1
1214.22034,2301.78247,1
1214.26538,2125.89014,1
1214.43408,2268.55884,1
1214.46545,2022.25366,1
1214.531,2083.912,1
1214.59753,2259.40845,1
1214.81567,2316.06274,1
1214.81787,2259.702,1
1214.94556,2257.14722,1
1215.05237,2117.79761,1
1215.07434,2251.76343,1
1215.52319,2166.24048,1
1215.8667,2137.11572,1
1216.07874,2118.70386,1
1216.126,2168.29248,1
1216.25452,2201.05713,1
1216.27832,2140.301,1
1216.30847,7435.74365,4
1216.31323,2176.15112,1
1216.32031,2370.279,1
1216.366,2314.865,1
1216.44458,2135.94043,1
1216.51489,2066.561,1
1216.562,1916.00244,1
1216.60059,2230.968,1
1216.68384,2185.014,1
1216.70068,2131.82129,1
1216.75171,2117.46558,1
1216.9021,2269.382,1
1217.2019,2245.05469,1
1217.279,2044.81323,1
1217.362,2310.165,1
1217.50916,2093.30762,1
1217.51941,2267.8457,1
1217.60583,2125.62354,1
1217.63782,2169.039,1
1218.31921,2209.1748,1
1218.40955,2182.474,1
1218.45215,2140.99829,1
1218.47949,2131.93164,1
1218.60962,2185.53857,1
1218.67737,2271.80029,1
1218.71411,2096.4563,1
1218.75989,2223.44019,1
1218.99512,2123.774,1
1219.0708,2232.45728,1
1219.18054,2302.7002,1
1219.19873,2229.11548,1
1219.22083,2162.01758,1
1219.26611,2241.03223,1
