Ch1 Amplitude,Ch2 Amplitude,Cluster
792.135254,940.493469,1
994.7222,1370.98,1
1067.10193,1445.42053,1
1074.97559,1806.37878,1
1105.77771,1711.14929,1
1118.89319,1830.79443,1
1120.61926,1815.86475,1
1132.34509,1858.97913,1
1138.25818,1569.82141,1
1149.947,1814.08545,1
1157.13464,1901.82544,1
1158.147,1895.86633,1
1158.892,1543.60522,1
1165.53491,1769.21143,1
1166.62537,1841.94116,1
1172.3446,1704.05383,1
1173.771,1904.12061,1
1175.73767,1795.32056,1
1182.95276,1744.89648,1
1184.99829,1986.83826,1
1187.02637,1767.19214,1
1190.04041,1860.8252,1
1190.96191,1654.75208,1
1191.37952,1802.02356,1
1192.59851,1846.878,1
1196.7666,1824.26831,1
1200.22327,1838.77075,1
1204.38562,1702.61255,1
1214.21716,1865.889,1
1215.10974,1959.3938,1
1216.8783,1872.75122,1
1217.825,1707.28577,1
1218.83032,1927.4939,1
1219.31665,1953.28271,1
1222.77209,1888.20923,1
1226.582,1741.64514,1
1227.38391,1869.9668,1
1228.66736,1991.90137,1
1229.04236,1883.19971,1
1230.35583,2048.5105,1
1230.74939,1939.27234,1
1231.93066,1778.66687,1
1232.26257,1864.81079,1
1233.50525,1850.43152,1
1238.21753,1859.64319,1
1239.47839,1961.8396,1
1241.0564,1915.54871,1
1241.21143,2014.45349,1
1241.337,1770.2113,1
1241.95239,1844.05249,1
1242.703,1926.02808,1
1242.71289,1938.74207,1
1244.447,1850.75854,1
1245.17993,2070.84277,1
1245.96021,1847.34082,1
1246.375,2003.59912,1
1247.7478,1849.76062,1
1247.818,1917.9126,1
1248.93567,1801.1803,1
1249.86511,1865.63477,1
1249.97607,1973.0658,1
1250.06958,2054.41333,1
1250.21143,2035.98035,1
1250.2406,1936.05847,1
1250.78,1903.66357,1
1251.50293,1959.52856,1
1251.6593,1837.69788,1
1252.76331,1952.69934,1
1253.93567,2073.7395,1
1253.99146,2003.18433,1
1254.11963,1923.00342,1
1254.2384,1785.69958,1
1254.62524,1938.13843,1
1255.25928,1916.44043,1
1255.47192,1784.93616,1
1256.64844,1948.05078,1
1256.89233,1808.41516,1
1257.06836,1858.56665,1
1257.07483,1883.0542,1
1257.36035,2112.12378,1
1257.534,1926.53809,1
1257.54211,1885.348,1
1257.62683,1931.87927,1
1258.19141,1903.98035,1
1259.1731,1898.90271,1
1259.2146,1906.126,1
1259.36816,1942.16309,1
1259.85669,1867.011,1
1261.10291,2018.19275,1
1261.17847,1806.91321,1
1263.62,1859.67517,1
1264.0658,1900.02173,1
1264.28418,1961.10571,1
1264.65771,1837.98987,1
1264.65894,1970.62378,1
1264.86462,1888.95764,1
1265.285,1871.28174,1
1265.458,1952.72656,1
1265.58618,1932.283,1
1265.82446,1878.46558,1
1266.07275,1975.30786,1
1266.29883,1951.60425,1
1266.31213,1931.17969,1
1267.08069,1954.0072,1
1267.71838,1857.53662,1
1267.88245,1848.43555,1
1268.34521,1946.74707,1
1268.61,1916.21167,1
1268.64636,1802.63782,1
1268.9093,1937.05164,1
1269.50391,1898.76013,1
1269.58521,1939.60571,1
1269.8761,1906.03394,1
1269.962,1949.91064,1
1270.25269,1964.39673,1
1270.78235,1997.06519,1
1271.04932,1871.4353,1
1271.28784,1989.76233,1
1271.92908,1988.513,1
1272.23462,1857.34778,1
1272.23889,1940.86548,1
1272.30615,2005.22339,1
1272.43335,1812.1344,1
1272.99731,2043.51392,1
1273.33081,1979.07581,1
1273.43872,1844.65625,1
1273.91284,1941.68213,1
1273.94141,1958.25562,1
1273.94763,1897.55371,1
1274.15552,1984.93665,1
1274.316,1952.13611,1
1274.378,2063.6123,1
1275.13977,1920.503,1
1275.26526,1823.492,1
1275.2749,2052.589,1
1275.32629,1918.9231,1
1275.34717,1889.23132,1
1275.34875,1787.59058,1
1275.56287,1852.336,1
1276.41882,1930.96387,1
1277.00818,1822.81726,1
1277.5448,1973.9364,1
1277.55029,1942.91675,1
1277.60071,1860.34912,1
1277.88391,1934.73328,1
1277.95764,1863.80066,1
1277.95874,2034.75122,1
1278.02661,1946.26807,1
1278.0874,1838.349,1
1278.18616,1891.92212,1
1278.56372,1829.62183,1
1278.7804,1883.64685,1
1279.06152,1817.40088,1
1279.1875,1996.929,1
1279.30408,1826.24353,1
1279.53931,1692.1394,1
1279.68311,1933.52222,1
1279.819,1909.178,1
1280.01709,1950.0575,1
1280.1106,1921.86035,1
1280.135,1990.31738,1
1280.42725,1934.50269,1
1280.5387,1954.63281,1
1280.74365,1831.46558,1
1281.04358,1912.79773,1
1281.42957,2029.13623,1
1281.45764,1936.2832,1
1281.521,1835.73364,1
1281.55725,1938.83142,1
1281.74866,1886.70251,1
1281.8396,1925.37561,1
1281.8667,1811.838,1
1281.97485,1848.42249,1
1282.38062,1835.523,1
1282.52112,1888.97412,1
1282.527,1955.03381,1
1283.02844,1920.897,1
1283.68848,1909.23608,1
1283.70056,1860.44275,1
1284.05652,1942.02173,1
1284.42676,1794.49268,1
1284.9679,1782.1283,1
1285.079,1907.44,1
1285.172,1950.02014,1
1285.2113,1823.3573,1
1286.02856,1990.30615,1
1286.31812,1876.55469,1
1286.41711,1928.9729,1
1286.4729,1978.33081,1
1286.49707,1941.56812,1
1286.53113,1976.71265,1
1286.79541,1792.94629,1
1287.04822,1824.17664,1
1287.094,1801.11633,1
1287.1001,1661.00122,1
1287.28186,1878.55469,1
1287.3335,1883.74792,1
1287.587,2026.53589,1
1287.77063,1904.05664,1
1287.87671,1754.50378,1
1287.91638,1818.347,1
1288.02124,1882.1803,1
1288.02844,1899.74866,1
1288.23608,2025.68689,1
1288.23987,1997.52283,1
1288.35645,1835.51575,1
1288.43787,2011.93835,1
1288.50769,1866.92065,1
1288.65259,1917.81946,1
1288.68054,1982.17224,1
1288.84167,1900.39087,1
1288.9353,1902.0083,1
1289.04248,1869.22363,1
1289.14917,2087.1748,1
1289.30969,1858.47241,1
1289.5155,1793.91492,1
1289.56018,1944.78748,1
1289.5658,1929.73743,1
1289.605,1950.91638,1
1289.78833,1862.60742,1
1289.86926,1919.183,1
1289.90332,1962.747,1
1290.02014,1918.34961,1
1290.03479,1777.03564,1
1290.12488,1921.69482,1
1290.23621,1934.89673,1
