Ch1 Amplitude,Ch2 Amplitude,Cluster
948.1585,1758.60242,1
1047.33142,1836.15894,1
1077.75085,1987.68958,1
1097.4884,1927.38171,1
1098.588,2160.98218,1
1106.80066,2179.94556,1
1108.20422,1922.06677,1
1116.44,1977.18823,1
1119.05322,1900.55408,1
1133.65234,1746.05627,1
1137.31909,2039.17322,1
1147.08984,2054.334,1
1148.55945,2080.91577,1
1148.63379,2153.76514,1
1151.8595,4593.978,1
1154.28149,2173.028,1
1160.59619,2346.86987,1
1165.45935,2166.19556,1
1168.31055,2200.17627,1
1170.71033,2168.70459,1
1172.40344,1973.52466,1
1176.55737,2272.42163,1
1178.07422,2151.133,1
1179.17065,2196.73633,1
1181.39465,2032.683,1
1182.11682,1876.1593,1
1182.61768,2333.76221,1
1183.62073,2052.86475,1
1184.245,2160.53662,1
1186.0885,2200.636,1
1186.83667,2111.40356,1
1187.4126,2273.79614,1
1188.96545,7002.76855,4
1189.17749,2189.38818,1
1190.38867,2245.69629,1
1191.59961,2335.0293,1
1191.98694,2355.89185,1
1192.04907,2033.97339,1
1194.04553,2213.26416,1
1194.21606,2221.219,1
1194.32019,2309.23242,1
1194.41577,2243.23267,1
1194.52734,2159.7417,1
1194.59412,2287.446,1
1195.29346,2301.0354,1
1195.61316,2170.22241,1
1197.1322,2250.31641,1
1198.12622,2247.94922,1
1198.29163,2366.34937,1
1198.717,2314.56421,1
1198.99,2244.60913,1
1199.51379,2361.24365,1
1199.74414,2136.89453,1
1199.83093,2321.55737,1
1200.02478,2378.41,1
1200.2168,2267.85132,1
1200.55542,2066.60327,1
1200.8905,2309.544,1
1201.10315,2066.05518,1
1201.27417,2157.95386,1
1201.27612,2122.74268,1
1201.61414,2303.85547,1
1201.70068,2221.10645,1
1202.81018,2243.68018,1
1203.13074,2238.38647,1
1203.37524,2212.22583,1
1204.00549,2311.8645,1
1204.07739,1897.10144,1
1204.103,2271.62427,1
1204.63025,2267.5293,1
1205.481,2281.41479,1
1206.594,2288.56372,1
1206.74268,2156.877,1
1206.795,2291.0332,1
1206.99719,2381.65112,1
1207.52515,2294.24927,1
1207.535,2119.914,1
1207.926,2285.28979,1
1207.95142,2270.594,1
1209.20837,2245.49878,1
1209.46069,2145.68359,1
1209.47791,2139.42676,1
1209.93274,2245.71948,1
1210.002,2156.87671,1
1210.51392,2243.43018,1
1210.62744,2440.65137,1
1211.19385,2173.076,1
1211.33948,2304.57227,1
1211.44275,2112.3252,1
1211.64111,2082.55737,1
1211.90491,2103.60278,1
1212.21338,2094.17114,1
1212.28076,2217.03833,1
1212.876,2141.53662,1
1213.046,2224.39624,1
1213.182,1964.62634,1
1213.55017,2082.30444,1
1213.60779,2085.24438,1
1213.621,2213.05029,1
1213.725,2261.49048,1
1214.117,2249.75415,1
1214.21191,2051.53955,1
1214.48743,2175.17236,1
1214.99585,2294.10083,1
1215.25745,2110.09448,1
1215.34583,2333.15869,1
1215.39832,2259.77,1
1215.477,2288.33643,1
1215.53735,2256.83618,1
1215.621,2197.136,1
1215.75464,2238.46021,1
1216.17017,2217.70361,1
1216.19043,2316.2876,1
1216.26331,2150.11084,1
1216.47046,2401.33179,1
1216.68359,2204.42871,1
1216.71912,2239.27832,1
1216.80115,2308.41284,1
1217.41284,2374.042,1
1217.57275,2301.32251,1
1217.83276,2154.79688,1
1217.94666,2314.21826,1
1218.24854,2212.44165,1
1218.65527,2325.728,1
1218.83923,2179.12256,1
1218.98364,2346.7168,1
1219.09863,2395.75366,1
1220.47632,2126.06445,1
1221.14038,2160.052,1
1221.35291,2011.51831,1
1221.50488,2206.6665,1
1221.622,2274.84,1
1221.625,2165.21436,1
1221.75061,2180.7146,1
1221.78967,2261.74951,1
1222.08215,2154.83081,1
1222.10449,2272.83325,1
1222.33508,2239.19922,1
1222.51184,2256.02661,1
1222.62061,2192.159,1
1222.73035,2184.35864,1
1222.76221,2362.26074,1
1222.83362,2123.97217,1
1222.91479,2286.04272,1
1222.97742,2226.82153,1
1223.11377,2157.571,1
1223.455,2087.10449,1
1223.46716,2190.61353,1
1223.77649,2414.239,1
1223.78784,2082.135,1
1223.84119,2332.667,1
1223.88293,2210.64575,1
1223.89148,2339.365,1
1224.07214,2295.745,1
1224.1842,2210.656,1
1224.79871,2240.828,1
1224.93518,2309.18335,1
1225.30359,2299.131,1
1225.48511,2211.17065,1
1225.59,2289.06372,1
1225.67285,2201.96484,1
1226.15735,2355.181,1
1226.41125,2295.05273,1
1226.50317,2224.48486,1
1226.54993,2288.44,1
1226.63635,2288.21826,1
1227.22,2176.13379,1
1227.22192,2081.72217,1
1227.35815,2206.14551,1
1227.35986,2262.86426,1
1227.54529,2211.19629,1
1227.90564,2147.53223,1
1227.96375,2209.874,1
1227.97729,2299.59888,1
1227.99548,2158.695,1
1228.04761,2255.78613,1
1228.10034,2004.28931,1
1228.31055,2222.52979,1
1228.38428,2095.29932,1
1228.4967,2183.85352,1
1228.87219,2240.04785,1
1229.23889,2254.45044,1
1229.35864,1877.15625,1
1229.48218,2288.16748,1
1229.557,2222.89648,1
1229.62927,2287.75952,1
1229.74365,2354.84473,1
1229.79382,2380.317,1
1229.85046,2225.75439,1
1229.92041,2367.803,1
1230.11975,2176.511,1
1230.29419,2187.994,1
1230.49036,2231.21875,1
1230.50549,2270.17114,1
1230.988,2355.57764,1
1231.07544,8397.32,4
1231.17822,2241.3894,1
1231.18042,2102.39624,1
1231.22644,2234.78052,1
1231.4259,2208.34985,1
1231.475,2399.66577,1
1231.83,2203.79224,1
1231.86877,2217.4917,1
1231.97876,2146.81885,1
1231.99207,2309.95239,1
1232.16833,2521.89429,1
1232.49365,2137.83716,1
1232.70093,2206.22656,1
1232.82312,2294.0332,1
1232.853,2199.2085,1
1232.94092,2257.76123,1
1233.23218,2252.052,1
1233.31055,2212.021,1
1233.76221,2389.00537,1
1233.77344,5763.84033,4
1233.80786,2208.11743,1
1234.34729,2221.95239,1
1234.44128,2111.044,1
1234.52759,2249.90625,1
1234.55774,2312.79761,1
1234.707,2328.965,1
1234.73975,2339.08057,1
1234.90759,2170.9314,1
1235.41931,2287.081,1
1235.48975,2224.29932,1
1235.55261,2231.21777,1
1235.59045,2220.37939,1
1235.64673,2350.21924,1
1235.747,2232.00635,1
1235.95776,2410.771,1
1236.21545,2282.91772,1
1236.41284,2117.5498,1
1236.50037,2310.40479,1
1236.52722,2216.813,1
1236.68408,2254.46582,1
1236.7467,2239.003,1
1236.82117,2306.055,1
1236.91858,2037.07275,1
1237.17236,2177.99561,1
1237.24524,2223.19336,1
1237.27063,2308.70532,1
1237.38538,2186.55469,1
1237.443,2196.13037,1
1237.523,2249.98535,1
1237.53833,2145.88184,1
1237.71655,2122.36743,1
1237.76941,2257.664,1
1237.83716,2189.38843,1
1237.9585,2148.19922,1
1237.96252,2215.08228,1
1238.09009,2163.49585,1
1238.17651,2304.9707,1
1238.223,2324.30029,1
1238.31482,2202.77563,1
1238.343,2275.143,1
1238.37134,2300.65063,1
1238.5072,2303.25024,1
1238.59912,2089.49341,1
1238.75354,2223.15161,1
1238.82727,2113.01465,1
1238.95752,2112.72974,1
1238.96924,2229.45483,1
1239.0105,2340.67847,1
1239.05469,2295.556,1
1239.28552,2230.10132,1
1239.39172,2233.09766,1
1239.4115,2126.522,1
1239.53723,2242.379,1
1239.5885,2367.34229,1
1239.61389,2275.204,1
1239.64368,2245.73364,1
1239.88574,2265.93018,1
1239.8949,2277.22021,1
1240.10852,2117.51172,1
1240.11853,2144.61841,1
1240.126,2295.11133,1
1240.179,2343.68457,1
1240.26941,2110.30762,1
1240.27893,2216.34326,1
1240.34875,2212.51416,1
1240.357,2252.5918,1
1240.38184,2209.3728,1
1240.44983,2102.92139,1
1240.45215,2310.493,1
1240.45789,2340.1853,1
1240.473,2288.69287,1
1240.62817,2272.39453,1
1240.63611,2213.41187,1
1240.64575,2352.50952,1
1240.666,1967.09741,1
1240.7843,2292.825,1
1240.85608,2306.44727,1
1240.87158,2127.025,1
1240.962,2312.39673,1
1240.98474,2249.628,1
1241.04333,2292.999,1
1241.071,2256.78931,1
1241.0752,2285.07446,1
1241.10693,2213.184,1
1241.35486,2098.108,1
1241.35681,2362.269,1
1241.37708,2296.49121,1
1242.008,2365.8855,1
1242.23364,2265.0188,1
1242.235,2474.24658,1
1242.30627,2219.70947,1
1242.346,2329.739,1
1242.41028,2358.12231,1
1242.45117,2197.7417,1
1242.4679,2312.03613,1
1242.51831,2202.15332,1
1242.57288,2265.01221,1
1242.66016,2240.34155,1
1242.68469,2281.495,1
1242.77856,2171.04932,1
1242.80823,2217.36646,1
1242.884,2254.2207,1
1242.98682,2137.49316,1
1243.03821,2258.28149,1
1243.0874,2348.91846,1
1243.23047,2138.35352,1
1243.29614,2267.95239,1
1243.36194,2146.33667,1
1243.42175,2298.38,1
1243.67761,2337.466,1
1243.69751,2209.477,1
1243.76013,2219.102,1
1243.82458,2234.68872,1
1244.02856,2355.262,1
1244.03882,2316.2666,1
1244.08411,2310.14331,1
1244.10059,2263.879,1
1244.10876,2352.02759,1
1244.33044,2372.323,1
1244.50574,2194.304,1
1244.52307,2261.86182,1
1244.53418,2175.83716,1
1244.5509,2048.01343,1
1244.62512,2290.27832,1
1244.65662,2324.6543,1
1244.824,2139.323,1
1245.07007,2241.623,1
1245.09229,2390.978,1
1245.21912,2171.35742,1
1245.26563,2164.58374,1
1245.28064,2227.4126,1
1245.30872,2244.14087,1
1245.47266,2195.0542,1
1245.66125,2260.259,1
1245.80066,2275.636,1
1245.86365,2029.64734,1
1246.30371,2300.10327,1
1246.40149,2244.19434,1
1246.43115,2394.677,1
1246.65173,2240.86328,1
1246.68225,2177.96851,1
1246.78052,2274.763,1
1246.7926,2163.06128,1
1246.91345,2000.19312,1
1247.03,2282.55713,1
1247.12439,2227.18579,1
1247.13318,2226.29248,1
1247.1698,2219.56323,1
1247.1969,2293.27368,1
1247.22168,2254.16357,1
1247.244,2145.10522,1
1247.28564,2186.573,1
1247.36829,2195.79175,1
1247.45251,2239.92383,1
1247.46973,2228.95728,1
1247.50867,2178.17358,1
1247.52222,2323.78174,1
1247.60144,2213.71948,1
1247.66125,2223.66016,1
1247.67432,2178.477,1
1247.70337,2125.97729,1
1247.72485,2265.22314,1
1247.72534,2181.82031,1
1247.74658,2274.39917,1
1247.79919,2234.982,1
1247.82,2219.914,1
1247.82434,2282.24634,1
1247.82544,2374.92822,1
1247.91943,2334.823,1
1247.9646,2231.45459,1
1248.0127,2154.74585,1
1248.029,2348.34253,1
1248.04919,2182.248,1
1248.17334,2290.41,1
1248.18115,2122.92188,1
1248.24536,2252.13721,1
1248.31921,2250.199,1
1248.5155,2263.84253,1
1248.56226,2149.34326,1
1248.58252,2242.61035,1
1248.6084,2276.538,1
1248.65051,2226.52539,1
1248.69141,2212.193,1
1248.86377,2242.096,1
1248.89807,2154.6748,1
1249.12463,2235.246,1
1249.14539,2329.41382,1
1249.16467,2160.57349,1
1249.18359,2203.21655,1
1249.26245,2050.56958,1
1249.36072,2044.926,1
1249.38416,2166.28052,1
1249.40881,2314.473,1
1249.43372,2273.92163,1
1249.44043,2321.90552,1
1249.47119,2210.70728,1
1249.48071,2193.85986,1
1249.5387,2295.92261,1
1249.57214,2342.74683,1
1249.69458,2254.46777,1
1249.72717,2002.1001,1
1249.78845,2199.74268,1
1249.83728,2150.48315,1
1249.87756,2218.01318,1
1249.88293,2202.416,1
1249.93042,2268.833,1
1249.94446,2240.11768,1
1249.95239,2307.306,1
1250.036,2275.34644,1
1250.09,2588.61865,1
1250.10449,2184.37085,1
1250.19922,2295.5708,1
1250.23218,2211.46533,1
1250.24487,2163.0376,1
1250.38977,2147.53784,1
1250.39465,2352.00928,1
1250.4021,2123.579,1
1250.4884,2077.158,1
1250.554,2172.55762,1
1250.55933,2102.08643,1
1250.56262,2263.83447,1
1250.65063,2297.33838,1
1250.65674,2205.72314,1
1250.66809,2214.87476,1
1250.72278,2250.6604,1
1250.73877,8457.856,4
1250.75574,2290.18433,1
1250.79773,2271.12622,1
1250.83459,2299.68433,1
1250.9856,2341.21851,1
1250.98792,2307.86548,1
1251.06067,2165.18384,1
1251.0918,2304.976,1
1251.11731,2281.102,1
1251.15491,2152.81128,1
1251.27612,2295.47217,1
1251.3158,2243.655,1
1251.34668,2296.45581,1
1251.39075,2347.903,1
1251.46069,2265.55859,1
1251.47412,2240.76343,1
1251.50659,2221.56079,1
1251.50818,2242.51514,1
1251.55225,2180.00879,1
1251.57532,2215.80151,1
1251.88892,2372.99268,1
1251.946,2250.04785,1
1251.99109,2220.39233,1
1252.01965,2317.23413,1
1252.0238,2259.79761,1
1252.05457,2185.98267,1
1252.09839,2228.29028,1
1252.11487,2180.72485,1
1252.12268,2152.675,1
1252.13879,2059.37085,1
1252.21692,2321.09448,1
1252.26086,2271.574,1
1252.26086,2348.03784,1
1252.277,2157.199,1
1252.354,2241.58643,1
1252.51172,2222.51636,1
1252.54065,2160.029,1
1252.541,2255.72217,1
1252.60315,2182.707,1
1252.63037,2203.507,1
1252.671,2266.547,1
1252.72656,2358.61377,1
1252.8562,2228.47632,1
1252.86755,2447.59888,1
1252.93018,2295.86353,1
1252.955,2171.08545,1
1252.98022,2343.403,1
1253.04993,2252.89453,1
1253.097,2196.017,1
1253.14111,2348.69971,1
1253.24487,2363.18774,1
1253.304,2202.84375,1
1253.3053,2191.056,1
1253.3678,2294.676,1
1253.49719,2289.59277,1
1253.5968,2125.3728,1
1253.61121,2239.72168,1
1253.62915,2236.87036,1
1253.72217,2152.94434,1
1253.72766,2223.66113,1
1253.73438,2298.00439,1
1253.7981,2259.58936,1
1253.81067,2266.829,1
1253.84192,2276.56885,1
1253.84692,2175.64819,1
1253.938,2428.48364,1
1253.96021,2147.43872,1
1253.98828,2302.84863,1
1254.05249,2190.77832,1
1254.07117,2329.43115,1
1254.07263,2150.53467,1
1254.23267,2242.43677,1
1254.2467,2379.03613,1
1254.27185,2278.21436,1
1254.304,2207.69775,1
1254.38318,2123.94629,1
1254.42273,2230.24219,1
1254.45569,2413.65479,1
1254.46887,2335.37744,1
1254.47192,2200.94482,1
1254.47546,2289.63379,1
1254.47778,2207.94019,1
1254.47913,2227.05176,1
1254.47913,2076.00732,1
1254.5177,2368.671,1
1254.53687,2192.861,1
1254.54065,2231.10083,1
1254.57019,2298.548,1
1254.649,2192.31836,1
