Ch1 Amplitude,Ch2 Amplitude,Cluster
327.6724,553.3154,1
695.3432,970.3678,1
906.9648,1303.6731,1
1044.88123,1338.78345,1
1100.03784,1523.34436,1
1109.87415,1489.24878,1
1118.98877,1908.872,1
1133.109,1743.36646,1
1146.40955,1688.09509,1
1149.01453,1486.78455,1
1152.97949,1811.94788,1
1153.68848,1899.91675,1
1155.71436,1822.49133,1
1155.80762,1481.378,1
1159.05432,1836.15442,1
1180.21729,1614.00085,1
1181.402,1738.55847,1
1183.01807,1636.356,1
1195.69971,1791.19409,1
1197.347,1625.69934,1
1198.973,2054.397,1
1205.27161,1870.17346,1
1206.69971,1971.17908,1
1210.256,1990.98718,1
1211.67664,1563.475,1
1212.69519,1481.414,1
1214.93066,1777.11877,1
1215.95056,1971.8418,1
1219.07153,1794.39722,1
1219.368,1974.73962,1
1220.05481,1841.00037,1
1222.99158,1936.21912,1
1224.80664,1865.11365,1
1225.69275,1845.099,1
1226.76038,1743.03479,1
1227.91992,1967.297,1
1227.94336,1792.61462,1
1229.03772,1681.31458,1
1230.97168,1880.85974,1
1231.087,1684.76233,1
1234.83936,1780.46606,1
1240.499,1896.058,1
1240.94666,1951.01782,1
1241.64661,1835.18408,1
1242.68555,1806.9613,1
1242.798,1914.75745,1
1243.93,1809.33594,1
1243.96057,1808.00427,1
1244.22986,1928.35034,1
1246.3241,1868.34167,1
1247.37622,1974.0072,1
1247.39661,2003.51135,1
1249.99316,1888.43188,1
1250.86316,1783.42383,1
1251.25525,2064.10352,1
1252.23169,1928.70471,1
1252.4342,1830.58521,1
1252.47314,1843.27124,1
1254.56458,1904.14978,1
1255.98,1886.63281,1
1256.31714,1980.883,1
1256.44116,2007.268,1
1257.34558,1989.31677,1
1259.023,1980.34155,1
1259.39685,1841.5061,1
1260.34058,1802.51257,1
1260.61194,1933.07422,1
1261.23572,1883.16663,1
1262.13574,1993.03088,1
1262.14063,1943.90149,1
1262.921,1893.7793,1
1263.10693,1953.22021,1
1263.62915,1798.19409,1
1263.8418,1763.99756,1
1265.18152,1885.21765,1
1265.22327,1907.86487,1
1265.22559,1807.591,1
1266.264,2048.334,1
1266.54077,1979.94482,1
1267.56482,1927.07727,1
1267.93933,1916.50452,1
1268.06714,1818.285,1
1268.54407,1819.0603,1
1268.63684,1836.84644,1
1268.774,1927.733,1
1268.82043,1943.96545,1
1269.13831,1886.05774,1
1269.302,1845.78735,1
1269.51917,1935.73584,1
1270.06,1932.06238,1
1270.13025,2053.76221,1
1270.19434,1918.52832,1
1270.95276,1976.79712,1
1271.76965,1712.22314,1
1272.59717,1933.584,1
1272.82129,1905.58252,1
1273.023,1908.08118,1
1273.40686,1873.01587,1
1273.64587,1775.938,1
1273.66431,1842.98779,1
1273.69775,1879.35742,1
1274.27222,2003.7301,1
1274.49854,2067.879,1
1274.83447,1990.54382,1
1274.92212,1694.65161,1
1275.62793,1988.14636,1
1275.63159,1847.39246,1
1275.64417,1946.00757,1
1275.64612,1861.3905,1
1275.92322,1886.20142,1
1276.2981,1923.8905,1
1276.68677,1890.57886,1
1276.74158,1853.96826,1
1277.32861,1741.99414,1
1278.043,1979.78394,1
1278.25488,1873.49426,1
1278.633,1815.03723,1
1278.98328,1843.09729,1
1279.06274,1974.97253,1
1279.13831,1873.98328,1
1279.497,1991.70154,1
1279.71094,1920.94043,1
1279.97522,1886.4718,1
1280.20129,1885.9613,1
1281.2948,2013.63818,1
1281.2998,1872.4447,1
1281.39185,1954.3562,1
1281.7854,1857.28748,1
1282.07361,1931.44861,1
1282.41382,1876.95349,1
1282.43835,1881.95557,1
1282.43958,1895.48914,1
1282.8313,1788.03992,1
1283.17261,1884.09473,1
1283.32007,1972.00415,1
1283.65857,1950.37573,1
1284.03052,1938.33789,1
1284.27893,1968.749,1
1284.28174,1965.12158,1
1284.35168,1794.087,1
1284.48914,1911.0061,1
1284.57275,1853.43542,1
1284.63123,1910.276,1
1284.689,2015.47437,1
1285.19092,1787.95679,1
1285.39124,1801.83472,1
1285.99524,1958.74585,1
1286.12964,1911.75183,1
1286.43372,1943.18091,1
1286.62854,1935.78,1
1286.65161,1947.63733,1
1286.83655,1922.85889,1
1287.48193,2036.2146,1
1287.69763,2099.07178,1
1287.96631,1928.551,1
1288.3092,1916.51978,1
1288.36145,1974.22839,1
1288.472,1802.71643,1
1288.873,1884.73779,1
1289.31677,1877.00244,1
1289.34583,1933.59753,1
1289.57959,1989.801,1
1289.74927,2063.55664,1
1289.83545,1919.9,1
1289.907,1864.1377,1
1289.9458,1957.54138,1
1290.04492,2062.198,1
1290.05273,1829.88513,1
1290.05786,1982.08362,1
1290.67188,1917.34192,1
1290.88208,1934.58862,1
1290.93127,1893.447,1
1290.93884,1872.12781,1
1291.09729,1786.2605,1
1291.20447,1923.64832,1
1291.544,1878.00134,1
1291.64453,1864.9104,1
1291.6543,1933.00146,1
1291.76013,1929.00659,1
1291.86279,1925.28113,1
1292.15686,1851.98608,1
1293.0658,1913.23743,1
1293.29065,1788.5575,1
1293.37012,1791.52649,1
1293.452,1806.16162,1
1293.45276,1868.01208,1
1293.52344,1802.19385,1
1293.52991,1823.08557,1
1293.59106,1804.93152,1
1293.82471,1944.62048,1
1293.98071,1814.7616,1
1294.06433,1926.8103,1
1294.07214,1940.69971,1
1294.23743,2113.24878,1
1294.32849,2031.38489,1
1294.38477,1807.09424,1
1294.46863,1852.09973,1
1294.49634,1952.72876,1
1294.56555,2003.55542,1
1294.68115,1839.22864,1
1294.86914,1860.68591,1
1294.872,1926.06372,1
1294.92456,1885.455,1
1294.92651,1876.78479,1
1294.97534,1934.30029,1
1295.09766,1875.89612,1
1295.20374,1913.01807,1
1295.40283,2040.06812,1
1295.45007,1846.0813,1
1295.71411,1797.52942,1
1295.71606,1910.66675,1
1295.71753,1941.56152,1
1295.775,1888.31226,1
1295.98633,1992.57434,1
1296.03418,2140.78442,1
1296.21545,1862.6582,1
1296.809,1987.67358,1
1296.87708,1871.92163,1
1297.04114,1931.17688,1
1297.14282,1800.07214,1
1297.20374,1894.34143,1
1297.36023,1933.22241,1
1297.38977,1960.17712,1
1297.56433,1855.42773,1
1297.61523,1945.44592,1
1297.63708,1913.503,1
1297.69019,1915.1759,1
1297.754,1898.28906,1
1297.76892,1942.75134,1
1297.86621,1873.74487,1
1297.98291,1985.64221,1
1298.00659,1793.626,1
1298.02661,1929.89185,1
1298.05432,1873.83582,1
1298.14429,1855.03113,1
1298.2229,1899.12256,1
1298.24121,1923.98975,1
1298.4021,2011.79053,1
1298.42078,2076.992,1
1298.53564,1879.97241,1
1298.82043,1923.301,1
1298.87732,1926.53784,1
1298.88147,1931.33752,1
1298.89856,1961.92932,1
1299.032,1952.05176,1
1299.12817,1982.06238,1
1299.15417,1950.51526,1
1299.20776,1960.00464,1
1299.32776,1933.47693,1
1299.38062,1905.19824,1
1299.44873,1990.4021,1
1299.45361,1836.92944,1
1299.50378,1971.89526,1
1299.63818,1956.12671,1
1299.79053,1925.79883,1
1299.92932,1917.45032,1
1300.41248,1941.601,1
1300.60278,2067.69849,1
1300.79443,1841.149,1
1300.90283,1942.6731,1
1300.90869,1902.38611,1
1301.13074,1934.134,1
1301.159,1940.05457,1
1301.25916,1833.06641,1
1301.28418,2034.98535,1
1301.296,1818.511,1
1301.4104,1960.89124,1
1301.4231,1867.12366,1
1301.61328,2036.27576,1
1301.75439,1948.44958,1
1301.84534,1873.37183,1
1301.90808,1911.36475,1
1301.90955,1984.32666,1
1302.0282,1898.37561,1
1302.15808,1982.13135,1
1302.24377,1899.03015,1
1302.25134,1825.61389,1
1302.30286,1785.14624,1
1302.307,1945.30786,1
1302.3645,1828.42224,1
1302.39648,1790.01477,1
1302.433,1932.68652,1
1302.52856,1838.10364,1
1302.58057,1770.54907,1
1302.68909,1852.12109,1
1302.813,1990.23694,1
1302.89941,2102.17749,1
1302.9906,1908.35986,1
1303.08264,1951.38013,1
1303.10046,1836.38843,1
1303.16125,1908.05554,1
1303.18359,1959.43762,1
1303.36243,1955.72937,1
1303.42725,1934.71545,1
1303.6084,1922.57849,1
1303.68542,1814.45276,1
1303.70093,1976.65417,1
1303.84216,1931.986,1
1303.87073,1811.105,1
1303.94043,1932.63953,1
1304.03552,1839.7323,1
1304.05359,1931.00562,1
1304.33813,1954.46387,1
1304.42883,1817.95825,1
1304.548,1879.73547,1
1304.58972,1730.03967,1
1304.63879,1994.06165,1
1304.73608,1978.55835,1
1304.90149,1972.73193,1
1305.07739,1971.02686,1
1305.12854,2051.125,1
1305.16284,1941.29871,1
1305.272,1931.65552,1
1305.373,1981.17932,1
1305.41309,2008.08252,1
1305.47888,1948.97156,1
1305.61816,1843.15625,1
1305.6355,1948.70032,1
1305.81567,1889.30713,1
1306.05078,2056.84521,1
1306.08179,1916.517,1
1306.11914,1989.108,1
1306.61108,1982.36609,1
1306.62085,1850.81592,1
1306.68481,1907.58484,1
1306.76538,2038.40527,1
1306.77344,2138.639,1
1306.94153,1926.31946,1
1306.98413,1768.792,1
1307.15869,1945.66467,1
1307.227,1878.80225,1
1307.30042,1962.52979,1
1307.32251,1959.044,1
1307.32629,2057.04517,1
1307.47009,2011.47656,1
1307.55823,1931.41113,1
1307.57043,1974.91772,1
1307.70593,1852.72461,1
1307.74622,1925.32727,1
1307.88782,1847.48425,1
1307.89893,1958.55164,1
1308.0658,1815.69629,1
1308.073,1940.27173,1
1308.11047,1897.18909,1
1308.2124,1833.31616,1
1308.29639,1877.9928,1
1308.37878,1909.08093,1
1308.43787,1964.969,1
1308.44189,1919.66992,1
1308.61316,1858.87109,1
1308.6261,1937.96191,1
1308.6947,1964.34644,1
1308.80139,2005.3103,1
1308.86951,2066.81982,1
1308.95044,1847.64978,1
1309.02075,1980.80884,1
1309.034,2110.175,1
1309.07471,1897.30042,1
1309.27478,1944.89026,1
1309.283,1878.4801,1
1309.38,1965.27612,1
1309.3927,1849.66357,1
1309.44043,1952.29407,1
1309.57874,1919.53088,1
1309.61877,1904.32666,1
1309.678,1887.80811,1
1309.91882,2024.40479,1
1309.95618,1983.24866,1
1310.04565,1972.76416,1
1310.05151,1913.18286,1
1310.15393,1882.86682,1
1310.35071,1918.80334,1
1310.37292,1966.88538,1
1310.40137,1856.98035,1
1310.43677,1976.29126,1
1310.53088,1978.3158,1
1310.53247,2044.59424,1
1310.56055,1987.88965,1
1310.5813,1964.7583,1
1310.683,1848.56873,1
1310.72852,1915.982,1
1310.75684,1723.0531,1
1310.96118,1958.16711,1
1310.9845,1894.98047,1
1311.14807,1833.13379,1
1311.33569,2051.53052,1
1311.44153,1862.47974,1
1311.46484,1932.45691,1
1311.52576,2153.74731,1
1311.52856,1930.49475,1
1311.66785,1915.34827,1
1311.68311,1750.06445,1
1311.68494,1852.04858,1
1311.83923,1944.15234,1
1311.847,1881.34473,1
1311.86572,1993.52979,1
1311.92224,1932.2063,1
1312.06372,1885.91528,1
1312.12329,1933.51709,1
1312.20544,2009.58826,1
1312.26282,1936.04773,1
1312.27039,1871.97559,1
1312.50354,1952.19641,1
1312.52441,1904.23425,1
1312.613,1924.49487,1
1312.61633,1861.18323,1
1312.65234,1934.35864,1
1312.7395,1894.16724,1
1312.77441,1973.59607,1
1312.94348,1801.0083,1
1313.06909,1846.18054,1
1313.13916,1878.98486,1
1313.17786,1899.2572,1
1313.34827,1825.1698,1
1313.37085,2037.374,1
1313.47253,1933.119,1
1313.49463,1878.26978,1
1313.60266,1895.80945,1
1313.65112,1869.41,1
1313.68555,2023.108,1
1313.71753,1933.25293,1
1313.75146,1820.38574,1
1313.78955,1933.94067,1
1313.81848,1892.147,1
