Ch1 Amplitude,Ch2 Amplitude,Cluster
921.4411,1565.62463,1
929.3308,1633.94751,1
983.730835,1682.70032,1
1020.84125,1786.49023,1
1066.58716,1850.074,1
1075.76978,2302.54224,1
1080.69946,1928.95093,1
1101.34668,1837.61719,1
1115.067,2252.94336,1
1120.559,1759.87866,1
1132.75439,2121.4707,1
1144.85864,2131.668,1
1148.92908,2367.37183,1
1152.44141,2380.045,1
1160.21558,2105.18652,1
1166.96082,2131.81421,1
1168.44189,2222.69824,1
1170.34351,2335.525,1
1177.24756,2329.556,1
1177.94189,2168.53174,1
1178.33557,2067.74438,1
1178.57239,2150.5542,1
1181.23157,2124.282,1
1182.82092,2209.34033,1
1183.06213,2253.02612,1
1186.01477,2383.18726,1
1189.85925,2286.75879,1
1190.645,2175.941,1
1191.268,2487.61279,1
1193.69543,2092.542,1
1196.66333,2230.96851,1
1197.60876,2338.377,1
1199.65076,2112.34961,1
1200.65759,2076.15,1
1201.40588,2328.452,1
1204.08594,2080.627,1
1204.09558,1906.58484,1
1205.48413,2431.6062,1
1206.51819,2132.3562,1
1208.41956,2238.15137,1
1209.00342,2344.808,1
1209.30859,2205.31152,1
1209.57288,2085.85376,1
1210.7262,1960.222,1
1211.30212,2269.00513,1
1211.605,2140.43018,1
1212.057,2280.53174,1
1212.74011,2305.85962,1
1213.36218,2143.04956,1
1214.06628,2287.87573,1
1214.12793,2200.00781,1
1214.15393,2211.191,1
1214.23157,2059.534,1
1216.41833,2287.29541,1
1216.625,2161.481,1
1216.63916,2193.74756,1
1217.36951,2115.10034,1
1218.51062,2207.8,1
1219.07385,2304.35352,1
1220.11792,2228.92456,1
1220.34082,2190.229,1
1220.54187,2249.15723,1
1221.06372,2112.80835,1
1221.08826,2327.56763,1
1221.37256,2214.287,1
1221.80359,2193.29883,1
1222.26086,2207.024,1
1223.14844,2314.09351,1
1223.32629,2358.07739,1
1223.416,2261.1936,1
1223.55066,2215.07568,1
1223.62024,2275.848,1
1223.96411,2027.33789,1
1224.13293,2300.56519,1
1224.22119,2202.642,1
1224.61572,2333.732,1
1225.48376,2253.17651,1
1225.87842,2250.4292,1
1226.05029,2222.35474,1
1226.05676,2082.26685,1
1226.6991,2188.646,1
1226.83887,2369.24023,1
1227.38123,2321.545,1
1227.44165,2249.419,1
1227.66711,2208.94873,1
1227.73181,2348.36572,1
1228.16479,2228.293,1
1228.56738,2127.504,1
1228.605,2053.898,1
1229.47168,2164.827,1
1229.52942,2287.51123,1
1229.88049,2268.49756,1
1230.12366,2341.63379,1
1231.31384,2271.43652,1
1231.44714,2205.47388,1
1231.73755,2322.61816,1
1232.11853,7496.04834,4
1232.49329,2366.24927,1
1232.55127,2245.34937,1
1232.65466,2206.507,1
1232.7373,2273.67944,1
1233.1134,2202.29443,1
1233.123,2286.0542,1
1233.28345,2378.84814,1
1233.28674,2109.05664,1
1233.408,2164.29443,1
1233.58313,2323.55615,1
1233.77979,2189.34839,1
1234.00281,2350.762,1
1234.06506,2278.035,1
1234.14575,2175.69824,1
1234.37061,2214.42871,1
1234.59167,2341.29639,1
1234.82385,2107.19922,1
1234.9696,2286.38062,1
1235.25354,2449.06836,1
1235.61072,2162.74414,1
1235.72119,2146.81641,1
1236.05225,2342.04785,1
1236.08,2218.18018,1
1236.53162,2259.3374,1
1236.80212,2315.32764,1
1236.85,2326.19385,1
1236.89978,2186.22168,1
1236.91541,2316.0686,1
1237.01331,2183.02856,1
1237.15125,2138.69482,1
1237.30054,2132.9292,1
1237.55737,2120.19775,1
1238.0022,2296.82886,1
1238.45325,2354.25757,1
1238.48914,2315.91479,1
1238.61621,2276.00757,1
1238.72,2162.776,1
1239.001,2289.548,1
1239.07617,2228.39966,1
1239.52368,2289.50244,1
1239.75635,2294.10425,1
1240.18665,2277.6123,1
1240.20374,2263.33228,1
1240.302,2239.04,1
1240.33215,2256.44946,1
1240.44507,2189.78955,1
1240.866,2196.59033,1
1241.421,2088.6748,1
1241.50525,2283.14868,1
1241.79309,2203.954,1
1241.805,2177.15454,1
1242.94312,2164.40137,1
1243.05261,2320.98828,1
1243.40259,2265.27759,1
1243.47375,2284.05615,1
1243.82092,2318.29541,1
1243.98608,2271.14551,1
1244.1217,2362.37231,1
1244.54175,2240.05713,1
1244.61292,2233.28613,1
1244.63623,2184.36743,1
1244.66321,2369.534,1
1245.356,2272.39648,1
