Ch1 Amplitude,Ch2 Amplitude,Cluster
300.116882,522.0246,1
1045.97339,1334.73279,1
1084.76318,1475.265,1
1094.69714,1649.79932,1
1098.05347,1494.4895,1
1134.54053,1825.91077,1
1137.82422,1894.656,1
1154.33923,1628.34949,1
1159.89331,1589.50891,1
1168.76892,1818.37683,1
1168.90466,1770.29407,1
1179.89441,1795.42261,1
1183.38965,1952.72217,1
1195.97852,1925.90881,1
1201.947,1652.087,1
1204.90308,1833.83887,1
1210.2915,1985.2196,1
1211.91235,1630.30811,1
1214.88013,1687.16357,1
1219.07666,1785.20642,1
1221.91309,1675.80859,1
1222.12219,1591.38672,1
1222.62927,1669.91956,1
1226.94043,1936.769,1
1229.6134,5193.2583,4
1230.52344,1856.26538,1
1231.16785,1738.753,1
1231.20508,2076.07837,1
1231.87537,1773.73474,1
1232.1178,1611.47266,1
1232.3656,2023.8905,1
1233.50854,1997.54138,1
1234.72778,1814.97815,1
1234.89783,1837.76013,1
1236.58691,1996.74609,1
1237.75012,1649.70972,1
1238.04578,1779.01331,1
1238.46912,2012.10974,1
1238.62537,1761.80627,1
1240.24512,1794.1,1
1240.80688,2061.90356,1
1241.79883,1886.008,1
1241.96741,1820.54065,1
1242.46362,1882.28967,1
1243.1272,1851.72058,1
1243.5094,1901.15552,1
1245.69824,1820.13208,1
1246.47888,2005.61646,1
1246.98315,1780.215,1
1247.99524,1812.10339,1
1248.786,1869.503,1
1251.49438,1678.36938,1
1251.93188,1906.99829,1
1253.22144,1890.28015,1
1253.46313,1990.21631,1
1254.0105,2041.83655,1
1254.1886,1908.85144,1
1255.88159,1934.78967,1
1256.05432,2033.28442,1
1256.22864,1876.89722,1
1256.2981,1780.58032,1
1256.72693,1786.465,1
1256.83276,1900.607,1
1257.28015,1885.41235,1
1257.42688,1948.6217,1
1258.91443,1980.60181,1
1259.10449,1871.5741,1
1259.16821,1829.584,1
1259.47827,1995.41541,1
1259.56335,1645.26135,1
1259.69458,1955.125,1
1259.69824,1900.4762,1
1260.75061,1833.87671,1
1260.928,1863.50977,1
1261.7583,1926.86218,1
1261.84131,1790.34412,1
1262.01355,1810.63733,1
1262.12451,1980.59045,1
1262.25256,1929.19275,1
1262.385,2048.24951,1
1262.40564,1793.41406,1
1262.52551,1956.13489,1
1262.56079,2024.99182,1
1263.07031,2011.59253,1
1263.13745,1911.94617,1
1263.40137,1822.136,1
1264.3418,1980.92517,1
1264.479,1913.54285,1
1264.54736,1762.22522,1
1265.02051,1995.83411,1
1265.22571,1947.05176,1
1265.31824,1749.72058,1
1265.64038,1870.1936,1
1266.59412,1867.95911,1
1266.69727,1734.129,1
1267.46094,1917.2937,1
1267.51062,1918.92468,1
1268.26672,1826.73352,1
1268.27344,2006.88269,1
1268.32813,1981.75781,1
1268.43481,1871.60242,1
1268.6427,1891.28577,1
1268.77649,1839.12061,1
1269.03247,1794.13257,1
1269.15356,2000.31226,1
1269.56116,1903.2782,1
1269.60168,1798.14648,1
1269.612,1849.789,1
1269.94824,1949.19128,1
1270.71887,1748.69934,1
1270.8689,1801.37878,1
1270.918,1927.60522,1
1271.103,1776.81165,1
1271.11377,1900.27258,1
1271.91968,1832.974,1
1272.075,1946.9165,1
1272.72119,1919.06067,1
1273.06848,1876.04041,1
1273.28491,1724.63037,1
1273.68152,1933.93188,1
1273.73,1957.79822,1
1274.00171,2025.0885,1
1274.52429,1936.84729,1
1274.58569,1935.54773,1
1274.62109,2056.72217,1
1275.07117,1859.17908,1
1275.29309,1940.488,1
1275.30566,1689.49512,1
1276.33118,1951.83472,1
1276.34485,1883.80347,1
1276.41724,1951.73438,1
1276.51807,1849.20837,1
1276.96887,1950.77148,1
1277.02063,1956.05542,1
1277.19507,1924.42651,1
1277.56116,1879.895,1
1277.62952,1954.16321,1
1277.735,1953.55225,1
1277.82507,1961.87744,1
1278.05164,1931.41772,1
1278.43713,1988.5199,1
1278.53992,1992.28882,1
1278.70972,1963.45593,1
1278.87341,1969.77417,1
1278.9375,1932.61731,1
1278.98413,1698.99719,1
1279.21167,1933.30908,1
1279.88123,1894.00671,1
1280.07178,1911.20654,1
1280.158,1984.03394,1
1280.43323,1924.45984,1
1280.44788,1930.74536,1
1280.84192,2074.95581,1
1281.29016,2109.56885,1
1281.58337,1970.32239,1
1281.73291,1826.4939,1
1282.17786,2067.8042,1
1282.18372,1927.57117,1
1282.229,1863.739,1
1282.561,1938.10364,1
1283.30237,1899.147,1
1283.3501,1950.03,1
1283.471,1997.60339,1
1283.51147,1923.695,1
1283.56909,2045.46484,1
1283.57739,1846.67444,1
1283.68909,2077.09766,1
1283.88257,1924.83887,1
1283.96411,1774.2207,1
1283.96509,1893.11267,1
1284.1261,2034.66125,1
1284.19727,1916.5863,1
1284.55127,1899.03394,1
1284.58325,1939.44531,1
1284.66846,1956.20056,1
1284.78625,1864.27441,1
1284.85083,1937.22375,1
1285.0083,1860.82117,1
1285.1394,1887.63965,1
1285.18677,2010.22986,1
1285.26331,1931.9707,1
1285.38171,1857.80994,1
1285.49561,1724.75928,1
1285.53284,1901.45337,1
1285.60974,1726.938,1
1285.663,1921.18494,1
1285.804,2057.9126,1
1285.87427,1832.31323,1
1286.03479,1963.826,1
1286.07458,1827.03748,1
1286.18237,1918.96863,1
1286.30664,1957.83936,1
1286.361,1951.38428,1
1286.50061,2011.60913,1
1286.86536,1890.18811,1
1286.89819,2025.29138,1
1286.9248,1812.49939,1
1286.93,1934.73621,1
1286.98376,2086.951,1
1287.00586,2008.886,1
1287.29028,1923.60461,1
1287.30652,1902.12573,1
1287.325,2058.35376,1
1287.6687,1802.03076,1
1287.832,1994.30322,1
1288.1095,1811.32678,1
1288.23511,1866.54089,1
1288.2511,1874.06421,1
1288.29382,2015.83386,1
1288.35974,2043.61108,1
1288.474,1744.31958,1
1288.65918,1783.92822,1
1288.87549,1925.607,1
1288.91162,1869.3302,1
1289,1957.01392,1
1289.05334,1977.38269,1
1289.08215,2004.25562,1
1289.17627,1893.31091,1
1289.28979,1775.4248,1
1289.43665,1902.50012,1
1289.62927,1733.31274,1
1289.63684,1910.07825,1
1289.79907,2078.769,1
1289.83472,1825.10339,1
1289.895,1893.114,1
1289.96118,1831.77454,1
1290.13538,1938.22717,1
1290.29382,1979.22058,1
1290.30322,1845.29224,1
1290.32678,1972.82446,1
1290.453,2072.876,1
1290.59265,1850.43127,1
1290.75769,2056.18872,1
1291.03674,1925.61865,1
1291.15991,1848.112,1
1291.27087,1920.05542,1
1291.65869,2036.60071,1
1291.75293,1823.6897,1
1292.02319,1967.42358,1
1292.03174,1961.32251,1
1292.09717,1942.37317,1
1292.11121,1849.93713,1
1292.15051,1958.76172,1
1292.18713,1920.5885,1
1292.18713,1889.73645,1
1292.36951,1860.86011,1
1292.41089,1937.70776,1
1292.54749,1753.02454,1
1292.73352,1949.44849,1
1292.83142,1822.97473,1
1292.90137,1979.01184,1
1293.04407,1911.79626,1
1293.06677,1966.81042,1
1293.27271,2009.47534,1
1293.4281,1911.3197,1
1293.476,1872.08447,1
1293.57324,1828.37476,1
1293.65149,1913.00061,1
1293.8396,1927.37,1
1294.02722,1842.81421,1
1294.1499,1941.23779,1
1294.26563,1898.86609,1
1294.302,1885.74927,1
1294.30469,2085.85474,1
1294.328,1977.43176,1
1294.36133,1954.39514,1
