Ch1 Amplitude,Ch2 Amplitude,Cluster
1071.5033,2180.44751,1
1087.085,2071.97827,1
1102.284,2053.53613,1
1127.09985,2057.12939,1
1142.56982,2091.039,1
1149.165,1957.90015,1
1152.98987,2226.22437,1
1158.89819,2415.98853,1
1161.22363,2214.65,1
1167.76123,2385.74731,1
1169.92944,2326.92554,1
1174.2251,1960.664,1
1175.66614,2272.12939,1
1177.10962,2250.173,1
1179.04675,2223.36084,1
1179.60669,2235.214,1
1180.30054,2266.2627,1
1182.49023,2069.30981,1
1182.64368,6234.681,4
1183.2915,2272.112,1
1183.49573,2271.90112,1
1184.66028,2109.05859,1
1185.95093,2311.94775,1
1186.22412,2260.84375,1
1186.78345,2255.941,1
1188.96472,2138.8623,1
1189.04089,2115.52563,1
1189.6676,2275.48169,1
1189.69666,2292.13232,1
1189.70837,2330.97754,1
1190.05237,2141.07886,1
1191.12524,2270.914,1
1191.74109,2303.0105,1
1192.248,2362.384,1
1192.47827,2264.91772,1
1193.08142,2215.604,1
1195.7478,2310.185,1
1196.33618,2253.93262,1
1196.86267,2201.62744,1
1197.80493,2181.85571,1
1197.90955,2239.80322,1
1197.95288,2249.19849,1
1198.38342,2166.59961,1
1198.92932,2207.9187,1
1199.284,2198.7522,1
1199.44116,2283.33643,1
1201.55322,2234.732,1
1201.88135,2302.18,1
1202.47,2156.696,1
1202.55566,2249.03052,1
1202.85229,2195.64185,1
1203.2312,2139.82,1
1203.606,2181.09546,1
1203.94629,2219.978,1
1204.25061,2280.413,1
1204.25171,2135.07861,1
1204.32275,2250.15479,1
1204.81628,2122.09668,1
1204.839,2157.89478,1
1204.9884,2240.24023,1
1205.00549,2233.06177,1
1205.02881,2148.54834,1
1205.07031,2254.69043,1
1205.08411,2318.28662,1
1205.21423,2121.09717,1
1205.4408,2161.3728,1
1205.828,2336.96558,1
1206.16406,2094.12744,1
1207.18018,2325.375,1
1207.26074,2272.66724,1
1207.33081,2210.55566,1
1208.08215,2191.72632,1
1208.542,2415.41016,1
1208.78711,2189.00977,1
1208.909,2136.07666,1
1208.93481,2208.67554,1
1208.9812,2147.0188,1
1209.02893,2206.96582,1
1209.179,2035.10815,1
1209.31091,2320.07349,1
1209.32886,2143.31177,1
1209.6925,2208.03955,1
1209.69836,2255.702,1
1210.16785,2189.21582,1
1210.45068,2071.55249,1
1210.50488,2267.55737,1
1210.597,2295.49463,1
1210.69653,2110.41,1
1210.78247,2254.74829,1
1211.133,2248.04,1
1211.36157,2352.23315,1
1211.75146,2273.0293,1
1212.29468,2287.90454,1
1212.319,2149.94141,1
1212.65881,2298.43823,1
1212.83972,2310.47632,1
1212.87256,2266.932,1
1213.00818,2178.84546,1
1213.09766,2230.0835,1
1213.13281,2072.85083,1
1213.201,2183.53955,1
1213.26721,2362.979,1
1213.29407,2226.03564,1
1213.3606,2185.961,1
1213.4,2218.51074,1
1213.528,2301.35815,1
1213.57739,2159.97461,1
1213.70056,2285.762,1
1213.91211,2058.81763,1
1214.05371,2196.69287,1
1214.12549,2335.84937,1
1214.22253,2177.683,1
1214.256,2404.254,1
1214.49817,2137.92969,1
1214.54346,2311.55762,1
1214.65747,2257.72925,1
1214.73621,2187.922,1
1214.7677,2189.05737,1
1214.817,2209.14136,1
1215.137,2261.60059,1
1215.14209,2145.84375,1
1215.22778,2179.13916,1
1215.3667,2251.282,1
1215.60767,2265.916,1
1215.7,2265.382,1
1215.737,2285.02783,1
1215.93481,2287.95459,1
1216.10315,2191.92871,1
1216.29041,2225.791,1
1216.7832,2222.35913,1
1216.8,2353.16919,1
1217.07593,2216.0686,1
1217.10425,2304.792,1
1217.26038,2059.22827,1
1217.42224,2253.96313,1
1217.72485,2130.21167,1
1217.81787,2367.58472,1
1217.85,2113.86865,1
1217.915,2155.43872,1
1218.21265,2318.35034,1
1218.36169,2174.184,1
1218.66724,2218.45947,1
1218.75623,2170.19263,1
1219.32,2241.34985,1
1219.50916,2207.83569,1
1219.70959,2105.148,1
1219.79443,2233.1604,1
1219.82263,2297.95825,1
1219.98816,2291.855,1
1220.0354,2165.65723,1
1220.31091,2177.34766,1
1220.42908,2276.1228,1
1220.55652,2074.43652,1
1220.64685,2271.15283,1
1220.86719,2218.93042,1
1220.88159,2213.563,1
1220.93,2212.72144,1
1221.04761,2320.93359,1
1221.2887,2311.644,1
1221.7074,2303.712,1
1221.8595,2253.78882,1
1221.97131,2322.44165,1
1222.10486,2371.12817,1
1222.13232,2217.71265,1
1222.16443,2287.17822,1
1222.1875,2283.44458,1
1222.26917,2226.48315,1
1222.36548,2184.74756,1
1222.38257,2294.615,1
1222.53381,2084.47559,1
1222.54919,2329.716,1
1222.6,2150.99023,1
1222.73059,2299.24243,1
1222.74585,2196.28833,1
1223.05469,2010.134,1
1223.28906,2203.55615,1
1223.453,2168.661,1
1223.62134,2153.05371,1
1223.99146,2148.19629,1
1224.07813,2233.31665,1
1224.11438,2313.27856,1
1224.16882,2175.641,1
1224.19775,2172.42822,1
1224.33386,2277.267,1
1224.44629,2170.64038,1
1224.66284,2196.70264,1
1224.69873,2267.626,1
1224.77576,2126.64648,1
1224.82349,2144.21118,1
1224.93115,2124.38843,1
1224.99084,2174.45313,1
1225.14063,2170.58081,1
1225.23572,2138.4353,1
1225.28564,2301.75415,1
1225.415,2194.225,1
1225.43774,2080.33887,1
1225.59351,2296.27319,1
1225.615,2189.17969,1
1225.78845,2138.824,1
1225.96985,2226.29639,1
1225.99744,2273.54785,1
1226.042,2257.517,1
1226.15137,2318.20435,1
1226.202,2266.393,1
1226.23535,2269.4563,1
1226.4613,2152.586,1
1226.565,2320.45215,1
1226.75085,2215.507,1
1227.00317,2247.557,1
1227.05054,2243.82153,1
1227.21179,2207.82715,1
1227.62183,2201.0542,1
1227.69067,2262.57617,1
1227.70935,2072.02637,1
1227.75085,2426.58057,1
1227.79749,2186.05225,1
1227.81567,2234.79175,1
1227.82361,2226.71362,1
1227.94678,2171.82764,1
1228.37207,2078.94043,1
1228.39648,2067.58545,1
1228.64441,2296.2832,1
1228.73218,2140.38135,1
1228.749,2396.60571,1
1228.76,2114.606,1
1228.81384,2163.59424,1
1228.8905,2103.79956,1
1228.99768,2160.38184,1
1229.00513,2231.761,1
1229.19385,2297.058,1
1229.21619,2067.34082,1
1229.3103,2232.843,1
1229.61633,2292.97363,1
1229.6217,2321.75244,1
1229.666,2186.42114,1
1229.805,2154.92,1
1229.8761,2201.74072,1
1230.09521,2172.41846,1
1230.19019,2197.99951,1
