Ch1 Amplitude,Ch2 Amplitude,Cluster
1112.7019,1736.02747,1
1145.95337,1880.29224,1
1146.50623,1870.47986,1
1147.397,1689.34033,1
1151.39856,1588.43848,1
1155.52759,1959.62268,1
1164.43335,1538.66541,1
1164.567,1782.54871,1
1167.12,1857.65991,1
1168.19958,1670.92993,1
1175.14172,1740.5498,1
1175.60388,1884.83423,1
1176.72778,1828.36523,1
1177.49072,1831.71,1
1184.92542,1684.84436,1
1188.82275,1693.36707,1
1195.29517,1850.12378,1
1196.42615,1775.46948,1
1199.33093,1830.65747,1
1204.08386,1872.46765,1
1205.76892,1840.98474,1
1210.42749,1986.228,1
1212.32227,1733.277,1
1216.25378,1866.06238,1
1218.684,1828.45618,1
1221.22534,1635.70056,1
1224.32275,1714.518,1
1226.567,1531.76782,1
1229.78284,1817.95728,1
1231.05212,2027.77307,1
1232.92,1877.63855,1
1233.13086,1917.27759,1
1234.73181,1889.526,1
1235.151,1786.128,1
1235.502,1734.03589,1
1235.64844,1829.42053,1
1237.46167,1816.81189,1
1241.97131,2164.15137,1
1242.29163,1861.85022,1
1242.74365,1909.65857,1
1246.662,1917.17407,1
1248.53748,1905.42688,1
1248.574,1919.21082,1
1248.60168,1936.24524,1
1248.74573,1854.97437,1
1248.879,1876.15491,1
1249.25769,1824.4093,1
1251.38721,1852.163,1
1253.50708,1700.77759,1
1253.511,1981.318,1
1255.12463,1972.00989,1
1255.904,1888.52869,1
1256.93738,1941.016,1
1257.07764,1792.89221,1
1258.92,1871.28735,1
1259.35132,1759.66467,1
1260.93921,1920.812,1
1261.968,1972.28052,1
1262.29077,1827.92871,1
1262.56128,1962.24426,1
1263.18384,1896.12488,1
1263.19946,1842.584,1
1263.28625,1824.72046,1
1263.32922,1843.151,1
1264.89539,1977.25488,1
1265.88953,1698.57043,1
1266.72986,1810.07727,1
1267.16174,1744.04773,1
1267.38147,1704.57227,1
1267.88745,1960.83423,1
1268.42688,1792.05078,1
1269.31726,1909.524,1
1269.61707,1884.582,1
1271.01,1859.56763,1
1271.58289,1806.25708,1
1271.66077,1816.32373,1
1272.42871,1944.75879,1
1272.6084,1939.0647,1
1272.73267,1847.86328,1
1273.72217,1877.79,1
1274.002,1899.88074,1
1274.368,1713.35681,1
1274.6499,1830.1748,1
1274.9635,1901.97864,1
1275.19263,1951.55664,1
1275.28064,1775.70947,1
1275.83264,1896.79,1
1276.45813,1849.21521,1
1276.895,1949.56812,1
1276.92615,1819.38843,1
1277.12585,1912.34106,1
1277.59546,1923.99658,1
1278.16443,2046.98462,1
1278.5542,1730.379,1
1278.62219,1940.28967,1
1279.243,1960.2561,1
1279.4397,1745.25879,1
1279.58472,1846.88806,1
1279.58911,1785.36475,1
1279.64355,1877.28174,1
1279.786,1947.74829,1
1279.90222,1888.52576,1
1280.099,1678.33325,1
1280.18,1876.91821,1
1280.19055,1964.94531,1
1280.79785,1570.06567,1
1281.07129,1966.49036,1
