Ch1 Amplitude,Ch2 Amplitude,Cluster
977.732849,1760.411,1
1053.51575,5638.77539,4
1087.99536,1667.93958,1
1093.329,2265.05469,1
1095.5343,5150.015,4
1121.90967,2210.318,1
1125.56592,2184.963,1
1139.63708,2224.702,1
1141.42957,1908.97644,1
1167.35278,2234.844,1
1169.16687,2148.15015,1
1176.90308,2087.33154,1
1180.56506,2248.23682,1
1181.84241,2120.26563,1
1182.65662,2172.82153,1
1185.33313,6174.21729,4
1186.31909,2073.2002,1
1188.218,2404.1875,1
1188.66052,2189.34277,1
1189.19775,2218.828,1
1191.65857,2245.9187,1
1191.9386,2229.43335,1
1191.984,2031.84863,1
1193.07117,2306.60815,1
1193.65247,2268.10059,1
1194.22986,2225.789,1
1198.08569,2025.99866,1
1198.69531,2323.05786,1
1198.84424,2202.09277,1
1200.56628,2132.0437,1
1202.42212,2201.10718,1
1202.61658,2372.15112,1
1202.84717,2221.263,1
1204.36731,2206.87964,1
1204.89966,6683.104,4
1205.70374,2200.34473,1
1205.82666,2208.68774,1
1205.85522,2247.18164,1
1206.5968,2348.17651,1
1206.80713,2203.77075,1
1207.08765,2207.80444,1
1207.24011,2202.04639,1
1207.51709,2101.70776,1
1207.83228,2301.55542,1
1209.15027,2283.90137,1
1211.76111,2309.96436,1
1211.83252,2279.915,1
1212.4093,2204.15186,1
1212.92554,2165.92871,1
1212.942,2182.99854,1
1213.4917,2237.39429,1
1213.59485,2166.093,1
1214.65186,2064.2124,1
1215.76917,2258.28662,1
1217.5415,2297.65771,1
1217.76807,2335.30737,1
1218.67725,2324.07715,1
1219.03735,2215.54321,1
1219.103,2287.52637,1
1219.40125,2324.51587,1
1219.52332,2320.18555,1
1219.5282,2304.09814,1
1219.6582,2259.60425,1
1220.14514,2227.80859,1
1220.52271,2278.576,1
1220.58362,2201.06055,1
1220.618,2233.49854,1
1220.77991,2248.848,1
1220.78821,2197.9082,1
1220.88367,2255.61133,1
1221.22839,2257.28442,1
1222.09448,2223.89233,1
1222.24341,2221.99634,1
1223.19336,2211.66284,1
1223.50769,2239.71924,1
1223.51392,2186.96167,1
1223.56567,2127.535,1
1224.20422,2215.44556,1
1224.58508,2245.81519,1
1225.19141,2275.88,1
1225.30017,2255.40576,1
1225.38171,2270.20825,1
1225.92566,2257.76563,1
1226.09924,2302.222,1
1226.54651,2160.75122,1
1226.62842,2252.767,1
1226.8208,2265.40454,1
1226.8634,2264.248,1
1227.7478,2311.91528,1
1227.77051,2251.11914,1
1227.77942,2382.554,1
1227.863,2297.2478,1
1228.67407,2062.87622,1
1229.10034,2298.278,1
1229.73438,2171.891,1
1229.76343,2287.86646,1
1230.24268,2243.51343,1
1230.28369,2321.40039,1
1230.80469,2214.782,1
1230.93274,2226.74634,1
1231.27588,2217.984,1
1231.2771,2298.24048,1
1231.281,2274.29736,1
1231.36841,2184.60474,1
1231.497,2140.00732,1
1231.58447,2482.19556,1
1231.778,2183.956,1
1231.864,2117.04761,1
1231.938,2269.26416,1
1232.08093,2333.59253,1
1232.28455,2297.341,1
1232.53333,2304.01538,1
1232.87463,2198.12329,1
1233.021,2267.94385,1
1233.37158,2243.71,1
1233.72241,2413.14355,1
1233.7865,2255.85938,1
1233.82788,2203.117,1
1233.92,2312.71069,1
1233.98132,2229.99048,1
1234.34375,2231.408,1
1234.34717,2309.65,1
1234.356,2274.11841,1
1234.628,2224.70923,1
1234.7793,2321.35645,1
1234.881,2124.64941,1
1234.95,2368.4895,1
1235.26111,2209.587,1
1235.43347,2183.23535,1
1235.71338,2321.10938,1
1236.10876,2212.97388,1
1236.30823,2247.08936,1
1236.36536,2299.05176,1
1236.583,8281.077,4
1236.606,2135.27148,1
1236.66064,2236.90771,1
1236.94141,2254.43774,1
1237.01208,7481.51025,4
1237.30945,2245.19019,1
1237.33228,2121.017,1
1237.39453,2187.9563,1
1237.43164,2290.031,1
1237.93323,2202.08545,1
1238.39355,2341.19434,1
1238.519,2170.29614,1
1238.64893,2286.48071,1
1239.04333,2158.39771,1
1239.05286,2206.68628,1
1239.14417,2205.34326,1
1239.1543,2143.42578,1
1239.25818,2218.2915,1
1240.108,2206.60962,1
1240.17847,2230.62085,1
1240.24817,2157.054,1
1240.51758,2112.61353,1
1240.62146,2240.96655,1
1241.0686,2204.16382,1
1241.0863,2228.051,1
1241.3158,2259.84082,1
1241.50891,2275.47949,1
1241.54272,2219.18042,1
