Ch1 Amplitude,Ch2 Amplitude,Cluster
706.2268,1246.41516,1
717.149963,1194.963,1
722.342651,1294.49463,1
883.844849,1642.23315,1
892.3409,1525.11011,1
898.559265,1717.28687,1
912.513062,1636.40527,1
943.341858,1606.66809,1
948.726868,1646.03381,1
966.0592,1710.81274,1
972.862854,1748.16492,1
977.9098,1676.49817,1
985.652039,1684.74927,1
997.576,1555.57971,1
1001.65057,1637.72424,1
1005.65015,1622.20056,1
1012.09595,1613.12366,1
1018.21338,1654.808,1
1032.72119,1845.88916,1
1050.97351,2014.69666,1
1052.94458,1768.14539,1
1055.45935,1807.25879,1
1069.30786,1705.41211,1
1073.15588,1777.46912,1
1079.12341,1793.09448,1
1082.53943,1847.18652,1
1082.7926,1901.0293,1
1084.471,1949.6897,1
1098.80615,2047.63745,1
1099.01514,1843.12109,1
1106.00293,1891.39209,1
1109.35791,2038.1488,1
1111.11755,2111.72974,1
1119.30176,2120.206,1
1119.422,1977.15063,1
1134.23291,2018.88989,1
1140.73486,2050.343,1
1140.84045,2145.70142,1
1140.91492,2095.563,1
1144.51038,2086.47974,1
1146.9458,2190.90381,1
1147.09619,2113.23682,1
1150.72351,1968.37024,1
1152.32886,1949.85522,1
1159.8811,1882.16345,1
1162.42871,1900.014,1
1166.00366,1994.541,1
1166.96851,1798.47473,1
1167.55969,1873.19214,1
1168.49878,2246.12769,1
1171.40967,2341.93457,1
1172.56018,2259.75952,1
1176.00085,2206.08984,1
1176.03979,1910.37659,1
1176.38477,2142.2876,1
1177.4989,2226.17,1
1178.89709,2159.591,1
1180.84619,2233.43823,1
1181.80945,1917.52039,1
1181.94763,2179.17847,1
1182.29541,2197.40186,1
1183.91187,2267.97021,1
1184.51733,2025.94629,1
1185.49182,2201.955,1
1185.81836,1938.13318,1
1186.21033,2059.52734,1
1188.37146,2286.46924,1
1188.847,1981.61572,1
1189.86523,1911.595,1
1192.19653,1922.57324,1
1192.44519,2052.03784,1
1195.677,1985.62134,1
1198.44434,2269.08618,1
1198.478,2342.05029,1
1200.20715,2179.482,1
1200.21509,2015.2229,1
1203.39771,2052.22266,1
1206.65833,2241.50684,1
1207.69849,2191.60425,1
1209.01624,2082.883,1
1209.65955,2157.12671,1
1213.89417,2109.0564,1
1214.65869,2231.00024,1
1214.75073,2133.29932,1
1216.25061,2162.94141,1
1216.39673,2119.73657,1
1217.06433,2158.55054,1
1217.07886,2204.128,1
1217.14,1852.001,1
1217.49011,2128.72583,1
1217.56726,2242.11035,1
1219.40186,2208.72852,1
