Ch1 Amplitude,Ch2 Amplitude,Cluster
266.930145,622.757446,1
358.6591,523.9583,1
725.3581,1365.44128,1
746.7622,1187.52271,1
884.6843,1588.16858,1
890.5034,1722.82117,1
909.0004,1711.988,1
935.3712,1729.86841,1
936.5997,1722.36462,1
962.5048,1582.60071,1
967.713745,1508.31555,1
973.167053,1689.9939,1
1013.41577,1807.62927,1
1019.5061,1695.10583,1
1034.96167,2008.17493,1
1054.20093,2134.65747,1
1055.33337,1733.6156,1
1055.913,1747.53528,1
1062.33447,6197.38232,4
1062.37939,1830.76526,1
1081.04871,2017.85559,1
1081.33862,2240.39014,1
1084.21741,1947.48938,1
1088.1405,1906.90356,1
1101.36292,2004.3833,1
1106.64209,1978.2334,1
1108.3125,1886.8241,1
1109.34192,1734.78784,1
1112.35278,7283.007,4
1113.253,2014.61572,1
1120.9187,2164.28174,1
1121.39124,1888.05322,1
1121.67773,2034.49011,1
1122.57556,1901.05737,1
1123.69592,2114.10352,1
1123.89941,2054.154,1
1125.90149,1782.37354,1
1128.40076,2066.188,1
1129.01746,1945.26233,1
1131.04919,2040.94116,1
1131.41577,2222.035,1
1131.91687,2038.56226,1
1133.60034,2193.49072,1
1138.59082,1951.41919,1
1139.148,1886.55652,1
1144.9104,2158.429,1
1146.64551,1959.62585,1
1148.4491,2147.416,1
1150.89246,1956.998,1
1151.86621,2040.82825,1
1152.28613,1719.65125,1
1153.179,2099.97681,1
1153.65833,1953.23462,1
1154.38635,1897.28223,1
1154.63684,2043.8623,1
1155.05872,2180.30737,1
1157.86658,2240.34033,1
1158.31226,2189.667,1
1158.757,2036.74548,1
1160.31763,2192.73828,1
1160.64819,1907.30493,1
1161.647,2198.39453,1
1163.2229,2107.86035,1
1165.98767,2235.80518,1
1167.10571,2129.51782,1
1167.68,1696.045,1
1167.73547,1974.90076,1
1169.24146,2113.44214,1
1170.0426,2133.35718,1
1170.1665,2070.475,1
1173.67041,2159.637,1
1173.953,2123.31958,1
1174.24915,2042.41589,1
1174.41553,2023.3457,1
1175.54211,2226.331,1
1175.838,2091.958,1
1175.91052,2116.333,1
1176.13025,2222.10474,1
1176.75464,2197.84839,1
1177.892,2168.19629,1
1178.12268,2046.42627,1
1178.31738,2116.86426,1
1180.03735,2015.977,1
1180.65222,2196.17334,1
1180.92578,2067.87134,1
1180.97327,2188.40283,1
1181.29431,2177.181,1
1181.3114,2287.88672,1
1181.91553,2053.892,1
1182.26868,2048.528,1
1182.3114,2066.4397,1
1183.76831,2350.47388,1
1183.99707,6981.75439,4
1184.4895,2187.432,1
1186.01367,2316.96045,1
1186.35181,2202.45825,1
1186.50171,2332.56738,1
1186.53992,2169.576,1
1187.80981,2275.7356,1
1187.88025,7389.43262,4
1188.81262,2102.58545,1
1188.85168,2166.2627,1
1189.02039,2243.849,1
1190.25354,2388.62,1
1190.89514,2218.77417,1
1190.94348,2135.65527,1
1191.01062,2212.7207,1
1191.574,2123.336,1
1191.71313,1976.05762,1
1192.14685,2044.68726,1
1192.1532,2129.10449,1
1192.17151,2199.0686,1
1192.45728,2125.45044,1
1192.46924,2141.98267,1
1192.6217,2080.10254,1
1193.57507,1865.56116,1
1193.82727,2393.02026,1
1193.93665,2183.75513,1
1194.0979,2200.07471,1
1195.12915,2141.70215,1
1195.42639,1986.8772,1
1195.49756,2190.836,1
1195.75146,2273.58569,1
1195.885,2167.78882,1
1196.2915,2117.33057,1
1196.61243,2175.78247,1
1196.67468,2211.3147,1
1197.1427,2131.22852,1
1197.24377,2250.671,1
1197.888,2180.6167,1
1198.05347,2045.97644,1
1199.20032,1845.20227,1
1199.79065,2200.83667,1
1199.83789,2053.35815,1
1200.16309,2112.237,1
1200.36841,2130.69922,1
1200.662,2223.64,1
1200.97144,1916.29944,1
1201.577,2044.174,1
1201.691,2010.69336,1
1201.87268,2102.07837,1
1202.34839,2148.10132,1
1202.53491,2174.70825,1
1202.90137,2122.065,1
1202.90564,2265.8894,1
1203.20422,2240.306,1
1203.7406,2246.57666,1
1203.75061,2159.40527,1
1204.31116,2197.4248,1
1204.73584,2172.2876,1
1205.05237,2081.165,1
1205.12683,5103.023,4
1205.20581,2135.45044,1
1205.39941,2162.51318,1
1205.61621,2226.397,1
1205.6405,2284.23438,1
1205.94934,2309.49634,1
1205.95117,2067.33472,1
1206.21082,2394.86719,1
1206.31628,2122.10449,1
1206.43481,2334.994,1
1206.53235,2187.88647,1
1206.66248,2246.86816,1
1206.75684,7604.301,4
1207.18237,2249.95654,1
1207.24182,2152.00464,1
1207.45166,2198.707,1
1207.48047,2253.112,1
1207.67676,2048.29858,1
1207.71851,2033.01233,1
1207.77417,2091.08643,1
1207.9281,1929.7312,1
1208.1864,2071.76953,1
1208.27856,2161.489,1
1208.29749,2213.16431,1
1208.38269,2204.4292,1
1208.38831,2267.295,1
1208.42419,2238.25635,1
1208.54,2279.496,1
1208.713,2369.11279,1
1208.73218,2123.20483,1
1209.03552,2131.132,1
1209.05542,2061.10059,1
1209.06042,2274.50781,1
1209.06323,2408.68628,1
1209.27625,2296.192,1
1209.30994,2245.84131,1
1209.52734,2044.2843,1
1209.59424,2052.21118,1
1209.90527,2293.11328,1
1210.18164,2096.72974,1
1210.33276,6806.308,4
1210.50818,2217.425,1
1210.68384,2194.75,1
1210.69885,2226.6582,1
1210.701,2169.246,1
1210.82971,2069.02637,1
1210.94824,2326.88037,1
1211.11475,2114.682,1
1211.47021,2093.97461,1
1211.773,2184.25024,1
1212.272,2254.78345,1
1212.68665,2260.19385,1
1212.71936,1888.2019,1
1212.866,2280.48853,1
1213.07727,2032.44324,1
1213.25488,2189.53076,1
1213.28784,2168.65771,1
1213.37756,2210.85059,1
1213.40454,2059.55176,1
1213.68042,2075.79785,1
1213.79126,2055.918,1
1213.88574,2204.581,1
1214.03381,2120.856,1
1214.045,2152.14575,1
1214.14868,2099.538,1
1214.262,2078.137,1
1214.326,2121.477,1
1214.47571,2210.645,1
1214.49023,2110.183,1
1214.60986,2257.483,1
1214.82288,2256.79614,1
1214.98364,1858.81067,1
1215.131,2279.87842,1
1215.42786,2147.09937,1
1215.48669,7859.90332,4
1215.487,2224.0144,1
1215.527,2253.65674,1
1215.60352,2202.744,1
1215.66492,2161.006,1
1215.78381,2170.432,1
1215.94238,2170.27759,1
1216.01208,2242.691,1
1216.37317,2091.08032,1
1216.57788,2001.97156,1
1216.67822,2195.92261,1
1216.83252,2049.94531,1
1217.0636,2075.40576,1
1217.20483,2219.39746,1
1217.26965,2151.607,1
1217.29053,2116.703,1
1217.30676,2108.7605,1
1217.37854,2264.867,1
1217.41089,2153.38867,1
1217.60718,2191.78833,1
1217.6145,2201.82935,1
1217.807,2223.28345,1
1217.86243,2122.88,1
1218.04285,2082.30078,1
1218.071,2089.04858,1
1218.2334,2054.46875,1
1218.29028,2288.42578,1
1218.33472,2264.20581,1
1218.35364,2099.155,1
1218.35681,2235.146,1
1218.38989,2192.848,1
