Ch1 Amplitude,Ch2 Amplitude,Cluster
914.919556,1405.8844,1
967.203247,1414.80615,1
986.5586,1337.2821,1
1015.7442,1596.79346,1
1024.74951,1273.73364,1
1035.72986,1620.71118,1
1061.84863,1525.27393,1
1069.30347,1741.11877,1
1071.262,1499.63428,1
1072.2915,1489.61414,1
1079.58618,1440.26746,1
1080.20166,1504.35168,1
1088.25427,1548.94214,1
1089.29944,1301.22766,1
1091.94373,1509.84949,1
1093.00452,1564.25586,1
1098.61609,1557.3988,1
1105.04883,1746.42,1
1109.53625,1568.42358,1
1123.31982,1610.515,1
1127.01746,1577.713,1
1130.87427,1727.68945,1
1131.29065,1742.69458,1
1133.88708,1620.101,1
1137.87341,1713.44727,1
1142.14966,1632.6095,1
1143.11267,1532.04529,1
1152.70642,1590.36719,1
1153.28979,1611.55859,1
1153.337,1542.52625,1
1155.14209,1809.35486,1
1155.57642,1682.3,1
1156.68774,1626.89856,1
1159.08875,1548.06335,1
1161.7157,1577.91528,1
1164.31775,1518.11072,1
1168.34937,1724.39087,1
1171.77722,1834.43884,1
1172.42664,1668.02832,1
1172.79517,1731.00134,1
1172.94568,1654.22852,1
1172.94885,1601.12842,1
1174.86438,1732.36462,1
1176.33984,1602.47827,1
1177.902,1786.563,1
1180.3512,1640.33374,1
1180.494,1765.0304,1
1182.125,1738.77808,1
1183.1792,1729.23608,1
1183.37085,1851.17114,1
1185.08472,5075.342,4
1185.0968,1825.62268,1
1185.62659,1731.3335,1
1185.90527,1652.32434,1
1188.36914,1781.024,1
1192.011,1806.88318,1
1192.25024,1715.653,1
1192.60938,1677.64026,1
1194.81409,1726.545,1
1196.83167,1712.29431,1
1197.38428,1465.8645,1
1199.36633,1509.48291,1
1199.59656,1807.3717,1
1200.02356,1854.91357,1
1200.80676,1577.64331,1
1201.60657,1947.68591,1
1202.21191,1842.34106,1
1204.89038,1688.88342,1
1207.218,1738.6084,1
1211.4624,1600.59937,1
1213.66992,1690.51172,1
1214.25476,1762.40649,1
1217.289,1692.38782,1
1217.40613,1721.57947,1
1217.559,1738.21094,1
1218.08972,1769.66711,1
1218.89648,1761.35962,1
1219.67493,1938.85254,1
1220.241,1947.19238,1
1220.26282,1815.499,1
1220.75159,1750.07214,1
1220.841,1877.61609,1
1220.95581,1672.19031,1
1221.02563,1749.38293,1
1222.0166,1587.3,1
1222.43445,1878.57654,1
1223.91858,1688.339,1
