Ch1 Amplitude,Ch2 Amplitude,Cluster
386.9141,2434.92554,1
690.930847,1310.64966,1
780.83,4477.99854,1
801.895,1419.125,1
976.2992,1638.09985,1
986.0991,1915.87756,1
1007.83514,1692.0675,1
1010.49561,1771.3905,1
1014.88861,1728.28345,1
1016.78986,1841.302,1
1040.10815,1853.68726,1
1045.6134,1900.58862,1
1070.00244,1762.35583,1
1077.92041,2085.3374,1
1087.4281,1814.27625,1
1101.46252,1980.39014,1
1108.16467,1910.294,1
1108.846,1888.51135,1
1126.22083,1830.62109,1
1127.57825,1947.77881,1
1128.66125,1983.15649,1
1130.25085,1858.08911,1
1132.07141,1890.84033,1
1136.15271,2005.71277,1
1138.02136,1830.33545,1
1139.02332,1920.8949,1
1140.59656,2248.153,1
1145.17712,1998.972,1
1146.50793,2144.42749,1
1147.06018,1946.83911,1
1152.05261,2137.73169,1
1159.49182,2003.519,1
1160.18347,1926.92456,1
1164.52441,2140.84375,1
1166.51318,2112.388,1
1167.183,2050.84863,1
1173.78149,1942.85876,1
1176.49634,2107.10229,1
1177.62256,2200.0813,1
1178.053,2460.759,1
1188.92017,6897.08154,4
1192.3457,2092.36621,1
1194.28931,2273.18823,1
1195.34668,2258.033,1
1195.7218,2047.95569,1
1197.127,2165.37939,1
1197.57227,2272.18945,1
1199.49536,2122.10815,1
1200.061,1982.51624,1
1200.38428,1850.17285,1
1200.57678,2085.20166,1
1202.0437,2035.88232,1
1202.074,2212.21753,1
1202.4187,2289.58032,1
1203.18762,2031.56079,1
1204.5957,2230.7312,1
1204.80249,2140.488,1
1206.17322,2307.13672,1
1206.5675,2184.52783,1
1206.9032,2394.34326,1
1208.01086,2149.83,1
1209.37317,2104.74854,1
1209.52686,2283.83887,1
1209.80859,2022.33594,1
1210.37183,2159.24072,1
1212.24463,2226.67456,1
1213.536,2389.21143,1
1214.4895,2137.544,1
1214.87915,2154.76685,1
1215.40051,2263.91333,1
1216.15149,2203.63452,1
1216.58521,2260.76221,1
1216.93433,2306.72046,1
1217.03418,2142.29175,1
1217.49536,2220.628,1
1217.55847,2294.07959,1
1217.5636,2054.14551,1
1217.9812,5919.99,4
1218.00232,2143.85718,1
1218.27417,2334.146,1
1218.51831,2129.69116,1
1218.91724,2289.664,1
1219.93835,2333.01514,1
1220.27173,2232.12939,1
1222.82837,2080.9458,1
1223.06482,2198.21729,1
1223.143,2332.85132,1
1223.387,1946.007,1
1223.58557,2284.903,1
1223.58679,2245.28027,1
1224.52917,2214.83179,1
1225.6416,2314.88062,1
1226.083,2225.2627,1
1226.16772,1949.677,1
1226.36975,2155.856,1
1226.97986,2014.65466,1
1227.57874,2245.995,1
1227.98547,2250.69019,1
1228.02429,2168.60327,1
1228.05518,2059.76587,1
1228.17419,2084.50342,1
1228.51123,2189.6897,1
1228.555,2218.96436,1
1229.24121,2324.8855,1
1229.70959,2075.29077,1
1230.01917,2315.97461,1
1230.22913,2135.9812,1
1230.36523,2023.26257,1
1230.38733,2199.87476,1
1230.47949,2224.4,1
1230.54785,1970.50525,1
1230.57727,2185.49658,1
1231.711,2230.96826,1
1231.73816,2227.24023,1
1231.801,2322.37476,1
1232.21277,2175.71387,1
1232.54041,2209.30884,1
1232.69934,2198.43823,1
1232.73669,2135.517,1
1233.55322,2206.33618,1
1233.801,2302.956,1
1233.93188,2161.75977,1
1233.96436,2205.55737,1
1234.27393,2127.18823,1
1234.50073,2192.4668,1
1234.62854,2379.11987,1
1234.70569,2260.91064,1
1234.75562,2146.22559,1
1234.80969,2177.566,1
1234.88159,2207.988,1
1234.894,2316.5293,1
1234.903,2335.31641,1
1234.92932,1984.03357,1
1235.11389,2206.80054,1
1235.13367,2177.27075,1
1235.37048,2368.536,1
1235.38281,2218.18848,1
1235.63916,2209.99634,1
1236.0802,2308.64575,1
1236.13782,2087.06885,1
1236.19092,2403.92944,1
1236.345,2261.22485,1
1236.4469,2311.7356,1
1236.48438,2292.98,1
1236.84546,2168.97119,1
1237.0011,2216.87524,1
1237.10376,2355.40234,1
1237.41675,2134.54541,1
1237.51392,2241.28247,1
1237.75818,2212.46387,1
1237.75977,2121.02246,1
1238.01453,2155.44824,1
1238.03833,2154.48242,1
1238.08716,2347.075,1
1238.50928,1954.27917,1
1238.77551,2338.673,1
1238.88538,2399.075,1
1238.89368,2102.06641,1
1238.90051,2275.956,1
1238.9491,2374.94971,1
1239.29431,2232.699,1
1239.4137,2236.98462,1
1239.50647,2145.59985,1
1239.757,2258.19458,1
1239.87524,2280.07837,1
1239.905,2168.8894,1
1240.11194,2255.832,1
1240.23486,2166.403,1
1240.41785,2199.513,1
1240.61755,2155.61987,1
1241.005,2391.36255,1
1241.051,2216.42261,1
1241.20129,2079.338,1
1241.23718,2251.503,1
1241.40808,2022.81311,1
1241.76526,2373.416,1
1241.7821,2382.1687,1
1241.88342,2382.05176,1
1242.14063,2170.14014,1
1242.18237,2322.3645,1
1242.18921,2240.095,1
1242.36389,2305.27051,1
1242.39429,2361.79565,1
1242.49,2230.02832,1
1242.56763,2201.71118,1
1242.75159,2086.038,1
1242.87463,2229.98853,1
1243.10791,2229.071,1
1243.17163,2164.09155,1
1243.21,2254.01929,1
1243.54553,2303.99585,1
1243.68115,2230.35913,1
1243.90942,2255.21118,1
1243.915,2185.96143,1
1243.93164,2158.79,1
1244.30725,2311.83984,1
1244.32813,2158.98462,1
1244.76172,2196.60962,1
1244.8125,2192.58838,1
1244.8335,2334.847,1
1245.43933,2222.474,1
1245.63184,2266.23853,1
1245.67065,2158.39014,1
1245.851,2249.54517,1
1246.04492,2259.75513,1
1246.09546,2241.78882,1
1246.14014,2267.461,1
1246.14514,2174.38867,1
1246.44971,2110.7085,1
1246.55139,2254.66626,1
1246.75293,2247.13,1
1247.09,2250.43872,1
1247.143,2329.01831,1
1247.22168,2469.06885,1
1247.5116,2196.88013,1
1247.59766,2301.29224,1
1247.64978,2273.12549,1
1248.261,2201.338,1
1248.2876,2192.743,1
1248.59412,2248.39453,1
1248.65918,2321.12451,1
1248.75134,2228.817,1
1249.03711,2316.152,1
1249.303,2088.86841,1
1249.354,2216.55884,1
1249.39746,2158.28345,1
1249.65833,2222.29077,1
1249.84241,2339.32617,1
1249.941,2295.675,1
1249.96753,2232.638,1
1249.9751,2077.96875,1
1249.97925,2182.41235,1
1250.05554,2295.16455,1
1250.15649,2246.07617,1
1250.17786,2326.60327,1
1250.32544,2235.272,1
1250.57983,2206.64917,1
1250.73621,2179.691,1
1250.95459,2294.76953,1
1251.0155,2203.35938,1
1251.15564,2207.512,1
1251.18372,2423.0603,1
1251.21387,2184.10425,1
1251.27515,2209.70483,1
1251.30127,2207.97266,1
1251.31677,2294.988,1
1251.5083,2200.49146,1
1251.5332,2057.40356,1
1251.96008,2266.63818,1
1252.04749,2206.5896,1
1252.08325,2307.91333,1
1252.1001,2088.12964,1
1252.3241,2304.15356,1
1252.39575,2270.29956,1
1252.43872,2221.4585,1
1252.63464,2287.341,1
1252.83215,2227.956,1
1253.05371,2330.83887,1
1253.17139,2214.47559,1
1253.6582,2249.403,1
1253.72192,2195.87354,1
1253.73108,2027.30969,1
1253.77063,2388.53076,1
1253.85083,2290.817,1
1254.10742,2287.69775,1
1254.22461,2112.68359,1
1254.35779,2182.77783,1
1254.52722,2235.39746,1
1254.78467,2393.06982,1
1254.97034,2318.25464,1
1254.97949,2112.029,1
1255.43738,2198.32715,1
1255.46,2268.85913,1
1255.4696,2322.207,1
1255.79773,2246.05249,1
1255.80945,2228.397,1
1255.88208,2519.126,1
1256.34863,2324.897,1
1256.44678,2237.1875,1
1256.58484,2203.44287,1
1256.60229,2204.30615,1
1256.64429,2221.40942,1
1256.64783,2272.215,1
1256.681,2337.94678,1
1256.70093,2224.80151,1
1256.86279,8126.03174,4
1256.89282,2431.58032,1
1256.93359,2297.915,1
1256.98962,2265.15479,1
1257.00525,2100.59619,1
1257.05774,2195.74854,1
1257.09326,2213.62524,1
1257.34045,7466.78955,4
1257.37891,2258.23,1
1257.55457,2201.966,1
1257.71606,2245.95337,1
1257.81677,2432.52319,1
1257.88745,2215.459,1
1258.016,2460.758,1
1258.04968,2227.534,1
1258.05127,2141.43823,1
1258.10486,2195.179,1
1258.297,2158.859,1
1258.3208,2148.44141,1
1258.35449,2164.88623,1
1258.57092,2139.7356,1
1258.576,2114.8147,1
1258.64282,2262.55664,1
1258.74292,2175.50879,1
1258.81,2318.13843,1
1258.91809,2298.89941,1
1259.11951,2164.99121,1
1259.1521,2155.15259,1
1259.18652,2346.16455,1
1259.24451,2420.90186,1
1259.30237,2207.255,1
1259.457,2185.85352,1
1259.46057,2079.0813,1
1259.50476,2238.1604,1
1259.52478,2401.19531,1
1259.58911,2200.3064,1
1259.77148,2256.594,1
1259.83325,2024.96655,1
1260.04028,2179.38428,1
1260.0448,2193.463,1
1260.15808,2079.72144,1
1260.2019,2365.08643,1
1260.25073,2149.32568,1
1260.259,2186.7583,1
1260.27222,5463.62646,4
1260.31982,2238.33032,1
1260.3374,2208.37964,1
1260.38538,2166.96045,1
1260.43225,2349.317,1
1260.49854,2257.6228,1
1260.50549,2169.59839,1
1260.55127,2329.49683,1
1260.62268,2304.30225,1
1260.66382,2315.44,1
1260.67334,2316.368,1
1260.78149,2096.58423,1
1260.9342,2221.25366,1
1261.01245,2293.76782,1
1261.04285,2252.49316,1
1261.1272,2263.14038,1
1261.14429,2244.91919,1
1261.15381,2151.243,1
