Ch1 Amplitude,Ch2 Amplitude,Cluster
876.2674,1113.86658,1
918.863159,1317.146,1
923.322754,1332.27844,1
927.6479,1186.44385,1
1027.18909,3957.07324,4
1069.61072,1519.27649,1
1082.04968,1496.78491,1
1091.43774,1611.19592,1
1102.94592,1562.07568,1
1126.874,1557.1283,1
1177.5592,1815.87158,1
1184.90063,1863.70154,1
1198.34436,2010.45056,1
1209.628,1621.97986,1
1213.81238,1497.46313,1
1219.48889,1916.33228,1
1221.83447,1796.47656,1
1223.7124,1720.74744,1
1229.69287,1777.99951,1
1231.72131,1825.71216,1
1235.55957,1788.1825,1
1237.82361,1944.99841,1
1238.43811,1897.76147,1
1238.60571,1911.58411,1
1244.57385,1962.62537,1
1245.85132,1896.83411,1
1246.3761,1931.9884,1
1246.38,1767.96155,1
1247.52393,1937.33313,1
1247.52856,2016.20715,1
1250.4165,1927.81934,1
1251.8208,1869.52979,1
1253.95508,1925.87756,1
1255.14319,1954.19067,1
1256.19189,1972.15039,1
1258.30627,1785.60693,1
1258.37476,1789.50513,1
1259.1405,1989.80432,1
1259.46045,1886.18921,1
1259.93494,1874.744,1
1261.27478,1953.95813,1
1261.61084,1801.43384,1
1261.76465,1888.68823,1
1261.837,1902.79126,1
1262.19214,1619.29773,1
1262.702,2047.48547,1
1263.05542,1860.37512,1
1263.15674,1882.82178,1
1263.82056,1859.02563,1
1264.50916,1931.13452,1
1264.92139,1918.78979,1
1265.50256,1809.64758,1
1265.60669,1866.14563,1
1266.26685,1675.82056,1
1266.284,2008.49219,1
1266.46362,1978.81335,1
1266.79688,1980.7937,1
1267.83728,1886.89563,1
1268.31653,1850.956,1
1268.55225,1912.8584,1
1268.62988,1909.55786,1
1268.63293,1954.575,1
1268.63708,1939.09851,1
1269.39893,1996.68774,1
1269.58472,2045.951,1
1270.3457,1898.24683,1
1270.36707,1817.25134,1
1270.3772,1981.21838,1
1270.9082,1926.49036,1
1271.26074,2006.60254,1
1271.54065,1897.62817,1
1271.59656,1931.88428,1
1272.68921,1789.40466,1
1272.84021,1852.61877,1
1272.85864,1944.84192,1
1273.0332,1748.45691,1
