ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","8622539","[8218850.0-9046060.0]","228.0","182.6","-",
"C50","Breast","2088849","[2003730.0-2177580.0]","55.2","46.3","-",
"C18-21","Colorectum","823303","Notavailable","21.8","16.3","-",
"C33-34","Lung","725352","[705669.0-745584.0]","19.2","14.6","-",
"C53","Cervixuteri","569847","[545771.0-594985.0]","15.1","13.1","-",
"C73","Thyroid","436344","[408054.0-466595.0]","11.5","10.2","-",
"C54","Corpusuteri","382069","[375428.0-388827.0]","10.1","8.4","-",
"C16","Stomach","349947","[334068.0-366581.0]","9.3","7.0","-",
"C56","Ovary","295414","[280962.0-310609.0]","7.8","6.6","-",
"C22","Liver","244506","[231861.0-257840.0]","6.5","4.9","-",
"C82-86, C96","Non-Hodgkinlymphoma","224877","[219408.0-230483.0]","5.9","4.7","-",
"C25","Pancreas","215885","[205347.0-226964.0]","5.7","4.0","-",
"C91-95","Leukaemia","187579","[177663.0-198048.0]","5.0","4.3","-",
"C15","Oesophagus","172335","[161353.0-184064.0]","4.6","3.5","-",
"C64-65","Kidney","148755","[139422.0-158713.0]","3.9","3.1","-",
"C43","Melanomaofskin","137025","[129827.0-144622.0]","3.6","2.9","-",
"C70-72","Brain,centralnervoussystem","134317","[124801.0-144558.0]","3.6","3.1","-",
"C67","Bladder","125311","[116365.0-134945.0]","3.3","2.4","-",
"C23-24","Gallbladder","122024","[112612.0-132223.0]","3.2","2.4","-",
"C00-06","Lip,oralcavity","108444","[99602.1-118071.0]","2.9","2.3","-",
"C88+C90","Multiplemyeloma","70088","[64596.2-76046.7]","1.9","1.4","-",
"C51","Vulva","44235","[39489.4-49550.9]","1.2","0.88","-",
"C11","Nasopharynx","35663","[30506.4-41691.2]","0.94","0.82","-",
"C81","Hodgkinlymphoma","33431","[28791.3-38818.4]","0.88","0.80","-",
"C07-08","Salivaryglands","23543","[19860.5-27908.3]","0.62","0.51","-",
"C32","Larynx","22445","[18784.9-26818.2]","0.59","0.48","-",
"C09-10","Oropharynx","18415","[15457.6-21938.2]","0.49","0.40","-",
"C52","Vagina","17600","[13979.3-22158.5]","0.47","0.37","-",
"C46","Kaposisarcoma","13551","[7370.5-24914.2]","0.36","0.33","-",
"C12-13","Hypopharynx","13112","[10087.3-17043.7]","0.35","0.29","-",
"C45","Mesothelioma","8781","[6612.1-11661.3]","0.23","0.18","-",
