ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","9456418","[9037180.0-9895110.0]","245.6","218.6","-",
"C33-34","Lung","1368524","[1338510.0-1399210.0]","35.5","31.5","-",
"C61","Prostate","1276106","[1196550.0-1360950.0]","33.1","29.3","-",
"C18-21","Colorectum","1026215","Notavailable","26.6","23.6","-",
"C16","Stomach","683754","[661558.0-706695.0]","17.8","15.7","-",
"C22","Liver","596574","[576976.0-616838.0]","15.5","13.9","-",
"C67","Bladder","424082","[406892.0-441998.0]","11.0","9.6","-",
"C15","Oesophagus","399699","[383223.0-416883.0]","10.4","9.3","-",
"C82-86, C96","Non-Hodgkinlymphoma","284713","[278572.0-290989.0]","7.4","6.7","-",
"C64-65","Kidney","254507","[241713.0-267978.0]","6.6","6.0","-",
"C91-95","Leukaemia","249454","[237996.0-261464.0]","6.5","6.1","-",
"C00-06","Lip,oralcavity","246420","[233712.0-259819.0]","6.4","5.8","-",
"C25","Pancreas","243033","[231635.0-254992.0]","6.3","5.5","-",
"C70-72","Brain,centralnervoussystem","162534","[151794.0-174034.0]","4.2","3.9","-",
"C32","Larynx","154977","[144246.0-166506.0]","4.0","3.6","-",
"C43","Melanomaofskin","150698","[143567.0-158183.0]","3.9","3.5","-",
"C73","Thyroid","130889","[116393.0-147191.0]","3.4","3.1","-",
"C23-24","Gallbladder","97396","[89614.9-105853.0]","2.5","2.2","-",
"C11","Nasopharynx","93416","[84762.1-102953.0]","2.4","2.2","-",
"C88+C90","Multiplemyeloma","89897","[83564.6-96709.3]","2.3","2.1","-",
"C09-10","Oropharynx","74472","[68371.3-81117.1]","1.9","1.8","-",
"C62","Testis","71105","[63779.1-79272.4]","1.8","1.7","-",
"C12-13","Hypopharynx","67496","[60120.6-75776.2]","1.8","1.6","-",
"C81","Hodgkinlymphoma","46559","[40803.0-53126.9]","1.2","1.1","-",
"C60","Penis","34475","[28885.9-41145.6]","0.90","0.80","-",
"C07-08","Salivaryglands","29256","[24695.3-34659.0]","0.76","0.69","-",
"C46","Kaposisarcoma","28248","[19985.1-39927.2]","0.73","0.68","-",
"C45","Mesothelioma","21662","[17770.6-26405.6]","0.56","0.48","-",
