ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","5385640","[5230340.0-5545550.0]","139.9","122.7","-",
"C33-34","Lung","1184947","[1134170.0-1237990.0]","30.8","27.1","-",
"C22","Liver","548375","[511583.0-587813.0]","14.2","12.7","-",
"C16","Stomach","513555","[477767.0-552023.0]","13.3","11.7","-",
"C18-21","Colorectum","484224","Notavailable","12.6","10.8","-",
"C61","Prostate","358989","[343350.0-375340.0]","9.3","7.6","-",
"C15","Oesophagus","357190","[343670.0-371242.0]","9.3","8.3","-",
"C25","Pancreas","226910","[217255.0-236994.0]","5.9","5.1","-",
"C91-95","Leukaemia","179518","[170260.0-189280.0]","4.7","4.2","-",
"C67","Bladder","148270","[140169.0-156839.0]","3.9","3.2","-",
"C82-86, C96","Non-Hodgkinlymphoma","145969","[141942.0-150110.0]","3.8","3.3","-",
"C70-72","Brain,centralnervoussystem","135843","[127872.0-144311.0]","3.5","3.2","-",
"C00-06","Lip,oralcavity","119693","[111815.0-128126.0]","3.1","2.8","-",
"C64-65","Kidney","113822","[106564.0-121575.0]","3.0","2.6","-",
"C32","Larynx","81806","[75697.2-88407.7]","2.1","1.9","-",
"C23-24","Gallbladder","70168","[64544.0-76282.0]","1.8","1.6","-",
"C88+C90","Multiplemyeloma","58825","[54073.7-63993.8]","1.5","1.3","-",
"C11","Nasopharynx","54280","[48596.1-60628.7]","1.4","1.3","-",
"C09-10","Oropharynx","42116","[37585.5-47192.6]","1.1","0.99","-",
"C43","Melanomaofskin","34831","[31311.0-38746.7]","0.90","0.78","-",
"C12-13","Hypopharynx","29415","[26001.8-33276.2]","0.76","0.69","-",
"C45","Mesothelioma","18332","[15564.5-21591.6]","0.48","0.40","-",
"C81","Hodgkinlymphoma","15770","[13425.2-18524.4]","0.41","0.37","-",
"C73","Thyroid","15557","[13238.0-18282.2]","0.40","0.35","-",
"C60","Penis","15138","[12208.6-18770.2]","0.39","0.35","-",
"C07-08","Salivaryglands","13440","[10929.7-16526.9]","0.35","0.31","-",
"C46","Kaposisarcoma","13117","[8284.9-20767.4]","0.34","0.32","-",
"C62","Testis","9507","[7618.4-11863.8]","0.25","0.23","-",
