Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"World","244506","[231861.0-257840.0]","6.5","4.9","-",
"China","99970","[96758.9-103288.0]","14.5","9.0","-",
"Japan","12087","[11621.1-12571.5]","18.6","3.5","-",
"United States of America","10666","[10267.4-11080.1]","6.5","3.4","-",
"India","8863","[7961.8-9866.2]","1.4","1.4","-",
"Thailand","6997","[6638.4-7375.0]","19.7","11.4","-",
"Egypt","6928","[6050.8-7932.4]","14.1","16.7","-",
"Viet Nam","5767","[4999.5-6652.4]","11.8","9.5","-",
"Brazil","5146","[4415.6-5997.2]","4.8","3.4","-",
"Russian Federation","4403","[4228.8-4584.4]","5.7","2.5","-",
"Korea, Republic of","4330","[3998.8-4688.6]","16.9","8.2","-",
"Indonesia","4230","[3276.2-5461.5]","3.2","3.4","-",
"Mexico","3815","[3522.2-4132.1]","5.8","5.4","-",
"Italy","3583","[3391.8-3784.9]","11.8","3.5","-",
"United Kingdom","2786","[2611.0-2972.7]","8.3","3.3","-",
"Philippines","2780","[2522.5-3063.7]","5.3","6.2","-",
"Germany","2692","[2311.4-3135.2]","6.4","2.3","-",
"France","2242","[2033.8-2471.5]","6.8","2.7","-",
"Nigeria","2042","[1281.7-3253.2]","2.1","4.3","-",
"Korea, Democratic Republic of","1887","[1695.9-2099.6]","14.4","9.0","-",
"Myanmar","1772","[570.2-5506.5]","6.4","6.2","-",
"Spain","1654","[1462.6-1870.4]","7.0","2.4","-",
"Pakistan","1652","[1262.9-2160.9]","1.7","2.3","-",
"Turkey","1583","[1328.5-1886.2]","3.8","2.8","-",
"Iran, Islamic Republic of","1493","[1368.0-1629.4]","3.7","4.1","-",
"Canada","1281","[1119.5-1465.8]","6.9","3.2","-",
"Romania","1222","[1113.6-1340.9]","12.1","4.9","-",
"Peru","1213","[995.8-1477.6]","7.4","6.4","-",
"Congo, Democratic Republic of","1182","[483.2-2891.5]","2.8","5.0","-",
"Colombia","1084","[814.0-1443.5]","4.3","3.3","-",
"Poland","1028","[897.4-1177.6]","5.2","2.1","-",
"Argentina","979","[776.7-1234.0]","4.3","2.5","-",
"Mongolia","942","[870.8-1019.0]","59.7","74.1","-",
"South Africa","935","[797.8-1095.8]","3.2","3.3","-",
"Guatemala","933","[795.3-1094.6]","10.7","14.1","-",
"Ethiopia","859","[473.1-1559.6]","1.6","2.7","-",
"Cambodia","855","[275.1-2656.9]","10.3","12.7","-",
"Ukraine","784","[700.0-878.1]","3.3","1.6","-",
"Bangladesh","776","[494.2-1218.5]","0.94","1.1","-",
"Ghana","737","[568.3-955.7]","5.0","7.6","-",
"Chile","711","[491.0-1029.7]","7.7","4.2","-",
"Australia","709","[574.1-875.6]","5.7","2.9","-",
"Uzbekistan","663","[579.4-758.7]","4.1","4.6","-",
"Uganda","642","[438.5-939.9]","2.9","5.4","-",
"Guinea","613","[408.0-921.0]","9.4","16.3","-",
"Kenya","585","[389.4-878.9]","2.3","4.5","-",
"Venezuela, Bolivarian Republic of","547","[460.8-649.4]","3.4","3.0","-",
"Mozambique","525","[366.9-751.1]","3.4","5.0","-",
"Greece","521","[445.3-609.6]","9.2","3.3","-",
"Burkina Faso","507","[39.4-6517.7]","5.1","9.7","-",
"Ecuador","496","[406.4-605.3]","5.9","4.9","-",
"Malaysia","484","[409.4-572.1]","3.1","3.1","-",
"Kazakhstan","467","[419.0-520.5]","4.9","3.9","-",
"Côte d'Ivoire","418","[302.5-577.6]","3.4","6.9","-",
"Portugal","403","[321.0-506.0]","7.4","2.2","-",
"Senegal","402","[31.3-5167.9]","4.9","8.4","-",
"Czechia","384","[307.4-479.7]","7.1","2.6","-",
"The Netherlands","381","[323.1-449.3]","4.4","1.8","-",
"Singapore","378","[277.0-515.8]","12.9","5.9","-",
"Bolivia, Plurinational State of","375","[308.3-456.2]","6.7","6.7","-",
"Tanzania, United Republic of","375","[202.6-694.2]","1.3","2.2","-",
"Austria","371","[287.6-478.7]","8.3","3.0","-",
"Belgium","368","[292.9-462.3]","6.3","2.9","-",
"Sudan","361","[186.9-697.3]","1.7","2.8","-",
"Cuba","339","[271.9-422.6]","5.9","2.9","-",
"Sweden","333","[278.2-398.6]","6.7","2.6","-",
"Lao People's Democratic Republic","323","[103.9-1003.7]","9.3","13.1","-",
"Dominican Republic","318","[237.0-426.6]","5.8","5.5","-",
"Hungary","317","[248.3-404.8]","6.2","2.4","-",
"Madagascar","314","[115.3-855.3]","2.4","3.6","-",
"Republic of Moldova","313","[226.4-432.7]","14.9","8.4","-",
"Serbia","312","[250.4-388.8]","7.0","3.2","-",
"Haiti","310","[132.7-724.1]","5.5","6.8","-",
"Papua New Guinea","307","[228.7-412.1]","7.4","10.0","-",
"El Salvador","306","[227.1-412.3]","9.0","6.9","-",
"Sri Lanka","295","[204.3-426.0]","2.7","1.9","-",
"Switzerland","282","[241.3-329.6]","6.5","2.7","-",
"Iraq","261","[219.2-310.8]","1.3","2.4","-",
"Bosnia and Herzegovina","257","[190.8-346.2]","14.4","5.9","-",
"Zimbabwe","256","[183.9-356.4]","3.0","5.6","-",
"Rwanda","254","[132.5-486.9]","4.0","6.6","-",
"Algeria","252","[185.8-341.8]","1.2","1.3","-",
"Afghanistan","251","[159.9-394.1]","1.4","3.0","-",
"Nicaragua","243","[177.6-332.4]","7.6","8.0","-",
"Belarus","237","[174.9-321.2]","4.7","2.1","-",
"Cameroon","231","[98.1-543.8]","1.9","3.1","-",
"Croatia","229","[171.2-306.3]","10.6","3.4","-",
"Saudi Arabia","229","[165.6-316.6]","1.6","2.5","-",
"Yemen","218","[158.6-299.7]","1.5","2.7","-",
"Armenia","211","[57.5-775.0]","13.6","6.9","-",
"Finland","203","[165.1-249.7]","7.2","2.3","-",
"Angola","199","[81.3-486.8]","1.3","2.3","-",
"Azerbaijan","192","[159.1-231.7]","3.9","3.2","-",
"Tunisia","192","[113.5-324.7]","3.3","2.7","-",
"Kyrgyzstan","189","[141.2-252.9]","6.1","6.9","-",
"Niger","188","[82.7-427.6]","1.7","3.3","-",
"Denmark","185","[146.9-233.0]","6.4","2.6","-",
"Morocco","185","[104.7-326.9]","1.0","0.95","-",
"Bulgaria","182","[155.7-212.7]","5.0","1.8","-",
"Syrian Arab Republic","180","[44.1-734.9]","2.0","2.6","-",
"Costa Rica","179","[110.9-289.0]","7.2","4.8","-",
"Slovakia","177","[148.5-210.9]","6.3","2.9","-",
"Albania","170","[134.3-215.2]","11.7","5.7","-",
"Liberia","165","[12.8-2121.1]","6.9","11.7","-",
"Mali","160","[99.3-257.8]","1.7","2.9","-",
"Sierra Leone","158","[133.5-187.0]","4.1","7.5","-",
"South Sudan","148","[54.3-403.1]","2.3","3.8","-",
"Georgia","145","[81.0-259.4]","7.1","3.1","-",
"Israel","136","[102.4-180.6]","3.2","1.7","-",
"Panama","134","[94.8-189.4]","6.5","4.7","-",
"Burundi","130","[47.7-354.1]","2.3","3.9","-",
"Chad","125","[51.1-305.8]","1.6","3.4","-",
"Malawi","124","[49.5-310.7]","1.3","1.8","-",
"Somalia","121","[44.4-329.6]","1.6","3.2","-",
"Tajikistan","109","[77.2-153.9]","2.4","3.7","-",
"Nepal","107","[58.7-195.1]","0.70","0.82","-",
"Turkmenistan","106","[81.2-138.3]","3.6","4.1","-",
"Togo","105","[86.2-127.9]","2.6","4.4","-",
"Honduras","101","[63.4-160.8]","2.1","2.7","-",
"Puerto Rico","100","[68.7-145.5]","5.3","2.3","-",
"Mauritania","99","[7.7-1272.7]","4.4","6.6","-",
"New Zealand","97","[76.9-122.4]","4.0","2.0","-",
"Lebanon","94","[68.9-128.2]","3.1","2.6","-",
"Libya","93","[48.8-177.3]","2.9","3.8","-",
"Latvia","89","[54.4-145.7]","8.5","2.6","-",
"Ireland","88","[68.6-112.8]","3.6","2.0","-",
"Jordan","87","[60.3-125.6]","1.8","2.7","-",
"Lithuania","86","[68.4-108.1]","5.5","1.9","-",
"Norway","86","[68.0-108.7]","3.2","1.5","-",
"Zambia","86","[37.3-198.4]","0.97","1.8","-",
"Slovenia","76","[58.7-98.4]","7.3","2.3","-",
"The Republic of the Gambia","74","[54.1-101.3]","6.8","12.0","-",
"Paraguay","66","[39.6-109.9]","1.9","2.0","-",
"Benin","65","[36.0-117.3]","1.1","2.1","-",
"The former Yugoslav Republic of Macedonia","64","[33.2-123.2]","6.1","3.1","-",
"Congo, Republic of","61","[37.6-99.1]","2.3","3.4","-",
"Jamaica","51","[33.6-77.3]","3.5","2.8","-",
"Central African Republic","45","[18.4-110.1]","1.9","3.1","-",
"Uruguay","44","[31.5-61.4]","2.5","1.3","-",
"Estonia","42","[29.8-59.2]","6.1","2.0","-",
"Guinea-Bissau","42","[3.3-539.9]","4.3","7.3","-",
"Eritrea","42","[15.4-114.4]","1.6","2.9","-",
"United Arab Emirates","35","[23.5-52.0]","1.3","4.3","-",
"Kuwait","33","[21.0-51.8]","1.8","3.7","-",
"Trinidad and Tobago","30","[17.5-51.3]","4.3","2.8","-",
"France, La Réunion","27","[16.8-43.3]","5.9","3.3","-",
"Oman","27","[14.1-51.6]","1.7","2.7","-",
"Mauritius","27","[16.9-43.2]","4.2","2.6","-",
"Lesotho","27","[10.9-66.8]","2.3","3.0","-",
"Cyprus","24","[14.1-40.9]","4.0","2.0","-",
"Fiji","23","[17.4-30.4]","5.1","4.9","-",
"Botswana","22","[12.7-38.1]","1.9","2.3","-",
"Luxembourg","22","[11.8-41.0]","7.5","4.2","-",
