Population,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"Eastern Asia","123804","[119785.0-127958.0]","15.3","8.7","-",
"South-Eastern Asia","23603","[20972.7-26563.2]","7.2","6.6","-",
"South-Central Asia","14983","[13282.8-16900.8]","1.6","1.7","-",
"North America","11951","[11709.9-12197.0]","6.5","3.4","-",
"South America","10683","[9050.5-12610.0]","4.9","3.5","-",
"Central and Eastern Europe","9047","[8664.8-9446.1]","5.9","2.5","-",
"Northern Africa","8023","[6599.1-9754.1]","6.8","7.8","-",
"Southern Europe","7324","[6764.2-7930.1]","9.4","3.1","-",
"Western Europe","6359","[6008.6-6729.8]","6.5","2.5","-",
"Western Africa","5796","[4016.9-8363.1]","3.1","5.7","-",
"Central America","5716","[5461.7-5982.2]","6.3","6.0","-",
"Eastern Africa","4539","[2799.8-7358.6]","2.1","3.6","-",
"Northern Europe","3911","[3733.0-4097.5]","7.4","2.9","-",
"Western Asia","3462","[2817.5-4254.0]","2.7","2.8","-",
"Middle Africa","1873","[1049.0-3344.2]","2.2","3.9","-",
"Caribbean","1217","[1015.5-1458.4]","5.5","3.8","-",
"Southern Africa","1018","[860.4-1204.5]","3.0","3.2","-",
"Australia and New Zealand","806","[743.0-874.4]","5.4","2.7","-",
"Melanesia","358","[265.6-482.5]","6.9","8.9","-",
"Polynesia","17","[9.7-29.8]","5.0","4.1","-",
"Micronesia","16","[9.8-26.1]","6.1","5.4","-",
