Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"World","596574","[576976.0-616838.0]","15.5","13.9","-",
"China","292898","[287242.0-298665.0]","40.0","27.6","-",
"United States of America","27282","[26426.9-28164.8]","16.9","10.4","-",
"Japan","23448","[22796.6-24118.0]","37.8","12.3","-",
"Viet Nam","19568","[18064.2-21197.0]","41.0","39.0","-",
"India","18807","[17531.4-20175.5]","2.7","3.1","-",
"Egypt","18471","[17185.0-19853.3]","36.8","49.0","-",
"Thailand","16299","[15759.3-16857.2]","48.3","32.2","-",
"Indonesia","14238","[12130.6-16711.6]","10.6","12.4","-",
"Korea, Republic of","12180","[11648.7-12735.6]","47.6","27.7","-",
"Italy","8742","[8418.2-9078.3]","30.2","12.8","-",
"France","8382","[7967.5-8818.1]","26.1","13.3","-",
"Brazil","7317","[6491.1-8248.0]","7.1","6.3","-",
"Philippines","6848","[6430.4-7292.7]","12.8","17.8","-",
"Germany","6191","[5716.5-6704.9]","15.3","6.4","-",
"Russian Federation","5946","[5700.9-6201.6]","8.9","6.0","-",
"Spain","4976","[4616.0-5364.1]","21.9","10.9","-",
"United Kingdom","4832","[4625.2-5048.1]","14.7","7.0","-",
"Korea, Democratic Republic of","3831","[3524.8-4163.8]","30.6","25.4","-",
"Myanmar","3532","[1693.8-7365.1]","13.4","14.6","-",
"Mexico","3450","[3220.8-3695.5]","5.3","5.5","-",
"Nigeria","3087","[2271.3-4195.7]","3.1","5.9","-",
"Turkey","2779","[2484.7-3108.1]","6.9","6.6","-",
"Pakistan","2729","[2244.4-3318.3]","2.6","3.8","-",
"Canada","2608","[2364.3-2876.9]","14.2","7.6","-",
"Congo, Democratic Republic of","2431","[1432.6-4125.1]","5.8","11.5","-",
"Bangladesh","2352","[1689.1-3275.0]","2.8","3.3","-",
"Romania","2229","[2065.1-2405.9]","23.5","12.7","-",
"Ghana","2016","[1717.8-2365.9]","13.7","24.4","-",
"Iran, Islamic Republic of","1999","[1860.1-2148.3]","4.8","5.3","-",
"Australia","1729","[1572.3-1901.4]","14.0","8.6","-",
"Cambodia","1691","[810.9-3526.2]","21.3","34.6","-",
"South Africa","1560","[1372.5-1773.2]","5.5","7.6","-",
"Poland","1541","[1364.3-1740.6]","8.4","4.7","-",
"Malaysia","1460","[1322.7-1611.5]","8.8","9.5","-",
"Argentina","1364","[1134.2-1640.3]","6.2","5.0","-",
"Mongolia","1299","[1214.3-1389.6]","84.2","117.0","-",
"Colombia","1195","[915.2-1560.3]","4.9","4.6","-",
"Uganda","1169","[847.3-1612.8]","5.3","10.1","-",
"Tanzania, United Republic of","1162","[757.1-1783.4]","4.0","8.1","-",
"Greece","1121","[986.4-1274.0]","20.4","8.6","-",
"Peru","1104","[914.3-1333.1]","6.8","6.8","-",
"Ukraine","1003","[910.7-1104.6]","4.9","3.2","-",
"Singapore","1000","[882.0-1133.7]","34.9","19.5","-",
"Portugal","983","[859.6-1124.1]","20.2","9.2","-",
"Guinea","969","[717.7-1308.3]","14.8","27.9","-",
"Chile","871","[618.9-1225.8]","9.7","6.9","-",
"Guatemala","854","[723.0-1008.8]","10.1","15.8","-",
"Uzbekistan","792","[705.3-889.4]","4.9","6.8","-",
"Burkina Faso","789","[319.9-1946.2]","8.0","19.2","-",
"Hungary","770","[665.5-890.9]","16.7","9.2","-",
"Kenya","761","[556.8-1040.0]","3.0","6.2","-",
"Austria","750","[629.9-893.0]","17.5","8.2","-",
"Ethiopia","749","[409.9-1368.7]","1.4","2.6","-",
"Cameroon","724","[436.5-1200.9]","5.9","9.3","-",
"Lao People's Democratic Republic","712","[341.4-1484.7]","20.5","33.4","-",
"Côte d'Ivoire","703","[562.0-879.4]","5.6","9.7","-",
"Czechia","679","[592.7-777.8]","13.0","6.1","-",
"Saudi Arabia","676","[554.5-824.2]","3.5","6.2","-",
"Mozambique","675","[499.9-911.4]","4.5","8.8","-",
"Senegal","673","[272.8-1660.1]","8.4","18.0","-",
"Switzerland","664","[607.6-725.7]","15.7","7.3","-",
"Kazakhstan","655","[597.0-718.6]","7.3","8.2","-",
"Venezuela, Bolivarian Republic of","646","[523.7-796.8]","4.0","4.3","-",
"Sweden","641","[567.0-724.7]","12.8","6.5","-",
"Belgium","638","[585.3-695.4]","11.2","5.9","-",
"The Netherlands","620","[527.1-729.2]","7.3","3.4","-",
"Niger","587","[355.8-968.3]","5.2","11.5","-",
"Madagascar","584","[256.6-1329.0]","4.5","8.3","-",
"Sudan","581","[360.6-936.1]","2.8","4.8","-",
"Republic of Moldova","539","[430.5-674.8]","27.8","20.9","-",
"Cuba","498","[419.4-591.3]","8.7","4.7","-",
"Rwanda","483","[296.1-788.0]","7.9","14.7","-",
"Ecuador","483","[389.7-598.6]","5.7","5.7","-",
"Sri Lanka","472","[387.5-574.9]","4.7","3.6","-",
"Serbia","460","[383.8-551.3]","10.7","5.9","-",
"Mali","438","[335.3-572.2]","4.6","10.2","-",
"Denmark","426","[364.9-497.4]","14.9","7.3","-",
"Papua New Guinea","425","[360.6-500.9]","9.9","14.0","-",
"Croatia","410","[343.8-488.9]","20.4","9.9","-",
"Yemen","402","[315.1-512.9]","2.8","6.3","-",
"Dominican Republic","400","[304.1-526.2]","7.4","7.6","-",
"Afghanistan","391","[280.8-544.4]","2.1","4.9","-",
"New Zealand","386","[267.1-557.8]","16.5","10.0","-",
"Angola","382","[225.1-648.2]","2.5","5.2","-",
"Bulgaria","377","[298.3-476.4]","11.0","5.7","-",
"Haiti","354","[288.2-434.8]","6.4","9.5","-",
"Finland","347","[283.3-425.0]","12.7","5.2","-",
"Slovakia","335","[294.2-381.5]","12.6","7.7","-",
"Nicaragua","322","[256.8-403.7]","10.4","13.6","-",
"Zimbabwe","321","[246.0-418.9]","3.9","8.7","-",
"Belarus","318","[262.1-385.8]","7.2","4.9","-",
"Algeria","311","[231.8-417.3]","1.5","1.6","-",
"Bolivia, Plurinational State of","303","[243.2-377.5]","5.4","5.6","-",
"Honduras","302","[206.1-442.5]","6.4","9.2","-",
"Bosnia and Herzegovina","295","[228.3-381.2]","17.1","9.1","-",
"Chad","280","[165.0-475.1]","3.6","7.8","-",
"Iraq","278","[236.4-326.9]","1.4","3.1","-",
"Ireland","275","[207.5-364.5]","11.5","6.8","-",
"Burundi","270","[118.6-614.4]","4.9","9.0","-",
"Kyrgyzstan","267","[200.2-356.1]","8.8","13.0","-",
"Albania","265","[218.1-322.0]","17.9","10.0","-",
"Armenia","263","[206.2-335.5]","19.1","13.5","-",
"Puerto Rico","251","[219.6-286.9]","14.3","8.9","-",
"South Sudan","249","[109.4-566.7]","3.8","6.5","-",
"Norway","248","[191.3-321.4]","9.2","5.3","-",
"Sierra Leone","248","[222.7-276.2]","6.5","12.6","-",
"Costa Rica","248","[142.8-430.6]","10.0","7.9","-",
"Liberia","247","[100.1-609.3]","10.1","18.9","-",
"The Republic of the Gambia","245","[205.5-292.1]","22.9","36.5","-",
"Morocco","243","[147.9-399.3]","1.4","1.4","-",
"Georgia","235","[198.7-278.0]","12.6","8.3","-",
"Benin","233","[129.9-417.8]","4.1","9.8","-",
"Mauritania","221","[89.6-545.1]","9.7","16.8","-",
"Slovenia","216","[166.6-280.1]","20.9","9.7","-",
"El Salvador","208","[156.0-277.3]","6.9","6.4","-",
