Population,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"Eastern Asia","343523","[336780.0-350401.0]","40.6","26.8","-",
"South-Eastern Asia","65407","[60646.6-70541.0]","20.0","21.0","-",
"North America","29900","[29521.9-30283.0]","16.6","10.1","-",
"South-Central Asia","29027","[26783.5-31458.4]","2.9","3.4","-",
"Northern Africa","19912","[17885.1-22168.7]","16.7","20.8","-",
"Southern Europe","17702","[16772.6-18682.9]","23.7","10.9","-",
"Western Europe","17300","[16684.6-17938.1]","18.1","8.4","-",
"Central and Eastern Europe","13737","[13234.5-14258.5]","10.0","6.2","-",
"South America","13565","[11814.4-15575.0]","6.4","5.8","-",
"Western Africa","10778","[8465.7-13721.9]","5.6","11.1","-",
"Northern Europe","7086","[6842.6-7338.1]","13.7","6.6","-",
"Eastern Africa","7011","[4723.3-10406.8]","3.3","6.2","-",
"Western Asia","5787","[5049.3-6632.5]","4.1","5.4","-",
"Central America","5513","[5263.2-5774.7]","6.2","6.7","-",
"Middle Africa","4137","[2774.5-6168.5]","4.9","9.4","-",
"Australia and New Zealand","2115","[2010.0-2225.5]","14.4","8.8","-",
"Caribbean","1706","[1476.5-1971.1]","7.8","6.3","-",
"Southern Africa","1692","[1477.4-1937.8]","5.2","7.4","-",
"Melanesia","557","[469.9-660.2]","10.4","14.2","-",
"Micronesia","69","[55.3-86.1]","25.7","25.6","-",
"Polynesia","50","[33.8-73.9]","14.2","14.4","-",
