Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"World","233256","[209922.0-259184.0]","6.2","4.6","-",
"China","95946","[93128.5-98848.7]","13.9","8.6","-",
"Japan","10447","[10055.0-10854.2]","16.0","2.7","-",
"United States of America","9921","[9613.4-10238.4]","6.0","2.8","-",
"India","8079","[7196.8-9069.3]","1.2","1.3","-",
"Egypt","6875","[5993.1-7886.7]","14.0","16.6","-",
"Thailand","6870","[6486.9-7275.7]","19.4","11.1","-",
"Viet Nam","5696","[4832.2-6714.2]","11.7","9.4","-",
"Brazil","4891","[4664.0-5129.1]","4.6","3.2","-",
"Russian Federation","4760","[4575.8-4951.6]","6.2","2.6","-",
"Indonesia","4101","[3158.3-5325.1]","3.1","3.3","-",
"Mexico","3507","[3283.0-3746.3]","5.3","4.9","-",
"Italy","3408","[3246.8-3577.2]","11.2","2.7","-",
"Korea, Republic of","3303","[3102.9-3516.0]","12.9","5.2","-",
"United Kingdom","2794","[2642.3-2954.4]","8.3","2.8","-",
"Philippines","2709","[2428.3-3022.2]","5.1","6.0","-",
"Germany","2707","[2566.0-2855.7]","6.5","2.1","-",
"France","2687","[2487.4-2902.6]","8.1","2.6","-",
"Nigeria","1962","[1193.5-3225.3]","2.0","4.2","-",
"Myanmar","1789","[597.4-5357.6]","6.5","6.3","-",
"Korea, Democratic Republic of","1748","[1566.0-1951.2]","13.4","8.0","-",
"Spain","1697","[1571.0-1833.0]","7.2","2.0","-",
"Pakistan","1614","[1222.5-2130.8]","1.7","2.2","-",
"Turkey","1560","[1110.5-2191.5]","3.8","2.7","-",
"Canada","1527","[1334.5-1747.3]","8.2","3.2","-",
"Iran, Islamic Republic of","1462","[1378.8-1550.2]","3.6","4.1","-",
"Peru","1182","[1061.6-1316.1]","7.3","6.2","-",
"Congo, Democratic Republic of","1145","[491.4-2668.1]","2.7","4.9","-",
"Romania","1138","[1044.6-1239.8]","11.3","4.4","-",
"Colombia","1060","[966.6-1162.5]","4.2","3.2","-",
"Ukraine","985","[882.8-1099.1]","4.2","1.8","-",
"Poland","925","[844.7-1013.0]","4.7","1.7","-",
"Guatemala","909","[793.3-1041.6]","10.4","13.8","-",
"Argentina","907","[809.3-1016.4]","4.0","2.3","-",
"South Africa","904","[807.8-1011.6]","3.1","3.1","-",
"Ethiopia","897","[461.5-1743.3]","1.7","2.8","-",
"Cambodia","851","[284.2-2548.5]","10.2","12.7","-",
"Australia","739","[657.8-830.2]","5.9","2.6","-",
"Ghana","737","[551.7-984.5]","5.0","7.6","-",
"Bangladesh","724","[481.0-1089.7]","0.88","0.99","-",
"Mongolia","706","[643.5-774.6]","44.7","56.8","-",
"Chile","667","[591.7-751.9]","7.3","3.9","-",
"Uganda","605","[390.3-937.8]","2.7","5.1","-",
"Kenya","579","[364.4-920.1]","2.3","4.4","-",
"Uzbekistan","550","[457.5-661.1]","3.4","4.0","-",
"Guinea","547","[357.8-836.2]","8.4","14.5","-",
"Venezuela, Bolivarian Republic of","531","[460.1-612.8]","3.3","2.9","-",
"Burkina Faso","498","[77.5-3198.4]","5.0","9.5","-",
"Greece","494","[430.8-566.4]","8.7","2.7","-",
"Ecuador","482","[419.3-554.1]","5.7","4.7","-",
"Mozambique","473","[316.0-708.1]","3.0","4.7","-",
"Malaysia","466","[387.6-560.3]","3.0","3.0","-",
"Côte d'Ivoire","418","[288.2-606.3]","3.4","6.9","-",
"Senegal","404","[62.9-2594.7]","4.9","8.5","-",
"The Netherlands","396","[334.6-468.7]","4.6","1.7","-",
"Portugal","392","[324.1-474.1]","7.2","2.1","-",
"Kazakhstan","384","[341.7-431.6]","4.0","3.3","-",
"Serbia","377","[324.4-438.1]","8.4","3.5","-",
"Singapore","374","[323.3-432.6]","12.8","5.7","-",
"Belgium","374","[305.7-457.6]","6.4","2.1","-",
"Tanzania, United Republic of","370","[187.6-729.7]","1.2","2.2","-",
"Bolivia, Plurinational State of","368","[305.7-443.1]","6.6","6.6","-",
"Sudan","346","[176.4-678.6]","1.7","2.7","-",
"Cuba","325","[270.9-390.0]","5.7","2.6","-",
"Madagascar","322","[115.7-896.4]","2.4","3.8","-",
"Lao People's Democratic Republic","319","[106.5-955.3]","9.1","13.0","-",
"Czechia","309","[261.0-365.8]","5.7","2.0","-",
"Switzerland","308","[232.0-408.8]","7.1","2.6","-",
"Haiti","306","[135.9-689.2]","5.4","6.6","-",
"El Salvador","298","[229.2-387.4]","8.8","6.8","-",
"Dominican Republic","297","[231.8-380.6]","5.4","5.0","-",
"Hungary","292","[238.6-357.4]","5.8","2.1","-",
"Papua New Guinea","281","[106.4-742.2]","6.8","9.4","-",
"Sweden","266","[225.5-313.8]","5.3","1.8","-",
"Iraq","259","[213.7-313.9]","1.3","2.3","-",
"Zimbabwe","256","[174.3-376.1]","3.0","5.6","-",
"Republic of Moldova","252","[193.4-328.4]","12.0","6.7","-",
"Austria","251","[200.5-314.2]","5.6","1.8","-",
"Bosnia and Herzegovina","248","[213.8-287.7]","13.9","5.2","-",
"Rwanda","247","[123.3-494.8]","3.9","6.5","-",
"Afghanistan","247","[164.1-371.8]","1.4","2.9","-",
"Nicaragua","243","[187.1-315.7]","7.6","8.0","-",
"Algeria","242","[169.2-346.1]","1.2","1.2","-",
"Saudi Arabia","216","[145.4-320.9]","1.5","2.4","-",
"Cameroon","212","[91.0-494.0]","1.7","2.9","-",
"Sri Lanka","211","[135.1-329.6]","1.9","1.4","-",
"Denmark","210","[168.1-262.3]","7.3","2.6","-",
"Tunisia","209","[117.2-372.7]","3.5","2.8","-",
"Bulgaria","207","[156.5-273.8]","5.7","2.0","-",
"Finland","202","[167.2-244.1]","7.2","2.1","-",
"Yemen","199","[142.9-277.1]","1.4","2.6","-",
"Angola","197","[84.5-459.0]","1.3","2.3","-",
"Armenia","193","[65.9-565.6]","12.4","6.3","-",
"Azerbaijan","190","[151.2-238.7]","3.8","3.2","-",
"Croatia","183","[145.0-231.0]","8.5","2.6","-",
"Syrian Arab Republic","182","[51.6-641.8]","2.0","2.6","-",
"Morocco","175","[92.8-330.0]","0.96","0.90","-",
"Albania","171","[135.1-216.5]","11.8","5.7","-",
"Slovakia","171","[125.8-232.4]","6.1","2.5","-",
"Niger","169","[70.3-406.1]","1.5","3.0","-",
"Liberia","168","[26.2-1079.0]","7.0","11.9","-",
"Kyrgyzstan","163","[128.4-206.9]","5.3","6.0","-",
"Israel","163","[96.1-276.6]","3.8","2.0","-",
"Costa Rica","157","[120.0-205.4]","6.3","4.1","-",
"Sierra Leone","149","[123.0-180.5]","3.8","7.2","-",
"South Sudan","147","[52.8-409.2]","2.3","3.7","-",
"Mali","143","[82.6-247.5]","1.5","2.7","-",
"Georgia","143","[84.8-241.3]","7.0","3.0","-",
"Ireland","135","[111.3-163.8]","5.6","2.5","-",
"Malawi","127","[45.6-353.5]","1.3","2.0","-",
"Panama","126","[94.1-168.7]","6.1","4.5","-",
"Puerto Rico","126","[103.7-153.2]","6.6","2.8","-",
"Belarus","125","[93.7-166.8]","2.5","1.1","-",
"Burundi","121","[43.5-336.8]","2.1","3.8","-",
"Somalia","118","[42.4-328.5]","1.5","3.2","-",
"Chad","118","[50.6-275.0]","1.5","3.3","-",
"Norway","108","[79.3-147.1]","4.1","1.7","-",
"Nepal","106","[58.8-191.0]","0.70","0.80","-",
"Honduras","103","[81.7-129.8]","2.2","2.9","-",
"Mauritania","102","[15.9-655.1]","4.5","6.7","-",
"Turkmenistan","101","[80.1-127.3]","3.4","3.9","-",
"Tajikistan","100","[74.3-134.6]","2.2","3.4","-",
"Togo","100","[82.8-120.7]","2.5","4.2","-",
"Slovenia","93","[74.4-116.3]","8.9","2.6","-",
"New Zealand","89","[70.2-112.9]","3.7","1.7","-",
"Lebanon","89","[62.8-126.1]","2.9","2.5","-",
"Lithuania","86","[62.5-118.4]","5.5","1.8","-",
"Jordan","83","[54.2-127.2]","1.7","2.6","-",
"The Republic of the Gambia","76","[53.2-108.6]","7.0","12.4","-",
"Libya","76","[38.2-151.0]","2.4","3.1","-",
"Zambia","72","[28.1-184.6]","0.81","1.5","-",
"Benin","72","[37.0-139.9]","1.3","2.3","-",
"Paraguay","68","[44.0-105.0]","2.0","2.1","-",
