Population,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"Eastern Asia","115704","[112397.0-119109.0]","14.3","8.0","-",
"South-Eastern Asia","23191","[20453.8-26294.5]","7.1","6.5","-",
"South-Central Asia","13752","[12227.3-15466.8]","1.4","1.5","-",
"North America","11450","[11206.5-11698.8]","6.2","2.8","-",
"South America","10235","[9839.9-10646.0]","4.7","3.4","-",
"Central and Eastern Europe","9164","[8814.2-9527.7]","5.9","2.4","-",
"Northern Africa","7935","[6452.8-9757.7]","6.7","7.7","-",
"Southern Europe","7196","[6867.0-7540.8]","9.2","2.6","-",
"Western Europe","6741","[6447.2-7048.2]","6.9","2.2","-",
"Western Africa","5609","[3799.5-8280.2]","3.0","5.6","-",
"Central America","5348","[5141.4-5562.9]","5.9","5.5","-",
"Eastern Africa","4452","[2632.3-7529.6]","2.0","3.5","-",
"Northern Europe","3909","[3730.7-4095.8]","7.4","2.5","-",
"Western Asia","3399","[2608.9-4428.3]","2.6","2.8","-",
"Middle Africa","1797","[1021.6-3161.0]","2.1","3.9","-",
"Caribbean","1203","[1015.5-1425.1]","5.4","3.7","-",
"Southern Africa","983","[909.3-1062.7]","2.9","3.1","-",
"Australia and New Zealand","828","[764.2-897.2]","5.6","2.5","-",
"Melanesia","328","[261.4-411.6]","6.3","8.3","-",
"Polynesia","18","[9.0-36.1]","5.3","4.5","-",
"Micronesia","14","[8.6-22.8]","5.3","4.9","-",
