Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"World","548375","[511583.0-587813.0]","14.2","12.7","-",
"China","273014","[268132.0-277985.0]","37.3","25.6","-",
"United States of America","20564","[19973.4-21172.1]","12.7","7.2","-",
"Viet Nam","19708","[17974.3-21608.9]","41.3","39.1","-",
"Japan","18539","[17987.1-19107.9]","29.9","8.6","-",
"Egypt","18209","[16924.1-19591.5]","36.2","48.4","-",
"India","17548","[16268.1-18928.7]","2.5","2.8","-",
"Thailand","16284","[15696.9-16893.1]","48.3","32.3","-",
"Indonesia","14047","[11925.3-16546.2]","10.5","12.3","-",
"Korea, Republic of","8819","[8516.9-9131.8]","34.5","19.5","-",
"France","7376","[7117.9-7643.5]","23.0","10.4","-",
"Italy","7127","[6846.9-7418.6]","24.6","9.2","-",
"Brazil","6906","[6660.3-7160.7]","6.7","5.9","-",
"Philippines","6776","[6312.7-7273.3]","12.6","17.7","-",
"Russian Federation","6432","[6187.1-6686.6]","9.6","6.4","-",
"Germany","5936","[5685.9-6197.1]","14.6","5.7","-",
"United Kingdom","4042","[3845.3-4248.8]","12.3","5.3","-",
"Spain","3872","[3693.9-4058.7]","17.0","7.6","-",
"Myanmar","3571","[1768.1-7212.3]","13.6","14.7","-",
"Korea, Democratic Republic of","3498","[3194.0-3830.9]","27.9","23.5","-",
"Mexico","3361","[3175.3-3557.5]","5.2","5.3","-",
"Nigeria","3192","[2300.6-4428.9]","3.2","6.1","-",
"Turkey","2747","[2626.6-2872.9]","6.8","6.5","-",
"Pakistan","2608","[2130.5-3192.6]","2.5","3.6","-",
"Congo, Democratic Republic of","2479","[1503.5-4087.3]","5.9","11.9","-",
"Canada","2318","[2129.3-2523.5]","12.6","6.0","-",
"Bangladesh","2117","[1568.3-2857.7]","2.5","3.1","-",
"Romania","2003","[1869.4-2146.1]","21.1","11.3","-",
"Ghana","2000","[1673.3-2390.5]","13.6","24.3","-",
"Iran, Islamic Republic of","1977","[1881.3-2077.6]","4.8","5.2","-",
"Cambodia","1695","[839.2-3423.4]","21.4","34.7","-",
"Australia","1617","[1485.9-1759.6]","13.1","7.2","-",
"South Africa","1484","[1362.9-1615.9]","5.3","7.2","-",
"Malaysia","1467","[1315.9-1635.5]","8.9","9.6","-",
"Poland","1305","[1194.3-1426.0]","7.1","3.9","-",
"Ukraine","1271","[1159.5-1393.2]","6.2","3.9","-",
"Argentina","1206","[1095.1-1328.2]","5.5","4.4","-",
"Colombia","1156","[995.2-1342.7]","4.8","4.5","-",
"Tanzania, United Republic of","1146","[714.5-1838.0]","3.9","8.2","-",
"Mongolia","1067","[988.2-1152.0]","69.1","98.4","-",
"Peru","1057","[948.1-1178.4]","6.5","6.5","-",
"Greece","984","[880.2-1100.0]","17.9","6.7","-",
"Portugal","980","[840.0-1143.3]","20.1","8.9","-",
"Uganda","947","[654.0-1371.2]","4.3","8.8","-",
"Singapore","924","[840.8-1015.5]","32.3","17.7","-",
"Guinea","866","[633.2-1184.3]","13.2","25.0","-",
"Guatemala","832","[721.8-959.0]","9.8","15.4","-",
"Chile","781","[701.3-869.8]","8.7","6.1","-",
"Burkina Faso","771","[399.5-1488.1]","7.8","18.7","-",
"Ethiopia","759","[387.7-1485.8]","1.4","2.7","-",
"Kenya","752","[527.0-1073.0]","3.0","6.2","-",
"Lao People's Democratic Republic","713","[353.0-1440.0]","20.5","33.4","-",
"Côte d'Ivoire","712","[550.3-921.2]","5.6","9.8","-",
"Mozambique","700","[499.2-981.6]","4.7","9.4","-",
"Austria","696","[618.1-783.7]","16.2","7.2","-",
"Cameroon","683","[414.2-1126.1]","5.5","9.2","-",
"Senegal","679","[351.8-1310.5]","8.5","18.0","-",
"Uzbekistan","660","[554.6-785.5]","4.1","5.5","-",
"The Netherlands","648","[593.2-707.8]","7.6","3.3","-",
"Saudi Arabia","636","[499.2-810.3]","3.3","5.8","-",
"Belgium","630","[576.2-688.9]","11.1","5.1","-",
"Hungary","628","[556.7-708.5]","13.6","7.3","-",
"Venezuela, Bolivarian Republic of","621","[521.2-739.9]","3.9","4.2","-",
"Kazakhstan","605","[551.7-663.4]","6.8","7.6","-",
"Niger","590","[345.9-1006.5]","5.3","11.5","-",
"Madagascar","586","[252.9-1357.6]","4.5","8.5","-",
"Switzerland","567","[486.7-660.6]","13.4","5.8","-",
"Czechia","565","[491.2-649.9]","10.8","4.8","-",
"Sudan","560","[343.7-912.4]","2.7","4.7","-",
"Sweden","519","[456.4-590.2]","10.4","4.5","-",
"Serbia","515","[449.0-590.7]","12.0","6.3","-",
"Ecuador","471","[405.2-547.5]","5.6","5.5","-",
"Rwanda","457","[271.0-770.7]","7.5","14.9","-",
"Cuba","448","[388.7-516.3]","7.8","4.1","-",
"Republic of Moldova","448","[372.8-538.4]","23.1","17.3","-",
"Sri Lanka","403","[317.2-512.0]","4.0","3.1","-",
"Mali","402","[295.6-546.7]","4.2","9.7","-",
"Yemen","396","[307.4-510.2]","2.7","6.2","-",
"Bulgaria","378","[328.0-435.6]","11.1","5.4","-",
"Finland","377","[312.9-454.2]","13.8","5.5","-",
"Afghanistan","374","[277.1-504.9]","2.0","4.7","-",
"Denmark","370","[304.9-449.1]","12.9","5.9","-",
"Croatia","364","[314.8-420.8]","18.1","8.4","-",
"Papua New Guinea","354","[188.2-665.8]","8.3","12.5","-",
"Dominican Republic","353","[280.1-444.9]","6.5","6.7","-",
"Angola","350","[212.3-577.1]","2.3","4.8","-",
"Haiti","347","[285.0-422.5]","6.3","9.1","-",
"Zimbabwe","324","[237.8-441.5]","3.9","8.8","-",
"Algeria","302","[213.8-426.6]","1.4","1.6","-",
"Slovakia","302","[265.6-343.4]","11.4","6.7","-",
"Bolivia, Plurinational State of","299","[242.8-368.2]","5.3","5.5","-",
"Nicaragua","290","[240.1-350.3]","9.4","12.3","-",
"Burundi","288","[124.3-667.2]","5.2","9.7","-",
"Iraq","279","[233.5-333.4]","1.4","3.1","-",
"Bosnia and Herzegovina","276","[240.0-317.4]","16.0","7.9","-",
"Honduras","275","[218.2-346.6]","5.9","8.2","-",
"The Republic of the Gambia","267","[218.6-326.1]","24.9","41.1","-",
"New Zealand","264","[192.7-361.7]","11.3","6.4","-",
"Armenia","262","[214.2-320.4]","19.0","13.5","-",
"Albania","259","[213.1-314.8]","17.5","9.6","-",
"South Sudan","259","[111.8-600.0]","4.0","6.8","-",
"Chad","254","[154.1-418.8]","3.3","7.5","-",
"Liberia","254","[131.6-490.2]","10.4","19.2","-",
"Kyrgyzstan","252","[199.1-319.0]","8.3","12.2","-",
"Belarus","249","[195.9-316.5]","5.7","3.8","-",
"Puerto Rico","249","[207.0-299.5]","14.2","8.5","-",
"Ireland","245","[190.8-314.6]","10.3","5.7","-",
"Costa Rica","238","[188.7-300.2]","9.6","7.2","-",
"Benin","237","[122.8-457.4]","4.1","9.9","-",
"Morocco","236","[135.7-410.4]","1.3","1.3","-",
"Israel","234","[201.5-271.7]","5.6","4.1","-",
"Georgia","227","[195.2-264.0]","12.2","8.0","-",
"Sierra Leone","225","[199.0-254.3]","5.9","11.9","-",
"Mauritania","224","[116.1-432.3]","9.8","16.9","-",
"Norway","220","[179.6-269.5]","8.1","4.2","-",
"Togo","210","[185.7-237.5]","5.3","9.8","-",
"El Salvador","202","[156.8-260.2]","6.7","6.2","-",
"Syrian Arab Republic","198","[100.1-391.5]","2.1","3.4","-",
"Malawi","185","[79.9-428.6]","1.9","2.9","-",
"Azerbaijan","184","[149.5-226.4]","3.7","3.9","-",
"Slovenia","175","[148.3-206.6]","16.9","7.6","-",
"Turkmenistan","161","[133.8-193.8]","5.6","7.6","-",
"Nepal","154","[97.9-242.2]","1.1","1.3","-",
"Tajikistan","153","[121.2-193.1]","3.3","5.5","-",
"Tunisia","147","[91.2-237.0]","2.6","2.3","-",
"Lithuania","136","[104.8-176.5]","10.3","5.5","-",
"Congo, Republic of","131","[90.5-189.6]","4.8","8.0","-",
"Lebanon","127","[94.6-170.5]","4.2","3.5","-",
"Somalia","123","[53.1-285.0]","1.6","3.5","-",
"The former Yugoslav Republic of Macedonia","122","[78.2-190.3]","11.7","7.1","-",
"Paraguay","114","[78.2-166.2]","3.3","3.7","-",
"Panama","112","[84.5-148.5]","5.4","4.7","-",
"Zambia","101","[47.0-217.2]","1.2","2.7","-",
"Jordan","95","[66.8-135.1]","1.9","3.3","-",
"Central African Republic","91","[55.2-150.0]","3.9","6.9","-",
"Latvia","87","[69.5-108.9]","9.8","5.3","-",
"Oman","86","[50.9-145.2]","2.7","5.6","-",
"Guinea-Bissau","85","[44.0-164.1]","9.1","17.5","-",
"Kuwait","82","[57.5-116.9]","3.4","6.0","-",
"Uruguay","80","[55.1-116.1]","4.8","3.1","-",
"Libya","71","[39.0-129.1]","2.2","3.4","-",
"Cyprus","64","[46.1-88.9]","10.8","6.3","-",
"United Arab Emirates","61","[43.8-84.9]","0.89","4.2","-",
"France, La Réunion","60","[44.0-81.9]","14.0","9.3","-",
"Estonia","57","[43.0-75.6]","9.3","4.8","-",
"Jamaica","54","[39.1-74.6]","3.7","2.9","-",
"Fiji","53","[37.6-74.7]","11.5","12.2","-",
"Eritrea","49","[21.2-113.5]","1.9","3.7","-",
"Solomon Islands","43","[22.8-81.1]","13.6","20.7","-",
"Lesotho","41","[20.8-80.9]","3.7","6.6","-",
"Botswana","39","[23.9-63.6]","3.4","6.3","-",
"Luxembourg","36","[24.8-52.3]","12.1","6.5","-",
"Qatar","35","[24.3-50.4]","1.7","5.6","-",
"Trinidad and Tobago","34","[22.1-52.3]","5.0","3.7","-",
"Gabon","33","[20.6-52.8]","3.1","3.9","-",
"Equatorial Guinea","33","[20.0-54.4]","4.5","6.5","-",
"Montenegro","33","[21.1-51.7]","10.6","5.7","-",
"Namibia","31","[15.7-61.1]","2.5","4.2","-",
"Gaza Strip and West Bank","30","[15.3-58.9]","1.2","2.4","-",
"Mauritius","27","[17.6-41.4]","4.3","2.9","-",
"Bhutan","27","[22.8-32.0]","6.2","7.6","-",
"Timor-Leste","27","[13.4-54.5]","4.0","7.4","-",
"Cabo Verde","26","[15.8-42.8]","9.4","11.8","-",
"Brunei","26","[14.1-48.0]","11.6","14.0","-",
"Suriname","26","[16.5-41.1]","9.1","9.7","-",
"French Polynesia","23","[12.2-43.3]","15.8","13.4","-",
"Vanuatu","22","[11.7-41.4]","15.4","20.2","-",
"France, Martinique","22","[13.4-36.2]","12.6","5.1","-",
"Maldives","21","[20.8-21.2]","8.3","12.1","-",
"France, Guadeloupe","20","[12.0-33.4]","9.6","4.2","-",
"Guam","20","[15.4-26.0]","23.8","19.2","-",
"Eswatini","19","[10.4-34.7]","2.8","5.0","-",
"France, New Caledonia","19","[11.3-32.0]","13.5","10.6","-",
"Bahrain","18","[9.0-36.1]","1.8","3.7","-",
"Comoros","18","[7.8-41.7]","4.3","7.8","-",
"Iceland","17","[9.9-29.3]","10.0","5.1","-",
"Malta","16","[9.2-27.9]","7.4","3.6","-",
"Belize","14","[7.5-26.0]","7.4","12.2","-",
"French Guyana","11","[5.2-23.3]","7.6","9.5","-",
"Guyana","10","[5.0-20.0]","2.5","2.8","-",
"Bahamas","10","[4.6-21.5]","5.1","3.9","-",
"Djibouti","10","[4.3-23.2]","2.1","2.9","-",
"Sao Tome and Principe","7","[3.2-15.4]","6.7","14.8","-",
"Barbados","7","[3.0-16.1]","5.1","3.0","-",
"Samoa","5","[1.8-13.6]","4.9","7.1","-",
"Saint Lucia","3","[1.8-5.0]","3.4","2.0","-",
