Population,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"Eastern Asia","312228","[306667.0-317890.0]","36.9","24.2","-",
"South-Eastern Asia","65238","[60225.3-70667.9]","19.9","20.9","-",
"South-Central Asia","27060","[24987.9-29303.9]","2.7","3.2","-",
"North America","22889","[22549.7-23233.4]","12.7","7.1","-",
"Northern Africa","19570","[17448.2-21949.9]","16.4","20.4","-",
"Western Europe","15896","[15442.0-16363.4]","16.6","7.0","-",
"Southern Europe","14800","[14331.0-15284.3]","19.8","8.3","-",
"Central and Eastern Europe","13581","[13133.9-14043.4]","9.9","6.1","-",
"South America","12738","[12316.6-13173.8]","6.0","5.5","-",
"Western Africa","10747","[8326.4-13871.2]","5.6","11.1","-",
"Eastern Africa","6799","[4424.0-10449.1]","3.2","6.2","-",
"Northern Europe","6088","[5855.8-6329.4]","11.8","5.2","-",
"Western Asia","5697","[5245.1-6187.8]","4.0","5.4","-",
"Central America","5324","[5114.5-5542.1]","6.0","6.4","-",
"Middle Africa","4056","[2748.3-5985.9]","4.8","9.5","-",
"Australia and New Zealand","1881","[1782.8-1984.7]","12.8","7.0","-",
"Southern Africa","1614","[1519.3-1714.6]","5.0","7.1","-",
"Caribbean","1588","[1389.8-1814.4]","7.3","5.8","-",
"Melanesia","491","[418.5-576.1]","9.2","13.1","-",
"Micronesia","54","[41.6-70.2]","20.1","19.8","-",
"Polynesia","36","[17.4-74.6]","10.2","10.6","-",
